companion_problem_id	semantic_unit_id	representative_problem_id	thematic_section	related_chapters	has_solution	problem_type	figure_requirement	figure_type	figure_status	source_files	source_problem_ids	resolved_source_file	resolved_start_line	resolved_end_line	resolution_status	resolution_evidence	migration_status	editorial_status	notes	resolved_statement_start_line	resolved_statement_end_line	resolved_solution_start_line	resolved_solution_end_line	solution_resolution_status	solution_resolution_evidence	source_excerpt_sha256	generated_problem_sha256	solution_recovery_status	source_figure_count	source_figure_labels	generated_status
CP-III-0001	SEM-0C538BDE557E	IMP-DL-3CA1CB77F7-P036	Measure and Integration	III/01--III/08	NO	EXAMPLE;WORKED_EXAMPLE	NO		PENDING_VISUAL_AUDIT	Downloads/theory-of-analysis-numbers.tex;MATH-ALLS-2/theory-of-analysis-numbers.tex	IMP-DL-3CA1CB77F7-P036;IMP-DL-3CA1CB77F7-R004359-0C538BDE;IMP-M2-F08D4144EA-P036;IMP-M2-F08D4144EA-R004359-0C538BDE	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-numbers.tex	4359	4385	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-3CA1CB77F7-P036; score=140	ATLAS_CLASSIFIED	PLACEMENT_REVIEW_REQUIRED	classification=LOW; margin=2; text:measure,lebesgue,holder; theme:measure,lebesgue,holder							eacc90045c764cfdd12972425aa545fac7d24b2c706b818b369806188aad6dc3	c904e61a8d648dbd7f4af2a7dd211c1754cfe7a19ed261b5a057b8a8ac1866c6	NOT_EXPECTED	0		MIGRATED
CP-III-0002	SEM-15EEC76BDBD4	IMP-DL-11EDF39EA7-P020	Distribution Theory	III/15--III/19	NO	EXERCISE	NO		PENDING_VISUAL_AUDIT	Downloads/theory-of-analysis-FD2.tex;MATH-ALLS-2/theory-of-analysis-FD2.tex	IMP-DL-11EDF39EA7-P020;IMP-M2-68556E3D88-P020	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-FD2.tex	3596	3719	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-11EDF39EA7-P020; score=140	ATLAS_CLASSIFIED	READY_FOR_COMPANION_MIGRATION	classification=HIGH; margin=43; text:schwartz,distribution,tempered; theme:test function,distribution,tempered distribution							9d466a96e2c4c450fffb019f104c7182594663283bf14cc7d587e9ff76d19312	2d0ba4e52922f847c6bde6aceee1c2c0aa8a6c2c6a7bc9ae08de6c3e01746ecf	NOT_EXPECTED	0		MIGRATED
CP-III-0003	SEM-1AF1C7009802	IMP-DL-316AE183C3-P001	Measure and Integration	III/01--III/08	NO	PROBLEM	NO		PENDING_VISUAL_AUDIT	Downloads/theory-of-analysis-functions.tex;MATH-ALLS-2/theory-of-analysis-functions.tex	IMP-DL-316AE183C3-P001;IMP-M2-303BB87ACE-P001	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-functions.tex	362	516	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-316AE183C3-P001; score=140	ATLAS_CLASSIFIED	READY_FOR_COMPANION_MIGRATION	classification=HIGH; margin=32; text:measure,measurable,holder,minkowski; theme:measure,measurable,holder,minkowski							ab8d528c17c24bed74c5e2c6e860d30f3276afe0af410665f6d4bd95aea26c85	8fba57172d783fce17f04a1ddaa198b73d82cc41eb61041137e592a9a18e6323	NOT_EXPECTED	0		MIGRATED
CP-III-0004	SEM-1B200F8FA8E5	IMP-DL-11EDF39EA7-P014	Fourier Analysis	III/09--III/14	NO	EXERCISE	NO		PENDING_VISUAL_AUDIT	Downloads/theory-of-analysis-FD2.tex;MATH-ALLS-2/theory-of-analysis-FD2.tex	IMP-DL-11EDF39EA7-P014;IMP-M2-68556E3D88-P014	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-FD2.tex	2408	2604	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-11EDF39EA7-P014; score=140	ATLAS_CLASSIFIED	READY_FOR_COMPANION_MIGRATION	classification=HIGH; margin=12; text:fourier,convolution,schwartz; theme:convolution,fourier transform,plancherel,schwartz							165579d66c10f1e30692bc0bcfec15f92d86a7410b96f8da92eab69ed54bd35d	8dec82edd2d3c3b3de0d23f000ef6a778af6886cf62aaf0ab7f47df19803e15a	NOT_EXPECTED	0		MIGRATED
CP-III-0005	SEM-1F642A7B2827	IMP-DL-11EDF39EA7-P012	Fourier Analysis	III/09--III/14	NO	EXERCISE	NO		PENDING_VISUAL_AUDIT	Downloads/theory-of-analysis-FD2.tex;MATH-ALLS-2/theory-of-analysis-FD2.tex	IMP-DL-11EDF39EA7-P012;IMP-M2-68556E3D88-P012	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-FD2.tex	2059	2135	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-11EDF39EA7-P012; score=140	ATLAS_CLASSIFIED	READY_FOR_COMPANION_MIGRATION	classification=HIGH; margin=11; text:fourier,schwartz; theme:fourier transform,plancherel,schwartz							c833396f51c6cc7367030aed5aa6abed485a6d10bddaff568e339f326915da98	6938e35bcc36d70e549b176a2b7c9fbb8ed3c0d62f74114ee4b1245f7a7dcaf3	NOT_EXPECTED	0		MIGRATED
CP-III-0006	SEM-35F51941E263	IMP-DL-11EDF39EA7-P031	Fourier Analysis	III/09--III/14	YES	EXERCISE_ITEM	NO		PENDING_VISUAL_AUDIT	Downloads/theory-of-analysis-FD2.tex;MATH-ALLS-2/theory-of-analysis-FD2.tex	IMP-DL-11EDF39EA7-P031;IMP-M2-68556E3D88-P031	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-FD2.tex	4927	5238	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-11EDF39EA7-P031; score=140	ATLAS_CLASSIFIED	READY_FOR_COMPANION_MIGRATION	classification=HIGH; margin=73; text:fubini,fourier,convolution,distribution,sobolev,heat equation; theme:convolution,fourier transform,gaussian,plancherel	4927	5300	5302	5626	RESOLVED_EXACT_SOLUTION_RANGE	statement L4927-L5300; solution heading L5302; solution L5302-L5626	662517cb8e24ebd6b14708fdfaffa08fd59dcde839ca0f3d2bfa43f06097880d	e1b58bac8b414a318ba15710bf626dc6843a466ddda431b90c77a268103ac8e4	EXPLICIT_RESOLVED_RANGE	1	fig:schrodinger-kernels	MIGRATED
CP-III-0007	SEM-3F1D3F6C4CFE	IMP-DL-2370D81D66-P074	Distribution Theory	III/15--III/19	NO	WORKED_EXAMPLE	YES	SOURCE_FIGURE	SOURCE_PRESENT_REVIEW_LATER	Downloads/theory-of-analysis-FD.tex;MATH-ALLS-2/theory-of-analysis-FD.tex	IMP-DL-2370D81D66-P074;IMP-M2-D036BAB254-P074	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-FD.tex	5706	5772	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-2370D81D66-P074; score=140	ATLAS_CLASSIFIED	READY_FOR_COMPANION_MIGRATION	classification=HIGH; margin=31; text:schwartz,distribution,tempered; theme:distribution,distributional derivative,tempered distribution							ea99cd9581f1062400690360db2e8eff15d3ecd54e8a255637104f6ba53d92cf	d1ca6f8518a64662a043d668362e979a9f1e968794bf56a0ce2f513f32e5191e	NOT_EXPECTED	2	fig:example-heaviside;fig:example-pv-1-over-x	MIGRATED
CP-III-0008	SEM-5677ECC2120A	IMP-DL-2370D81D66-P065	Measure and Integration	III/01--III/08	NO	EXERCISE_ITEM	YES	SOURCE_FIGURE	SOURCE_PRESENT_REVIEW_LATER	Downloads/theory-of-analysis-FD.tex;MATH-ALLS-2/theory-of-analysis-FD.tex	IMP-DL-2370D81D66-P065;IMP-M2-D036BAB254-P065	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-FD.tex	4859	5055	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-2370D81D66-P065; score=140	ATLAS_CLASSIFIED	READY_FOR_COMPANION_MIGRATION	classification=HIGH; margin=11; text:holder,minkowski; theme:holder,minkowski							240618a29e2ee871b2bceb64da52878950431d3dda1731de41cdd21836dfbc8f	6426e11fb619def3aa584eab34bfdedd233428e0d3bed1d15a890b8116d5cc14	NOT_EXPECTED	1	fig:minkowski-geometry	MIGRATED
CP-III-0009	SEM-58B060B7C41E	IMP-DL-C78B44C750-P006	Sobolev and PDE Methods	III/20--III/28	NO	WORKED_EXAMPLE	NO		PENDING_VISUAL_AUDIT	Downloads/wiki-green.tex;MATH-ALLS-2/wiki-green.tex	IMP-DL-C78B44C750-P006;IMP-M2-48626BD8F1-P006	C:\Users\janko\Documents\MATH\math\imports\Downloads\wiki-green.tex	333	343	RESOLVED_EXACT_RANGE	RAW_PROBLEM_ITEMS.tsv:IMP-DL-C78B44C750-P006; score=140	ATLAS_CLASSIFIED	PLACEMENT_REVIEW_REQUIRED	classification=LOW; margin=8; text:fundamental solution; theme:fundamental solution							fc189542f1405746d10052f351d68f183e1d66fef463ee1c22362723e0d8f0a9	5a5cd612a144d31fa692596c9ce0c9b58f421c2d417f9550c48bfc7a22391644	NOT_EXPECTED	0		MIGRATED
CP-III-0010	SEM-5A3EEF64C488	IMP-DL-316AE183C3-PSR000821-5A3EEF64	Measure and Integration	III/01--III/08	NO	PROBLEM	YES	SOURCE_FIGURE	SOURCE_PRESENT_REVIEW_LATER	Downloads/theory-of-analysis-functions.tex;MATH-ALLS-2/theory-of-analysis-functions.tex	IMP-DL-316AE183C3-PSR000821-5A3EEF64;IMP-M2-303BB87ACE-PSR000821-5A3EEF64	C:\Users\janko\Documents\MATH\math\imports\Downloads\theory-of-analysis-functions.tex	821	1389	RESOLVED_EXACT_RANGE	STRUCTURAL_INTEGRITY_AUDIT.tsv:row85:IMP-DL-316AE183C3-PSR000821-5A3EEF64:EXACT_ID; STRUCTURAL_INTEGRITY_AUDIT.tsv:row86:IMP-M2-303BB87ACE-PSR000821-5A3EEF64:EXACT_ID; STRUCTURAL_REPAIR_QUEUE.tsv:row85:IMP-DL-316AE183C3-PSR000821-5A3EEF64:EXACT_ID; STRUCTURAL_REPAIR_QUEUE.tsv:row86:IMP-M2-303BB87ACE-PSR000821-5A3EEF64:EXACT_ID	ATLAS_CLASSIFIED	READY_FOR_COMPANION_MIGRATION	classification=HIGH; margin=36; text:measure,measurable,lebesgue,fubini,holder,minkowski; theme:measure,measurable,lebesgue,fubini,lp ,holder,minkowski							7fe194bce9303605cc5cfb1c4ea7b09139dbf563d504cbafecfcf9f378545f4e	8f80d150afe25fc986c64e83fc38aacccca614eedfd6173241e8f48ef90ab26f	NOT_EXPECTED	5	fig:lp_boundary_alpha_vs_p;fig:lp_decay;fig:lp_integrability_decay;fig:lp_log_borderline_norm_vs_gamma_p2;fig:lp_norm_vs_p_decay_alpha15;fig:lp_singularities	MIGRATED
