companion_problem_id	semantic_unit_id	representative_problem_id	thematic_section	related_chapters	atlas_editorial_status	source_problem_ids	statement_source_file	statement_line_range	statement_status	solution_status	primary_solution_id	primary_solution_source_file	primary_solution_line_range	distinct_solution_variants	alternate_solution_ids	figure_requirement	figure_status	migration_status	notes
CP-II-0001	SEM-001139434CBB	IMP-DL-E532B44856-P026	Sequences of Functions	II/11--II/15	PLACEMENT_REVIEW_REQUIRED	IMP-DL-E532B44856-P026;IMP-M2-C037D998D4-P026	Downloads/theory-of-analysis-functions-II.tex	L2713-L2718	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-E532B44856-S010	Downloads/theory-of-analysis-functions-II.tex	L2719-L2736	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0002	SEM-009FEE5134D5	IMP-DL-183AD43C4C-R000829-009FEE51	Sequences of Functions	II/11--II/15	PLACEMENT_REVIEW_REQUIRED	IMP-DL-183AD43C4C-R000829-009FEE51;IMP-DL-20E278E436-R000771-009FEE51;IMP-M2-1895C43FC6-R000829-009FEE51;IMP-M2-50B0B212DD-R000771-009FEE51	Downloads/theory-of-real-analysis.tex	L829-L835	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-183AD43C4C-S018	Downloads/theory-of-real-analysis.tex	L836-L844	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0003	SEM-00AB997814DD	IMP-DL-2370D81D66-P025	Sequences of Functions	II/11--II/15	PLACEMENT_REVIEW_REQUIRED	IMP-DL-2370D81D66-P025;IMP-M2-D036BAB254-P025	Downloads/theory-of-analysis-FD.tex	L3958-L3958	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0004	SEM-010E6F50F941	IMP-DL-2370D81D66-P059	Sequences of Functions	II/11--II/15	PLACEMENT_REVIEW_REQUIRED	IMP-DL-2370D81D66-P059;IMP-M2-D036BAB254-P059	Downloads/theory-of-analysis-FD.tex	L4810-L4819	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0005	SEM-011471026624	IMP-DL-117191C0EC-P063	Approximation	II/20--II/25	READY_FOR_COMPANION_MIGRATION	IMP-DL-117191C0EC-P063;IMP-M2-40A546CAA2-P063	Downloads/theory-of-analysis-topics.tex	L4955-L5028	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0006	SEM-0128CDAAFD77	IMP-DL-2370D81D66-P010	Metric and Topological Foundations	II/01--II/07	READY_FOR_COMPANION_MIGRATION	IMP-DL-2370D81D66-P010;IMP-M2-D036BAB254-P010	Downloads/theory-of-analysis-FD.tex	L2775-L2801	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0007	SEM-0167F814819C	IMP-DL-183AD43C4C-R001387-0167F814	Sequences of Functions	II/11--II/15	PLACEMENT_REVIEW_REQUIRED	IMP-DL-183AD43C4C-R001387-0167F814;IMP-DL-20E278E436-R001329-0167F814;IMP-M2-1895C43FC6-R001387-0167F814;IMP-M2-50B0B212DD-R001329-0167F814	Downloads/theory-of-real-analysis.tex	L1387-L1400	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-183AD43C4C-S034	Downloads/theory-of-real-analysis.tex	L1401-L1418	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0008	SEM-0225913F5E63	IMP-DL-07D84009EA-P006	Metric and Topological Foundations	II/01--II/07	READY_FOR_COMPANION_MIGRATION	IMP-DL-07D84009EA-P006;IMP-DL-162DBE4483-P006;IMP-DL-183AD43C4C-P006;IMP-DL-20E278E436-P006;IMP-DL-68F65EDA24-P006;IMP-DL-890EB1F6EA-P006;IMP-DL-995E0CD19D-P006;IMP-DL-E69AEC0DA9-P006;IMP-M2-0EAC31ED0B-P006;IMP-M2-1403D223C9-P006;IMP-M2-1750FF4FF7-P006;IMP-M2-1895C43FC6-P006;IMP-M2-50B0B212DD-P006;IMP-M2-6D7FCEA253-P006;IMP-M2-9CEC4F97B5-P006;IMP-M2-BC23C57F39-P006	Downloads/merged_exercises_corrected (1).tex	L89-L97	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0009	SEM-023E39D2420D	IMP-DL-EAE0F59552-P004	Sequences of Functions	II/11--II/15	PLACEMENT_REVIEW_REQUIRED	IMP-DL-EAE0F59552-P004;IMP-M2-7EA9DA1D72-P004	Downloads/theory-of-analysis-topology.tex	L167-L167	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-II-0010	SEM-0244D6CD2FE4	IMP-DL-3D2DB27534-P012	Calculus	II/08--II/10	PLACEMENT_REVIEW_REQUIRED	IMP-DL-3D2DB27534-P012;IMP-DL-5B1D955447-P012;IMP-M2-8108AF5CB9-P012;IMP-M2-AFF44384C1-P012	Downloads/merged_exercises (1).tex	L129-L135	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
