companion_problem_id	representative_problem_id	figure_type	title	file	label	target_status
CP-IV-0004	IMP-DL-0E1AFE9FFD-P005	BRANCH_CUT_DIAGRAM	Exterior imaginary-axis branch cuts	figures/part04/designed/cp_iv_0004_exterior_imaginary_branch_cuts.tex	fig:cp-iv-0004-exterior-imaginary-branch-cuts	DESIGNED_TIKZ_STAGED
CP-IV-0007	IMP-DL-0E1AFE9FFD-P007	CONFORMAL_MAP_DIAGRAM	Half-plane with a removed disk mapped to an annulus	figures/part04/designed/cp_iv_0007_heat_domain_to_annulus.tex	fig:cp-iv-0007-heat-domain-to-annulus	DESIGNED_TIKZ_STAGED
CP-IV-0008	IMP-DL-E88547CF67-P022	GAUSS_MAP_DIAGRAM	Curvature zeros and critical points of the Gauss map	figures/part04/designed/cp_iv_0008_curvature_gauss_map.tex	fig:cp-iv-0008-curvature-gauss-map	DESIGNED_TIKZ_STAGED
CP-IV-0014	IMP-DL-D4351A3BBD-P023	MOBIUS_INVERSION_DIAGRAM	Holomorphic inversion about a circle	figures/part04/designed/cp_iv_0014_holomorphic_inversion.tex	fig:cp-iv-0014-holomorphic-inversion	DESIGNED_TIKZ_STAGED
CP-IV-0015	IMP-DL-F77C60E8D1-P003	PRINCIPAL_VALUE_CONTOUR	Principal value obtained by deleting a small arc	figures/part04/designed/cp_iv_0015_principal_value_deleted_arc.tex	fig:cp-iv-0015-principal-value-deleted-arc	DESIGNED_TIKZ_STAGED
CP-IV-0016	IMP-DL-0E1AFE9FFD-P006	CONFORMAL_PIPELINE	Conformal mapping pipeline for the two-circle exterior	figures/part04/designed/cp_iv_0016_two_circles_mapping_pipeline.tex	fig:cp-iv-0016-two-circles-mapping-pipeline	DESIGNED_TIKZ_STAGED
CP-IV-0019	IMP-DL-D4351A3BBD-P013	INVERSION_COMPOSITION	Two inversions restore conformality	figures/part04/designed/cp_iv_0019_two_inversions_orientation.tex	fig:cp-iv-0019-two-inversions-orientation	DESIGNED_TIKZ_STAGED
CP-IV-0022	IMP-DL-F77C60E8D1-P004	PLEMELJ_BOUNDARY_DIAGRAM	Interior and exterior boundary limits on the unit circle	figures/part04/designed/cp_iv_0022_plemelj_unit_circle.tex	fig:cp-iv-0022-plemelj-unit-circle	DESIGNED_TIKZ_STAGED
CP-IV-0023	IMP-DL-0E1AFE9FFD-P004	BRANCH_CUT_DIAGRAM	Finite branch cut between the branch points	figures/part04/designed/cp_iv_0023_finite_imaginary_branch_cut.tex	fig:cp-iv-0023-finite-imaginary-branch-cut	DESIGNED_TIKZ_STAGED
CP-IV-0024	IMP-DL-A509E7ADEA-P001	RESIDUE_CONTOUR	Square contour and poles of the meromorphic kernel	figures/part04/designed/cp_iv_0024_square_residue_contour.tex	fig:cp-iv-0024-square-residue-contour	DESIGNED_TIKZ_STAGED
