companion_problem_id	semantic_unit_id	representative_problem_id	thematic_section	related_chapters	atlas_editorial_status	source_problem_ids	statement_source_file	statement_line_range	statement_status	solution_status	primary_solution_id	primary_solution_source_file	primary_solution_line_range	distinct_solution_variants	alternate_solution_ids	figure_requirement	figure_status	migration_status	notes
CP-IV-0001	SEM-02C42CEC8A83	IMP-DL-CB3C80FF97-P027	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P027;IMP-M2-7B5A4788C1-P027	Downloads/theory-of-complex-analysis-topology.tex	L1108-L1109	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0002	SEM-02FA0EAC3504	IMP-DL-336732908A-P008	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-336732908A-P008;IMP-M2-805F474A19-P008	Downloads/theory-of-complex-analysis-next.tex	L1594-L1620	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0003	SEM-03E5A15B17E7	IMP-DL-336732908A-P003	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-336732908A-P003;IMP-M2-805F474A19-P003	Downloads/theory-of-complex-analysis-next.tex	L395-L405	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0004	SEM-04458AF8A5E5	IMP-DL-0E1AFE9FFD-P005	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-0E1AFE9FFD-P005;IMP-DL-141F3478CC-P005;IMP-DL-AA5DDA8809-P005;IMP-DL-FB19C24E92-P005;IMP-M2-2BDEE85382-P005;IMP-M2-6F2E5F9B11-P005;IMP-M2-7785C781E9-P005;IMP-M2-F295E7C0B9-P005	Downloads/theory-of-complex-analysis-all-maps-all2.tex	L374-L400	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0004_exterior_imaginary_branch_cuts.tex
CP-IV-0005	SEM-04A4D2EBA6B2	IMP-DL-9DE2876887-P002	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-9DE2876887-P002;IMP-M2-11069D160E-P002	Downloads/theory-of-complex-analysis-series.tex	L1020-L1049	MIGRATED	MIGRATED_PRIMARY_SOLUTION;ALTERNATE_VARIANTS_RETAINED_IN_PROVENANCE	IMP-DL-9DE2876887-S003	Downloads/theory-of-complex-analysis-series.tex	L1050-L1062	2	IMP-DL-9DE2876887-S004	NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0006	SEM-053E9E0FFCAA	IMP-DL-F77C60E8D1-P007	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-F77C60E8D1-P007;IMP-M2-09C070ED26-P007	Downloads/theory-of-complex-analysis-next2.tex	L1686-L1691	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0007	SEM-082A62630B33	IMP-DL-0E1AFE9FFD-P007	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-0E1AFE9FFD-P007;IMP-DL-AA5DDA8809-P007;IMP-M2-2BDEE85382-P007;IMP-M2-F295E7C0B9-P007	Downloads/theory-of-complex-analysis-all-maps-all2.tex	L1029-L1905	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0007_heat_domain_to_annulus.tex
CP-IV-0008	SEM-08986B995F03	IMP-DL-E88547CF67-P022	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-E88547CF67-P022;IMP-M2-80D8AED0FF-P022	Downloads/theory-of-geometry-3.tex	L3038-L3107	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0008_curvature_gauss_map.tex
CP-IV-0009	SEM-08C4B53D5AF2	IMP-DL-0A181AC273-P038	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-0A181AC273-P038;IMP-DL-AD9EFCAF62-P014;IMP-M2-79778E004E-P014;IMP-M2-80AFB5AE64-P038	Downloads/theory-of-complex-analysis.tex	L1810-L1810	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0010	SEM-0CFB4B0EBD19	IMP-DL-AD9EFCAF62-P020	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-AD9EFCAF62-P020;IMP-M2-79778E004E-P020	Downloads/theory-of-complex-analysis-2.tex	L955-L1010	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
