companion_problem_id	semantic_unit_id	representative_problem_id	thematic_section	related_chapters	atlas_editorial_status	source_problem_ids	statement_source_file	statement_line_range	statement_status	solution_status	primary_solution_id	primary_solution_source_file	primary_solution_line_range	distinct_solution_variants	alternate_solution_ids	figure_requirement	figure_status	migration_status	notes
CP-I-0001	SEM-00200FC0A526	IMP-DL-873C6F4098-P102	Euclidean and Hilbert-Space Geometry	I/13--I/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-873C6F4098-P102;IMP-M2-CFC28ED568-P102	Downloads/theory-of-analysis-II.tex	L3695-L3770	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0002	SEM-00265911E684	IMP-DL-0EB9CBD958-P036	Vector Spaces	I/01--I/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-0EB9CBD958-P036;IMP-M2-F4C85D52DC-P036	Downloads/theory-of-geometry.tex	L2281-L2531	MIGRATED	SOLUTION_EXPECTED_BUT_NOT_SAFELY_RECOVERED				0		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0003	SEM-00EED222E527	IMP-DL-3E276561C4-P005	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P005;IMP-M3-AB2FCA292B-P005	Downloads/theory-of-linear-algebra-1.tex	L1830-L1921	MIGRATED	MIGRATED_PRIMARY_SOLUTION;ALTERNATE_VARIANTS_RETAINED_IN_PROVENANCE	IMP-DL-3E276561C4-S018	Downloads/theory-of-linear-algebra-1.tex	L1893-L1921	2	IMP-DL-3E276561C4-S017	NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0004	SEM-0266F0C0B505	IMP-DL-35223EB1F7-P006	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-35223EB1F7-P006	Downloads/theory-of-algebraic-topology-6.tex	L665-L818	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-35223EB1F7-S001	Downloads/theory-of-algebraic-topology-6.tex	L694-L734	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0005	SEM-027B65568FD9	IMP-DL-8D5CF4CFBA-PSR001105-027B6556	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-PSR001105-027B6556;IMP-M3-89937139FC-PSR001105-027B6556	Downloads/theory-of-linear-algebra-2.tex	L1105-L1108	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0006	SEM-034AA364EE13	IMP-DL-8D5CF4CFBA-R003282-034AA364	Euclidean and Hilbert-Space Geometry	I/13--I/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-R003282-034AA364;IMP-M3-89937139FC-R003282-034AA364	Downloads/theory-of-linear-algebra-2.tex	L3282-L3289	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0007	SEM-055E12CBC4E4	IMP-DL-A470D9BACB-P018	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-A470D9BACB-P018;IMP-M2-2850FB9A8A-P018	Downloads/theory-of-geometry-1.tex	L1072-L1127	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0008	SEM-06AC27DAA620	IMP-DL-A470D9BACB-R001606-06AC27DA	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-A470D9BACB-R001606-06AC27DA;IMP-M2-2850FB9A8A-R001606-06AC27DA	Downloads/theory-of-geometry-1.tex	L1606-L1702	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0009	SEM-07F0E33916A1	IMP-DL-3E276561C4-P006	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P006;IMP-M3-AB2FCA292B-P006	Downloads/theory-of-linear-algebra-1.tex	L1922-L2092	MIGRATED	MIGRATED_PRIMARY_SOLUTION;ALTERNATE_VARIANTS_RETAINED_IN_PROVENANCE	IMP-DL-3E276561C4-S020	Downloads/theory-of-linear-algebra-1.tex	L1966-L1980	2	IMP-DL-3E276561C4-S019	NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0010	SEM-0933AC394820	IMP-DL-8D5CF4CFBA-P018	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P018;IMP-M3-89937139FC-P018	Downloads/theory-of-linear-algebra-2.tex	L1904-L1985	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S019	Downloads/theory-of-linear-algebra-2.tex	L1917-L1985	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
