semantic_unit_id	theme	status	problem_start_line	has_solution_env	embedded_solution_marker	atlas_has_solution	representative_problem_id	source_problem_ids	linked_solution_candidates	linked_solution_candidate_count
CP-IV-0005		SOLVED	13	YES	NO					0
CP-IV-0009		UNSOLVED	56	NO	NO					0
CP-IV-0012		UNSOLVED	61	NO	NO					0
CP-IV-0014		UNSOLVED	191	NO	NO					0
CP-IV-0015		SOLVED	210	YES	NO					0
CP-IV-0017		UNSOLVED	329	NO	YES					0
CP-IV-0031		SOLVED	344	YES	NO					0
CP-IV-0034		UNSOLVED	407	NO	NO					0
CP-IV-0035		UNSOLVED	503	NO	NO					0
CP-IV-0037		UNSOLVED	600	NO	NO					0
CP-IV-0039		UNSOLVED	691	NO	NO					0
CP-IV-0044		SOLVED	707	YES	YES					0
CP-IV-0047		UNSOLVED	874	NO	NO					0
CP-IV-0051		UNSOLVED	966	NO	NO					0
CP-IV-0061		SOLVED	1012	YES	NO					0
CP-IV-0065		UNSOLVED	1057	NO	NO					0
CP-IV-0066		UNSOLVED	1191	NO	NO					0
CP-IV-0069		UNSOLVED	1206	NO	NO					0
CP-IV-0072		SOLVED	1501	YES	NO					0
CP-IV-0077		SOLVED	1536	YES	NO					0
CP-IV-0080		SOLVED	1615	YES	NO					0
CP-IV-0082		SOLVED	1653	YES	NO					0
CP-IV-0084		UNSOLVED	1723	NO	NO					0
CP-IV-0089		UNSOLVED	2091	NO	NO					0
CP-IV-0090		SOLVED	2343	YES	NO					0
CP-IV-0092		SOLVED	2404	YES	NO					0
CP-IV-0096		UNSOLVED	2427	NO	NO					0
CP-IV-0097		UNSOLVED	2441	NO	NO					0
CP-IV-0102		UNSOLVED	2455	NO	NO					0
CP-IV-0106		UNSOLVED	2612	NO	NO					0
CP-IV-0116		UNSOLVED	2778	NO	NO					0
CP-IV-0117		SOLVED	2786	YES	NO					0
CP-IV-0126		SOLVED	2827	YES	NO					0
CP-IV-0129		UNSOLVED	2904	NO	NO					0
CP-IV-0133		SOLVED	2909	YES	NO					0
CP-IV-0134		UNSOLVED	2931	NO	NO					0
CP-IV-0024		UNSOLVED	2980	NO	NO					0
CP-IV-0025		UNSOLVED	3043	NO	NO					0
CP-IV-0029		SOLVED	3099	YES	NO					0
CP-IV-0048		UNSOLVED	3146	NO	NO					0
CP-IV-0053		UNSOLVED	3183	NO	NO					0
CP-IV-0062		UNSOLVED	3246	NO	NO					0
CP-IV-0070		UNSOLVED	3258	NO	NO					0
CP-IV-0076		UNSOLVED	3367	NO	NO					0
CP-IV-0079		UNSOLVED	3426	NO	NO					0
CP-IV-0098		UNSOLVED	3444	NO	NO					0
CP-IV-0099		UNSOLVED	3744	NO	NO					0
CP-IV-0110		UNSOLVED	3817	NO	NO					0
CP-IV-0111		SOLVED	3974	YES	NO					0
CP-IV-0118		SOLVED	4004	YES	NO					0
