chapter_code	dossiers	dossier_solutions	existing_exercises	existing_hints	provenance_rows	corpus_guided	devised	status
I/01	12	12	8	8	12	7	5	PASS
I/02	12	12	8	8	12	3	9	PASS
I/03	12	12	8	8	12	3	9	PASS
I/04	12	12	8	8	12	3	9	PASS
I/05	12	12	8	8	12	3	9	PASS
I/06	12	12	8	8	12	3	9	PASS
I/07	12	12	8	8	12	3	9	PASS
I/08	12	12	8	8	12	3	9	PASS
I/09	12	12	8	8	12	3	9	PASS
I/10	12	12	8	8	12	3	9	PASS
I/11	12	12	8	8	12	3	9	PASS
I/12	12	12	8	8	12	3	9	PASS
I/13	12	12	8	8	12	3	9	PASS
I/14	12	12	8	8	12	3	9	PASS
I/15	12	12	8	8	12	3	9	PASS
I/16	12	12	8	8	12	3	9	PASS
I/17	12	12	8	8	12	3	9	PASS
I/18	12	12	8	8	12	3	9	PASS
