path	exercises	hints	solutions	paired
books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	8	8	8	YES
books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	8	8	8	YES
