chapter_code	chapter_title	mapped_rules	source_files	missing_sources	canonical_path
I/01	Scalars, Vectors and Linear Combinations	9	3	-	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex
I/02	Subspaces, Span and Linear Independence	3	1	-	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex
I/03	Bases and Dimension	3	1	-	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex
I/04	Coordinates and Change of Basis	3	1	-	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex
I/05	Linear Transformations	3	1	-	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex
I/06	Kernels, Images and Isomorphisms	3	1	-	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex
I/07	Matrix Representation of Linear Maps	3	1	-	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex
I/08	Determinants and Trace	3	1	-	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex
I/09	Eigenvalues and Eigenvectors	4	1	-	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex
I/10	Invariant Subspaces and Triangularization	3	1	-	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex
I/11	Diagonalization and Minimal Polynomials	3	1	-	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex
I/12	Canonical Forms	3	1	-	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex
I/13	Inner Products and Orthogonality	3	1	-	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex
I/14	Gram–Schmidt and Orthogonal Projection	3	1	-	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex
I/15	Orthogonal and Unitary Operators	3	1	-	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex
I/16	The Spectral Theorem	3	1	-	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex
I/17	Quadratic Forms	3	1	-	books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex
I/18	Singular-Value Decomposition	3	1	-	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex
