chapter_code	problems	exercises	hints	solutions	expected_solutions	pairing
II/01	12	8	8	20	20	PASS
II/02	12	8	8	20	20	PASS
II/03	12	8	8	20	20	PASS
II/04	12	8	8	20	20	PASS
II/05	12	8	8	20	20	PASS
II/06	12	8	8	20	20	PASS
II/07	12	8	8	20	20	PASS
II/08	12	8	8	20	20	PASS
II/09	12	8	8	20	20	PASS
II/10	12	8	8	20	20	PASS
II/11	12	8	8	20	20	PASS
II/12	12	8	8	20	20	PASS
II/13	12	8	8	20	20	PASS
II/14	12	8	8	20	20	PASS
II/15	12	8	8	20	20	PASS
II/16	12	8	8	20	20	PASS
II/17	12	8	8	20	20	PASS
II/18	12	8	8	20	20	PASS
II/19	12	8	8	20	20	PASS
II/20	12	8	8	20	20	PASS
II/21	12	8	8	20	20	PASS
II/22	12	8	8	20	20	PASS
II/23	12	8	8	20	20	PASS
II/24	12	8	8	20	20	PASS
II/25	12	8	8	20	20	PASS
