chapter_code	chapter_title	mapped_rules	missing_sources	canonical_path	state
II/01	The Real Number System and Completeness	7	0	books/vol02_real_analysis/chapters/ch01_the_real_number_system_and_completeness/chapter.tex	DEVELOPED
II/02	Euclidean and Normed Spaces	3	0	books/vol02_real_analysis/chapters/ch02_euclidean_and_normed_spaces/chapter.tex	DEVELOPED
II/03	Sequences and Cauchy Sequences	6	0	books/vol02_real_analysis/chapters/ch03_sequences_and_cauchy_sequences/chapter.tex	DEVELOPED
II/04	Open and Closed Sets	11	0	books/vol02_real_analysis/chapters/ch04_open_and_closed_sets/chapter.tex	DEVELOPED
II/05	Metric Spaces and Continuity	9	0	books/vol02_real_analysis/chapters/ch05_metric_spaces_and_continuity/chapter.tex	DEVELOPED
II/06	Compactness	13	0	books/vol02_real_analysis/chapters/ch06_compactness/chapter.tex	DEVELOPED
II/07	Connectedness and Path Connectedness	9	0	books/vol02_real_analysis/chapters/ch07_connectedness_and_path_connectedness/chapter.tex	DEVELOPED
II/08	Differentiability in Several Variables	3	0	books/vol02_real_analysis/chapters/ch08_differentiability_in_several_variables/chapter.tex	SCAFFOLD
II/09	Inverse and Implicit Function Principles	0	0	books/vol02_real_analysis/chapters/ch09_inverse_and_implicit_function_principles/chapter.tex	SCAFFOLD
II/10	Riemann Integration	8	0	books/vol02_real_analysis/chapters/ch10_riemann_integration/chapter.tex	SCAFFOLD
II/11	Pointwise and Uniform Convergence	4	0	books/vol02_real_analysis/chapters/ch11_pointwise_and_uniform_convergence/chapter.tex	SCAFFOLD
II/12	Interchanging Limits, Derivatives and Integrals	3	0	books/vol02_real_analysis/chapters/ch12_interchanging_limits_derivatives_and_integrals/chapter.tex	SCAFFOLD
II/13	Infinite Series of Functions	3	0	books/vol02_real_analysis/chapters/ch13_infinite_series_of_functions/chapter.tex	SCAFFOLD
II/14	Trigonometric Series	3	0	books/vol02_real_analysis/chapters/ch14_trigonometric_series/chapter.tex	SCAFFOLD
II/15	Pathological and Nowhere-Differentiable Functions	4	0	books/vol02_real_analysis/chapters/ch15_pathological_and_nowhere_differentiable_functions/chapter.tex	SCAFFOLD
II/16	Contraction Mappings	3	0	books/vol02_real_analysis/chapters/ch16_contraction_mappings/chapter.tex	SCAFFOLD
II/17	Brouwer-Type Fixed-Point Ideas	3	0	books/vol02_real_analysis/chapters/ch17_brouwer_type_fixed_point_ideas/chapter.tex	SCAFFOLD
II/18	Integral Equations	6	0	books/vol02_real_analysis/chapters/ch18_integral_equations/chapter.tex	SCAFFOLD
II/19	Elementary Existence Theory for ODEs	6	0	books/vol02_real_analysis/chapters/ch19_elementary_existence_theory_for_odes/chapter.tex	SCAFFOLD
II/20	Polynomial Interpolation	16	0	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	SCAFFOLD
II/21	Polynomial Approximation	3	0	books/vol02_real_analysis/chapters/ch21_polynomial_approximation/chapter.tex	SCAFFOLD
II/22	Chebyshev and Minimax Approximation	7	0	books/vol02_real_analysis/chapters/ch22_chebyshev_and_minimax_approximation/chapter.tex	SCAFFOLD
II/23	The Alternation Principle	3	0	books/vol02_real_analysis/chapters/ch23_the_alternation_principle/chapter.tex	SCAFFOLD
II/24	Numerical Quadrature	6	0	books/vol02_real_analysis/chapters/ch24_numerical_quadrature/chapter.tex	SCAFFOLD
II/25	Continued Fractions and Approximation Topics	4	0	books/vol02_real_analysis/chapters/ch25_continued_fractions_and_approximation_topics/chapter.tex	SCAFFOLD
