source_file	source_block_id	destination	precedence	source_exists	canonical_status
ex38g_ex39.tex	S01	II/15	100	YES	ROUTED
ex38g_ex39.tex	FALLBACK.ALL_UNMATCHED	II/15	10	YES	ROUTED
ex3_8_takagi.tex	S01	II/15	100	YES	ROUTED
ex3_8_takagi.tex	FALLBACK.ALL_UNMATCHED	II/15	10	YES	ROUTED
exercise_4_solutions_1_.tex	S01	II/01	100	YES	ROUTED
exercise_4_solutions_1_.tex	S02	II/10	100	YES	ROUTED
exercise_4_solutions_1_.tex	S03	II/01	100	YES	ROUTED
exercise_4_solutions_1_.tex	S04	II/10	100	YES	ROUTED
exercise_4_solutions_1_.tex	FALLBACK.ALL_UNMATCHED	II/01	10	YES	ROUTED
interpolation.tex	S01	II/20	100	YES	ROUTED
interpolation.tex	FALLBACK.ALL_UNMATCHED	II/20	10	YES	ROUTED
interpolation_all.tex	S01	II/20	100	YES	ROUTED
interpolation_all.tex	FALLBACK.ALL_UNMATCHED	II/20	10	YES	ROUTED
interpolation_n16.tex	S01	II/20	100	YES	ROUTED
interpolation_n16.tex	FALLBACK.ALL_UNMATCHED	II/20	10	YES	ROUTED
interpolation_n4.tex	S01	II/20	100	YES	ROUTED
interpolation_n4.tex	FALLBACK.ALL_UNMATCHED	II/20	10	YES	ROUTED
interpolation_n8.tex	S01	II/20	100	YES	ROUTED
interpolation_n8.tex	FALLBACK.ALL_UNMATCHED	II/20	10	YES	ROUTED
theory-of-analysis-II.tex	OVR.II_08.SECTION	II/08	110	YES	ROUTED
theory-of-analysis-II.tex	OVR.II_08.EXERCISE_CHILDREN	II/08	105	YES	ROUTED
theory-of-analysis-II.tex	OVR.II_08.THEORY_CHILDREN	II/08	105	YES	ROUTED
theory-of-analysis-II.tex	T01.SECTION	II/11	100	YES	ROUTED
theory-of-analysis-II.tex	T02.SECTION	II/12	100	YES	ROUTED
theory-of-analysis-II.tex	T03.SECTION	II/13	100	YES	ROUTED
theory-of-analysis-II.tex	T04.SECTION	II/14	100	YES	ROUTED
theory-of-analysis-II.tex	T05.SECTION	II/10	100	YES	ROUTED
theory-of-analysis-II.tex	T06.SECTION	II/18	100	YES	ROUTED
theory-of-analysis-II.tex	T07.SECTION	II/19	100	YES	ROUTED
