chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
III/16	1	prob:iii16-dossier-01	Distributions diagnostic	CORPUS_GUIDED	theory-of-analysis-FD.tex	T07.SECTION	distribution|Dirac|tempered	distribution theory	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	2	prob:iii16-dossier-02	Regular distributions diagnostic	CORPUS_GUIDED	theory-of-analysis-functions-II.tex	T02.SECTION	distribution|distributional derivative	distributions derivatives	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	3	prob:iii16-dossier-03	Dirac mass diagnostic	CORPUS_GUIDED	theory-of-disitrbutions.tex	T01.SECTION	distribution|Dirac|test function	distributions	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	4	prob:iii16-dossier-04	Distributional derivatives diagnostic	CORPUS_GUIDED	theory-of-analysis-FD.tex	T07.EXERCISE_CHILDREN	descendant-of(distribution|Dirac|tempered)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	5	prob:iii16-dossier-05	Integration by parts diagnostic	CORPUS_GUIDED	theory-of-analysis-FD.tex	T07.THEORY_CHILDREN	descendant-of(distribution|Dirac|tempered)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	6	prob:iii16-dossier-06	Convergence of distributions diagnostic	CORPUS_GUIDED	theory-of-analysis-functions-II.tex	T02.EXERCISE_CHILDREN	descendant-of(distribution|distributional derivative)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	7	prob:iii16-dossier-07	Multiplication by smooth functions diagnostic	CORPUS_GUIDED	theory-of-analysis-functions-II.tex	T02.THEORY_CHILDREN	descendant-of(distribution|distributional derivative)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	8	prob:iii16-dossier-08	Linear differential operators diagnostic	CORPUS_GUIDED	theory-of-disitrbutions.tex	T01.EXERCISE_CHILDREN	descendant-of(distribution|Dirac|test function)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	9	prob:iii16-dossier-09	Agreement with classical derivatives proof dossier	CORPUS_GUIDED	theory-of-disitrbutions.tex	T01.THEORY_CHILDREN	descendant-of(distribution|Dirac|test function)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/16	10	prob:iii16-dossier-10	Derivative of Heaviside proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/16	11	prob:iii16-dossier-11	Continuity of differentiation proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/16	12	prob:iii16-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	1	prob:iii17-dossier-01	Support of a distribution diagnostic	CORPUS_GUIDED	theory-of-analysis-functions-II.tex	T03.SECTION	support of a distribution|delta|Dirac|singular distribution	support singular distributions	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/17	2	prob:iii17-dossier-02	Compact support diagnostic	CORPUS_GUIDED	theory-of-analysis-functions-II.tex	T03.EXERCISE_CHILDREN	descendant-of(support of a distribution|delta|Dirac|singular distribution)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/17	3	prob:iii17-dossier-03	Dirac support diagnostic	CORPUS_GUIDED	theory-of-analysis-functions-II.tex	T03.THEORY_CHILDREN	descendant-of(support of a distribution|delta|Dirac|singular distribution)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/17	4	prob:iii17-dossier-04	Derivatives of Dirac diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	5	prob:iii17-dossier-05	Measures as distributions diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	6	prob:iii17-dossier-06	Jump singularities diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	7	prob:iii17-dossier-07	Surface distributions diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	8	prob:iii17-dossier-08	Localization diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	9	prob:iii17-dossier-09	Support of a derivative proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	10	prob:iii17-dossier-10	Dirac derivatives proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	11	prob:iii17-dossier-11	Jump formula proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/17	12	prob:iii17-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
