chapter_code	chapter_title	mapped_rules	missing_sources	canonical_path	state
III/01	Sigma-Algebras and Measures	4	0	books/vol03_fourier_distributions_pde/chapters/ch01_sigma_algebras_and_measures/chapter.tex	DEVELOPED
III/02	Measurable Functions	3	0	books/vol03_fourier_distributions_pde/chapters/ch02_measurable_functions/chapter.tex	DEVELOPED
III/03	The Lebesgue Integral	3	0	books/vol03_fourier_distributions_pde/chapters/ch03_the_lebesgue_integral/chapter.tex	DEVELOPED
III/04	Convergence Theorems	3	0	books/vol03_fourier_distributions_pde/chapters/ch04_convergence_theorems/chapter.tex	DEVELOPED
III/05	Product Measures and Fubini Theory	3	0	books/vol03_fourier_distributions_pde/chapters/ch05_product_measures_and_fubini_theory/chapter.tex	DEVELOPED
III/06	Lp Spaces	3	0	books/vol03_fourier_distributions_pde/chapters/ch06_lp_spaces/chapter.tex	DEVELOPED
III/07	Hölder, Minkowski and Interpolation	3	0	books/vol03_fourier_distributions_pde/chapters/ch07_h_lder_minkowski_and_interpolation/chapter.tex	DEVELOPED
III/08	Egorov, Vitali and Weak-Lp Ideas	3	0	books/vol03_fourier_distributions_pde/chapters/ch08_egorov_vitali_and_weak_lp_ideas/chapter.tex	DEVELOPED
III/09	Fourier Series	4	0	books/vol03_fourier_distributions_pde/chapters/ch09_fourier_series/chapter.tex	DEVELOPED
III/10	Convolution and Approximate Identities	3	0	books/vol03_fourier_distributions_pde/chapters/ch10_convolution_and_approximate_identities/chapter.tex	DEVELOPED
III/11	The Fourier Transform	7	0	books/vol03_fourier_distributions_pde/chapters/ch11_the_fourier_transform/chapter.tex	DEVELOPED
III/12	The Gaussian and Transform Calculus	3	0	books/vol03_fourier_distributions_pde/chapters/ch12_the_gaussian_and_transform_calculus/chapter.tex	DEVELOPED
III/13	Plancherel and L2 Fourier Theory	6	0	books/vol03_fourier_distributions_pde/chapters/ch13_plancherel_and_l2_fourier_theory/chapter.tex	DEVELOPED
III/14	The Schwartz Space	3	0	books/vol03_fourier_distributions_pde/chapters/ch14_the_schwartz_space/chapter.tex	DEVELOPED
III/15	Test-Function Spaces	4	0	books/vol03_fourier_distributions_pde/chapters/ch15_test_function_spaces/chapter.tex	DEVELOPED
III/16	Distributions and Distributional Derivatives	10	0	books/vol03_fourier_distributions_pde/chapters/ch16_distributions_and_distributional_derivatives/chapter.tex	DEVELOPED
III/17	Support and Singular Distributions	3	0	books/vol03_fourier_distributions_pde/chapters/ch17_support_and_singular_distributions/chapter.tex	DEVELOPED
III/18	Tempered Distributions	6	0	books/vol03_fourier_distributions_pde/chapters/ch18_tempered_distributions/chapter.tex	DEVELOPED
III/19	Fourier Transform of Distributions	9	0	books/vol03_fourier_distributions_pde/chapters/ch19_fourier_transform_of_distributions/chapter.tex	DEVELOPED
III/20	Weak Derivatives	3	0	books/vol03_fourier_distributions_pde/chapters/ch20_weak_derivatives/chapter.tex	DEVELOPED
III/21	Sobolev Spaces	6	0	books/vol03_fourier_distributions_pde/chapters/ch21_sobolev_spaces/chapter.tex	DEVELOPED
III/22	Approximation and Density	3	0	books/vol03_fourier_distributions_pde/chapters/ch22_approximation_and_density/chapter.tex	DEVELOPED
III/23	Weak Boundary-Value Problems	3	0	books/vol03_fourier_distributions_pde/chapters/ch23_weak_boundary_value_problems/chapter.tex	DEVELOPED
III/24	Fundamental Solutions	9	0	books/vol03_fourier_distributions_pde/chapters/ch24_fundamental_solutions/chapter.tex	DEVELOPED
III/25	Green Functions	7	0	books/vol03_fourier_distributions_pde/chapters/ch25_green_functions/chapter.tex	DEVELOPED
III/26	Sturm–Liouville Green Kernels	5	0	books/vol03_fourier_distributions_pde/chapters/ch26_sturm_liouville_green_kernels/chapter.tex	DEVELOPED
III/27	Elliptic Operators and Maximum Principles	3	0	books/vol03_fourier_distributions_pde/chapters/ch27_elliptic_operators_and_maximum_principles/chapter.tex	DEVELOPED
III/28	Spectral and Transform Methods for PDE	9	0	books/vol03_fourier_distributions_pde/chapters/ch28_spectral_and_transform_methods_for_pde/chapter.tex	DEVELOPED
