chapter_code	chapter_title	mapped_rules	missing_sources	canonical_path	state
IV/01	Complex Differentiability	6	0	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	DEVELOPED
IV/02	Cauchy–Riemann Equations	3	0	books/vol04_complex_analysis/chapters/ch02_cauchy_riemann_equations/chapter.tex	DEVELOPED
IV/03	Power Series and Analytic Functions	7	0	books/vol04_complex_analysis/chapters/ch03_power_series_and_analytic_functions/chapter.tex	DEVELOPED
IV/04	Complex Integration	27	0	books/vol04_complex_analysis/chapters/ch04_complex_integration/chapter.tex	DEVELOPED
IV/05	Cauchy's Theorem	6	0	books/vol04_complex_analysis/chapters/ch05_cauchy_s_theorem/chapter.tex	DEVELOPED
IV/06	Cauchy's Integral Formula	3	0	books/vol04_complex_analysis/chapters/ch06_cauchy_s_integral_formula/chapter.tex	DEVELOPED
IV/07	Zeros and the Identity Theorem	6	0	books/vol04_complex_analysis/chapters/ch07_zeros_and_the_identity_theorem/chapter.tex	DEVELOPED
IV/08	Laurent Series	18	0	books/vol04_complex_analysis/chapters/ch08_laurent_series/chapter.tex	DEVELOPED
IV/09	Isolated Singularities	6	0	books/vol04_complex_analysis/chapters/ch09_isolated_singularities/chapter.tex	DEVELOPED
IV/10	Residues and the Residue Theorem	12	0	books/vol04_complex_analysis/chapters/ch10_residues_and_the_residue_theorem/chapter.tex	DEVELOPED
IV/11	Evaluation of Real Integrals	3	0	books/vol04_complex_analysis/chapters/ch11_evaluation_of_real_integrals/chapter.tex	DEVELOPED
IV/12	Winding Numbers and the Argument Principle	22	0	books/vol04_complex_analysis/chapters/ch12_winding_numbers_and_the_argument_principle/chapter.tex	DEVELOPED
IV/13	Rouché's Theorem	3	0	books/vol04_complex_analysis/chapters/ch13_rouch_s_theorem/chapter.tex	DEVELOPED
IV/14	Branches of the Logarithm and Roots	10	0	books/vol04_complex_analysis/chapters/ch14_branches_of_the_logarithm_and_roots/chapter.tex	DEVELOPED
IV/15	Analytic Continuation	6	0	books/vol04_complex_analysis/chapters/ch15_analytic_continuation/chapter.tex	DEVELOPED
IV/16	Möbius Transformations	4	0	books/vol04_complex_analysis/chapters/ch16_m_bius_transformations/chapter.tex	DEVELOPED
IV/17	Conformal Mapping	15	0	books/vol04_complex_analysis/chapters/ch17_conformal_mapping/chapter.tex	DEVELOPED
IV/18	Schwarz–Christoffel Transformations	3	0	books/vol04_complex_analysis/chapters/ch18_schwarz_christoffel_transformations/chapter.tex	DEVELOPED
IV/19	The Gamma Function	4	0	books/vol04_complex_analysis/chapters/ch19_the_gamma_function/chapter.tex	SCAFFOLD
IV/20	Beta and Gamma Identities	3	0	books/vol04_complex_analysis/chapters/ch20_beta_and_gamma_identities/chapter.tex	SCAFFOLD
IV/21	Keyhole Contours and Branch-Cut Integrals	3	0	books/vol04_complex_analysis/chapters/ch21_keyhole_contours_and_branch_cut_integrals/chapter.tex	SCAFFOLD
IV/22	From Analytic Continuation to Riemann Surfaces	9	0	books/vol04_complex_analysis/chapters/ch22_from_analytic_continuation_to_riemann_surfaces/chapter.tex	SCAFFOLD
IV/23	Covering Maps and Monodromy	8	0	books/vol04_complex_analysis/chapters/ch23_covering_maps_and_monodromy/chapter.tex	SCAFFOLD
IV/24	Branched Coverings	7	0	books/vol04_complex_analysis/chapters/ch24_branched_coverings/chapter.tex	SCAFFOLD
IV/25	Construction by Gluing	6	0	books/vol04_complex_analysis/chapters/ch25_construction_by_gluing/chapter.tex	SCAFFOLD
IV/26	Compactification and Genus	3	0	books/vol04_complex_analysis/chapters/ch26_compactification_and_genus/chapter.tex	SCAFFOLD
IV/27	Lattices and Complex Tori	4	0	books/vol04_complex_analysis/chapters/ch27_lattices_and_complex_tori/chapter.tex	SCAFFOLD
IV/28	Elliptic Functions	7	0	books/vol04_complex_analysis/chapters/ch28_elliptic_functions/chapter.tex	SCAFFOLD
IV/29	The Weierstrass ℘-Function	9	0	books/vol04_complex_analysis/chapters/ch29_the_weierstrass_function/chapter.tex	SCAFFOLD
IV/30	Addition Formulas	7	0	books/vol04_complex_analysis/chapters/ch30_addition_formulas/chapter.tex	SCAFFOLD
IV/31	Elliptic Curves as Riemann Surfaces	4	0	books/vol04_complex_analysis/chapters/ch31_elliptic_curves_as_riemann_surfaces/chapter.tex	SCAFFOLD
