chapter_code	chapter_title	mapped_rules	missing_sources	canonical_path	state
V/01	Rings, Ideals and Quotients	3	0	books/vol05_commutative_algebra/chapters/ch01_rings_ideals_and_quotients/chapter.tex	DEVELOPED
V/02	Prime and Maximal Ideals	3	0	books/vol05_commutative_algebra/chapters/ch02_prime_and_maximal_ideals/chapter.tex	DEVELOPED
V/03	Radicals and Nilpotents	3	0	books/vol05_commutative_algebra/chapters/ch03_radicals_and_nilpotents/chapter.tex	DEVELOPED
V/04	Chinese Remainder Theory	10	0	books/vol05_commutative_algebra/chapters/ch04_chinese_remainder_theory/chapter.tex	DEVELOPED
V/05	Multiplicative Systems	5	0	books/vol05_commutative_algebra/chapters/ch05_multiplicative_systems/chapter.tex	DEVELOPED
V/06	Localization of Rings	3	0	books/vol05_commutative_algebra/chapters/ch06_localization_of_rings/chapter.tex	DEVELOPED
V/07	Localization of Modules	6	0	books/vol05_commutative_algebra/chapters/ch07_localization_of_modules/chapter.tex	DEVELOPED
V/08	Local Rings and Localization at Primes	12	0	books/vol05_commutative_algebra/chapters/ch08_local_rings_and_localization_at_primes/chapter.tex	DEVELOPED
V/09	Modules and Exact Sequences	8	0	books/vol05_commutative_algebra/chapters/ch09_modules_and_exact_sequences/chapter.tex	DEVELOPED
V/10	Tensor Products	17	0	books/vol05_commutative_algebra/chapters/ch10_tensor_products/chapter.tex	DEVELOPED
V/11	Quotients and Base Change	9	0	books/vol05_commutative_algebra/chapters/ch11_quotients_and_base_change/chapter.tex	DEVELOPED
V/12	Hom and Finitely Presented Modules	21	0	books/vol05_commutative_algebra/chapters/ch12_hom_and_finitely_presented_modules/chapter.tex	DEVELOPED
V/13	Free and Projective Modules	3	0	books/vol05_commutative_algebra/chapters/ch13_free_and_projective_modules/chapter.tex	DEVELOPED
V/14	Flat Modules	6	0	books/vol05_commutative_algebra/chapters/ch14_flat_modules/chapter.tex	DEVELOPED
V/15	Noetherian Rings and Modules	6	0	books/vol05_commutative_algebra/chapters/ch15_noetherian_rings_and_modules/chapter.tex	DEVELOPED
V/16	Support	10	0	books/vol05_commutative_algebra/chapters/ch16_support/chapter.tex	DEVELOPED
V/17	Associated Primes	6	0	books/vol05_commutative_algebra/chapters/ch17_associated_primes/chapter.tex	DEVELOPED
V/18	Completion and I-Adic Topology	11	0	books/vol05_commutative_algebra/chapters/ch18_completion_and_i_adic_topology/chapter.tex	DEVELOPED
V/19	Integral Dependence	3	0	books/vol05_commutative_algebra/chapters/ch19_integral_dependence/chapter.tex	SCAFFOLD
V/20	Integral Closure and Normalization	3	0	books/vol05_commutative_algebra/chapters/ch20_integral_closure_and_normalization/chapter.tex	SCAFFOLD
V/21	Valuation Rings	7	0	books/vol05_commutative_algebra/chapters/ch21_valuation_rings/chapter.tex	SCAFFOLD
V/22	Chain Complexes	5	0	books/vol05_commutative_algebra/chapters/ch22_chain_complexes/chapter.tex	SCAFFOLD
V/23	Free Resolutions	13	0	books/vol05_commutative_algebra/chapters/ch23_free_resolutions/chapter.tex	SCAFFOLD
V/24	Syzygies	6	0	books/vol05_commutative_algebra/chapters/ch24_syzygies/chapter.tex	SCAFFOLD
V/25	Minimal Resolutions	6	0	books/vol05_commutative_algebra/chapters/ch25_minimal_resolutions/chapter.tex	SCAFFOLD
V/26	The Tor Functor	3	0	books/vol05_commutative_algebra/chapters/ch26_the_tor_functor/chapter.tex	SCAFFOLD
V/27	The Ext Functor	3	0	books/vol05_commutative_algebra/chapters/ch27_the_ext_functor/chapter.tex	SCAFFOLD
V/28	Derived-Functor Viewpoint	3	0	books/vol05_commutative_algebra/chapters/ch28_derived_functor_viewpoint/chapter.tex	SCAFFOLD
