source_path	ref_kind	label	target_paths	classification
books/vol06_algebraic_geometry/chapters/ch47_ech_cohomology/chapter.tex	ref	prop:vi47-two-open	books/vol06_algebraic_geometry/chapters/ch47_ech_cohomology/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	ref	prop:vi45-tangent-cone	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	ref	prop:vi45-total-transform-formula	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	ref	thm:vi45-cremona-picard-action	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex	ref	thm:vi44-degree-transform	books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex	ref	prop:vi43-two-point-reduction	books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex	ref	prop:vi43-two-point-reduction	books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	cref	thm:vi42-cartier-picard	books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	cref	thm:vi42-pic-to-cl	books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	cref	cor:vi42-locally-factorial	books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	cref	thm:vi42-pic-to-cl	books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	cref	cor:vi42-locally-factorial	books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	cref	thm:vi41-open-subset	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	cref	cor:vi41-principal-localization	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	cref	thm:vi41-L-nonprincipal	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	cref	prop:vi41-cone-normal	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	cref	thm:vi41-ufd-criterion	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	cref	cor:vi41-codim-two-invariance	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	cref	thm:vi41-localization	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch39_weil_divisors/chapter.tex	cref	thm:vi39-degree-zero	books/vol06_algebraic_geometry/chapters/ch39_weil_divisors/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	cref	thm:vi38-affine-closed	books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	cref	thm:vi38-quotient-closed	books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	cref	prop:vi38-segre-product	books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	cref	thm:vi38-segre	books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch35_proj/chapter.tex	cref	thm:vi35-affine-chart	books/vol06_algebraic_geometry/chapters/ch35_proj/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch31_codimension/chapter.tex	cref	def:vi31-codim-closed	books/vol06_algebraic_geometry/chapters/ch31_codimension/chapter.tex	RESOLVED
books/vol06_algebraic_geometry/chapters/ch31_codimension/chapter.tex	cref	thm:vi31-additivity	books/vol06_algebraic_geometry/chapters/ch31_codimension/chapter.tex	RESOLVED
