destination	target_id	kind	title	paired_solution	path	legacy_targeted
VIII/01	def:viii01-homotopy	definition	Homotopy	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	ex:viii01-straight	example	Straight-line homotopy	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	ex:viii01-interval-target	example	Maps into an interval	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	ex:viii01-circle-rotation	example	Rotation of the circle	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	thm:viii01-equivalence	theorem	Equivalence relation	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	prop:viii01-postcomposition	proposition	Postcomposition	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	prop:viii01-precomposition	proposition	Precomposition	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	cor:viii01-two-sided	corollary	Two-sided compatibility	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	def:viii01-null	definition	Null-homotopic map	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	ex:viii01-convex-null	example	Maps into a convex set	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	prop:viii01-point-factor	proposition	Factorization through a point	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	def:viii01-relative	definition	Homotopy relative to \(A\)	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	ex:viii01-fixed-endpoints	example	Fixing endpoints	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	def:viii01-based	definition	Based map and based homotopy	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	lem:viii01-reparam	lemma	Monotone reparameterization	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	prop:viii01-image-control	proposition	Image control	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	ex:viii01-punctured	example	Why the ambient target matters	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	prop:viii01-restrict-time	proposition	Restriction to time intervals	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	prop:viii01-product	proposition	Product homotopy	NO	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-01	exercise	write the defining endpoint equations for a homotopy h f g	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-02	exercise	show that every map is homotopic to itself	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-03	exercise	reverse a given homotopy h f g	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-04	exercise	concatenate homotopies h f g and k g h	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-05	exercise	why is the concatenated homotopy continuous at t 1 2	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-06	exercise	give a homotopy from f x x to g x 0 on r n	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-07	exercise	show that two maps x are homotopic	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-08	exercise	construct a homotopy from the identity of s 1 to rotation by angle 3	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-09	exercise	if f g prove u f u g	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-10	exercise	if f g prove f v g v	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-11	exercise	define a null homotopic map	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-12	exercise	show every map into a convex subset of r n is null homotopic	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-13	exercise	state what f g a means	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-14	exercise	what preliminary condition on f and g is necessary for a homotopy rel a	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-15	exercise	interpret homotopy rel 0 1 for paths	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-16	exercise	what is a based homotopy	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-17	exercise	why can an arbitrary collection of paths from f x to g x fail	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-18	exercise	reparameterize a homotopy so that it pauses at t 1 2	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-19	exercise	show that the product of two null homotopic maps is null homotopic	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-20	exercise	why does the straight line deformation from x to x fail in r 2	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
VIII/01	exr:viii01-21	exercise	if h x i a y in which two targets can the same formula	YES	books/vol08_algebraic_topology/chapters/ch01_homotopies_of_maps/chapter.tex	NO
