record_type	source_file	source_block_id	source_instance	source_kind	source_title	destination	canonical_target	target_kind	classification	method	score	paired_solution	notes
LEDGER_RULE	latex_embed_examples_3_5.tex	S01		SUPPORT_OR_EXERCISE	quotient/homology diagrams Problems 3-5	VIII/18			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Attach to the destination chapter; do not build as a standalone chapter.
LEDGER_RULE	latex_embed_examples_3_5.tex	S02		SUPPORT_OR_EXERCISE	Moore space realization	VIII/25			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Attach to the destination chapter; do not build as a standalone chapter.
LEDGER_RULE	latex_embed_examples_3_5.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	remaining support content	VIII/18			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Keep with mapped chapter assets/exercises unless an explicit selector overrides.
LEDGER_RULE	problems_9_10_visuals_embedded.tex	S01		SUPPORT_OR_EXERCISE	relative disk-sphere pairing	VIII/19			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Attach to the destination chapter; do not build as a standalone chapter.
LEDGER_RULE	problems_9_10_visuals_embedded.tex	S02		SUPPORT_OR_EXERCISE	annulus connecting map	VIII/28			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Attach to the destination chapter; do not build as a standalone chapter.
LEDGER_RULE	problems_9_10_visuals_embedded.tex	S03		SUPPORT_OR_EXERCISE	Bockstein RP2	VIII/25			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Attach to the destination chapter; do not build as a standalone chapter.
LEDGER_RULE	problems_9_10_visuals_embedded.tex	S04		SUPPORT_OR_EXERCISE	projective-space parity	VIII/33			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Attach to the destination chapter; do not build as a standalone chapter.
LEDGER_RULE	problems_9_10_visuals_embedded.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	remaining support content	VIII/19			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Keep with mapped chapter assets/exercises unless an explicit selector overrides.
LEDGER_RULE	problems_9_10_visuals_snippet.tex	S01		SUPPORT_OR_EXERCISE	Problems 9-10 visual snippet	VIII/25			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Attach to the destination chapter; do not build as a standalone chapter.
LEDGER_RULE	problems_9_10_visuals_snippet.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	remaining support content	VIII/25			SUPPORT_VISUAL_RECONCILE	LEDGER_ACTION			Keep with mapped chapter assets/exercises unless an explicit selector overrides.
LEDGER_RULE	theory-of-algebraic-topology-1--math-alls-3.tex	ARCHIVE.ALL		ENTIRE_FILE	all blocks	ARCHIVE_VARIANT			PROVENANCE_ONLY	LEDGER_ACTION			Preserve for provenance/diff only. Preferred comparison source: theory-of-algebraic-topology-1.tex. Migrate only if a repo-local diff proves unique mathematics.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T01.SECTION		SECTION_OR_SUBSECTION	homotopy	VIII/01			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T02.SECTION		SECTION_OR_SUBSECTION	contractibility equivalence	VIII/02			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T03.SECTION		SECTION_OR_SUBSECTION	degree	VIII/03			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T04.SECTION		SECTION_OR_SUBSECTION	spheres antipodal	VIII/04			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T01.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/01			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T01.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/01			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T02.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/02			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T02.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/02			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T03.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/03			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T03.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/03			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T04.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/04			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	T04.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/04			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-1.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	all remaining sections/theorem-like/problem blocks	VIII/01			FALLBACK_RULE_INSTANCE_RECONCILED	DIRECT_INSTANCE_EVIDENCE_REQUIRED			Safety-net destination. During chapter reconstruction, split any false-positive block before deleting the legacy file. | No covered-by-topic assumption accepted.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T01.SECTION		SECTION_OR_SUBSECTION	mapping cones	VIII/07			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T02.SECTION		SECTION_OR_SUBSECTION	chain complexes	VIII/16			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T03.SECTION		SECTION_OR_SUBSECTION	chain homotopies	VIII/22			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T04.SECTION		SECTION_OR_SUBSECTION	mapping cone chain maps	VIII/24			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T01.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/07			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T01.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/07			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T02.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/16			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T02.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/16			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T03.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/22			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T03.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/22			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T04.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/24			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	T04.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/24			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-10.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	all remaining sections/theorem-like/problem blocks	VIII/07			FALLBACK_RULE_INSTANCE_RECONCILED	DIRECT_INSTANCE_EVIDENCE_REQUIRED			Safety-net destination. During chapter reconstruction, split any false-positive block before deleting the legacy file. | No covered-by-topic assumption accepted.
LEDGER_RULE	theory-of-algebraic-topology-11.tex	T01.SECTION		SECTION_OR_SUBSECTION	attaching maps overlap	VIII/05			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-11.tex	T02.SECTION		SECTION_OR_SUBSECTION	homotopic attachments	VIII/08			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-11.tex	T01.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/05			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-11.tex	T01.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/05			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-11.tex	T02.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/08			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-11.tex	T02.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/08			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	all remaining sections/theorem-like/problem blocks	VIII/05			FALLBACK_RULE_INSTANCE_RECONCILED	DIRECT_INSTANCE_EVIDENCE_REQUIRED			Safety-net destination. During chapter reconstruction, split any false-positive block before deleting the legacy file. | No covered-by-topic assumption accepted.
LEDGER_RULE	theory-of-algebraic-topology-12.tex	T01.SECTION		SECTION_OR_SUBSECTION	mod p coefficients	VIII/25			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-12.tex	T02.SECTION		SECTION_OR_SUBSECTION	chain homotopy	VIII/22			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-12.tex	T01.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/25			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-12.tex	T01.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/25			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-12.tex	T02.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/22			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-12.tex	T02.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/22			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	all remaining sections/theorem-like/problem blocks	VIII/25			FALLBACK_RULE_INSTANCE_RECONCILED	DIRECT_INSTANCE_EVIDENCE_REQUIRED			Safety-net destination. During chapter reconstruction, split any false-positive block before deleting the legacy file. | No covered-by-topic assumption accepted.
LEDGER_RULE	theory-of-algebraic-topology-13.tex	T01.SECTION		SECTION_OR_SUBSECTION	UCT	VIII/26			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-13.tex	T02.SECTION		SECTION_OR_SUBSECTION	products Kunneth	VIII/27			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-13.tex	T01.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/26			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-13.tex	T01.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/26			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-13.tex	T02.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/27			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-13.tex	T02.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/27			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-13.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	all remaining sections/theorem-like/problem blocks	VIII/26			FALLBACK_RULE_INSTANCE_RECONCILED	DIRECT_INSTANCE_EVIDENCE_REQUIRED			Safety-net destination. During chapter reconstruction, split any false-positive block before deleting the legacy file. | No covered-by-topic assumption accepted.
LEDGER_RULE	theory-of-algebraic-topology-14.tex	T01.SECTION		SECTION_OR_SUBSECTION	vector bundles	VIII/30			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-14.tex	T02.SECTION		SECTION_OR_SUBSECTION	clutching	VIII/30			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-14.tex	T01.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/30			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-14.tex	T01.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/30			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-14.tex	T02.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/30			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-14.tex	T02.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/30			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-14.tex	FALLBACK.ALL_UNMATCHED		ANY_UNMATCHED_BLOCK	all remaining sections/theorem-like/problem blocks	VIII/30			FALLBACK_RULE_INSTANCE_RECONCILED	DIRECT_INSTANCE_EVIDENCE_REQUIRED			Safety-net destination. During chapter reconstruction, split any false-positive block before deleting the legacy file. | No covered-by-topic assumption accepted.
LEDGER_RULE	theory-of-algebraic-topology-15.tex	OVR.VIII_29.SECTION		SECTION_OR_SUBSECTION	cup products and cup-product pairings	VIII/29			INSTANCE_RECONCILE	LEDGER_ACTION			Targeted override added after raw-source verification; supersedes Poincaré-duality fallback where matched.
LEDGER_RULE	theory-of-algebraic-topology-15.tex	OVR.VIII_29.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/29			INSTANCE_RECONCILE	LEDGER_ACTION			Targeted override added after raw-source verification; supersedes Poincaré-duality fallback where matched.
LEDGER_RULE	theory-of-algebraic-topology-15.tex	OVR.VIII_29.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/29			INSTANCE_RECONCILE	LEDGER_ACTION			Targeted override added after raw-source verification; supersedes Poincaré-duality fallback where matched.
LEDGER_RULE	theory-of-algebraic-topology-15.tex	T01.SECTION		SECTION_OR_SUBSECTION	Thom classes	VIII/31			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-15.tex	T02.SECTION		SECTION_OR_SUBSECTION	Poincare duality	VIII/33			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-15.tex	T03.SECTION		SECTION_OR_SUBSECTION	intersection forms	VIII/34			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-15.tex	T04.SECTION		SECTION_OR_SUBSECTION	connected sums	VIII/33			INSTANCE_RECONCILE	LEDGER_ACTION			
LEDGER_RULE	theory-of-algebraic-topology-15.tex	T01.EXERCISE_CHILDREN		PROBLEM_EXERCISE_SOLUTION	problem|exercise|solution|worked problem	VIII/31			INSTANCE_RECONCILE	LEDGER_ACTION			All problem/exercise/solution blocks under the matched thematic section inherit this destination.
LEDGER_RULE	theory-of-algebraic-topology-15.tex	T01.THEORY_CHILDREN		THEOREM_LIKE	definition|theorem|lemma|proposition|corollary|remark|warning|example	VIII/31			INSTANCE_RECONCILE	LEDGER_ACTION			All theorem-like blocks under the matched thematic section inherit this destination.
