source_bucket	original_tex	compile_ready_source	current_path
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/commalg6_report_structure_template (1).tex	imports/COMPILE_READY/Downloads_commalg6_report_structure_template_1_.tex	chapters/imported/tex/commalg6_report_structure_template_1_.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/commalg6_report_structure_template.tex	imports/COMPILE_READY/Downloads_commalg6_report_structure_template.tex	chapters/imported/tex/commalg6_report_structure_template.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/diagrams_01-13_tikz.tex	imports/COMPILE_READY/Downloads_diagrams_01-13_tikz.tex	chapters/imported/tex/diagrams_01-13_tikz.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/ex3_8_takagi.tex	imports/COMPILE_READY/Downloads_ex3_8_takagi.tex	chapters/imported/tex/ex3_8_takagi.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/ex38g_ex39.tex	imports/COMPILE_READY/Downloads_ex38g_ex39.tex	chapters/imported/tex/ex38g_ex39.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/Exercise_1_2_append.tex	imports/COMPILE_READY/Downloads_Exercise_1_2_append.tex	chapters/imported/tex/Exercise_1_2_append.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/exercise_4_solutions (1).tex	imports/COMPILE_READY/Downloads_exercise_4_solutions_1_.tex	chapters/imported/tex/exercise_4_solutions_1_.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/interpolation.tex	imports/COMPILE_READY/Downloads_interpolation.tex	chapters/imported/tex/interpolation.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/interpolation_all.tex	imports/COMPILE_READY/Downloads_interpolation_all.tex	chapters/imported/tex/interpolation_all.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/interpolation_n16.tex	imports/COMPILE_READY/Downloads_interpolation_n16.tex	chapters/imported/tex/interpolation_n16.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/interpolation_n4.tex	imports/COMPILE_READY/Downloads_interpolation_n4.tex	chapters/imported/tex/interpolation_n4.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/interpolation_n8.tex	imports/COMPILE_READY/Downloads_interpolation_n8.tex	chapters/imported/tex/interpolation_n8.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/latex_embed_examples_3_5.tex	imports/COMPILE_READY/Downloads_latex_embed_examples_3_5.tex	chapters/imported/tex/latex_embed_examples_3_5.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/merged_exercises (1).tex	imports/COMPILE_READY/Downloads_merged_exercises_1_.tex	chapters/imported/tex/merged_exercises_1_.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/merged_exercises (2).tex	imports/COMPILE_READY/Downloads_merged_exercises_2_.tex	chapters/imported/tex/merged_exercises_2_.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/merged_exercises (3).tex	imports/COMPILE_READY/Downloads_merged_exercises_3_.tex	chapters/imported/tex/merged_exercises_3_.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/merged_exercises.tex	imports/COMPILE_READY/Downloads_merged_exercises.tex	chapters/imported/tex/merged_exercises.tex
Downloads	imports/ALL_TEX_AND_FIGURES/tex/Downloads/merged_exercises_corrected (1).tex	imports/COMPILE_READY/Downloads_merged_exercises_corrected_1_.tex	chapters/imported/tex/merged_exercises_corrected_1_.tex
