resolution,scale_radius,noise_amplitude,stable_feature_length,false_positive_length,mean_displacement,reference_loci
16,1,0.000,0.250000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
16,1,0.010,0.250000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
16,1,0.030,0.250000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
16,2,0.000,0.250000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
16,2,0.010,0.250000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
16,2,0.030,0.250000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
32,1,0.000,0.125000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
32,1,0.010,0.125000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
32,1,0.030,0.125000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
32,2,0.000,0.125000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
32,2,0.010,0.125000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
32,2,0.030,0.125000,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
64,1,0.000,0.062500,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
64,1,0.010,0.093750,0.031250,0.005208,"x=1/4, 3/4 on a unit profile"
64,1,0.030,0.093750,0.093750,0.010417,"x=1/4, 3/4 on a unit profile"
64,2,0.000,0.062500,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
64,2,0.010,0.062500,0.000000,0.000000,"x=1/4, 3/4 on a unit profile"
64,2,0.030,0.125000,0.000000,0.011719,"x=1/4, 3/4 on a unit profile"
