volume	asset	sha256	classification	canonical_target	evidence	action
IV	books/vol04_complex_analysis/book.pdf	b32558eace42fd84df61a8797f77d19d27b04ed5c068c867bb0ee9a1b6aa01a5	MISSING_CANONICAL_DESTINATION		mathematical figure asset exists but no canonical TeX reference was found	review for later figure-specific commit; do not delete in audit commit
V	books/vol05_commutative_algebra/book.pdf	ba473a64a2164654e2958a87f48a4f5643ffedb1a94edcf07d8fe25ff7a233e4	MISSING_CANONICAL_DESTINATION		mathematical figure asset exists but no canonical TeX reference was found	review for later figure-specific commit; do not delete in audit commit
VI	books/vol06_algebraic_geometry/book.pdf	8d988564a52244d036d7f06f94eeba588dc7f878f3888b06144fc37751f3a1bf	MISSING_CANONICAL_DESTINATION		mathematical figure asset exists but no canonical TeX reference was found	review for later figure-specific commit; do not delete in audit commit
VI	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/figures/README.md	62fc5999576ab3dabdaa9585dccdfc986437867c7d2d3a6b2d07e62d46f4d9e3	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/figures/README.md	e9304720f0bec65b7043c8e99df5750327c5f17c8c767bb7345084fac7c5a882	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/figures/README.md	77f8b7cf581e7c0ef9371b5b6bb2468b1eedf9e9ebe28420f7d857ac1ca3b5c2	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/figures/README.md	f9b0c2777e05605081cc682365ed6f5e287e6150a66826bb8cf9ceb706d8db94	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/README.md	1c65566f30dffce0f203a068fed996c0bd065faebf63951788838d08260f4987	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/vi05_component_graph.tex	d9b3eff1d94ab4444b99e7cecb305906ef9470a857c6c0aa36a6eed4b9c1a002	USED	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/vi05_component_graph.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/vi05_dictionary.tex	5320c5a559b8896b1c164a1ec848274260faf67a897a7cc74e94198551c2e1f9	USED	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/vi05_dictionary.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/vi05_idempotent_split.tex	a7f340c2c9f3a7d7640b5437d0e3a366cd4561feea7794d0479978dc0d997db7	USED	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/vi05_idempotent_split.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/vi05_minimal_primes.tex	05518599a93c2b2a975e40032a242547f4c37a8bc72e5d8cb18d328c966e5c5a	USED	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/figures/vi05_minimal_primes.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/README.md	025164a131bf84d31a7b4702d74548114a85f86450e0425fa1636d99e74438df	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
