"source"	"original_path"	"compile_ready_path"
"Downloads"	"imports\Downloads\.figs\1000.png"	"imports/COMPILE_READY/figures/Downloads_.figs_1000.png"
"Downloads"	"imports\Downloads\.figs\100x750x750.png"	"imports/COMPILE_READY/figures/Downloads_.figs_100x750x750.png"
"Downloads"	"imports\Downloads\.figs\aa.png"	"imports/COMPILE_READY/figures/Downloads_.figs_aa.png"
"Downloads"	"imports\Downloads\.figs\cayley_lines_w.png"	"imports/COMPILE_READY/figures/Downloads_.figs_cayley_lines_w.png"
"Downloads"	"imports\Downloads\.figs\cayley_lines_z.png"	"imports/COMPILE_READY/figures/Downloads_.figs_cayley_lines_z.png"
"Downloads"	"imports\Downloads\.figs\cayley_w_chords.png"	"imports/COMPILE_READY/figures/Downloads_.figs_cayley_w_chords.png"
"Downloads"	"imports\Downloads\.figs\cayley_w_grid.png"	"imports/COMPILE_READY/figures/Downloads_.figs_cayley_w_grid.png"
"Downloads"	"imports\Downloads\.figs\cayley_z_chords.png"	"imports/COMPILE_READY/figures/Downloads_.figs_cayley_z_chords.png"
"Downloads"	"imports\Downloads\.figs\cayley_z_grid.png"	"imports/COMPILE_READY/figures/Downloads_.figs_cayley_z_grid.png"
"Downloads"	"imports\Downloads\.figs\ChatGPT Image Jun 4, 2025, 12_52_20 AM.png"	"imports/COMPILE_READY/figures/Downloads_.figs_ChatGPT_Image_Jun_4_2025_12_52_20_AM.png"
"Downloads"	"imports\Downloads\.figs\clipn_sin2_plot (1).png"	"imports/COMPILE_READY/figures/Downloads_.figs_clipn_sin2_plot_1_.png"
"Downloads"	"imports\Downloads\.figs\clipn_sin2_plot.png"	"imports/COMPILE_READY/figures/Downloads_.figs_clipn_sin2_plot.png"
"Downloads"	"imports\Downloads\.figs\cos.png"	"imports/COMPILE_READY/figures/Downloads_.figs_cos.png"
"Downloads"	"imports\Downloads\.figs\covering_vitali_5B.png"	"imports/COMPILE_READY/figures/Downloads_.figs_covering_vitali_5B.png"
"Downloads"	"imports\Downloads\.figs\covering_wiener_3B.png"	"imports/COMPILE_READY/figures/Downloads_.figs_covering_wiener_3B.png"
"Downloads"	"imports\Downloads\.figs\crossratio_line_w_plane.png"	"imports/COMPILE_READY/figures/Downloads_.figs_crossratio_line_w_plane.png"
"Downloads"	"imports\Downloads\.figs\crossratio_line_z_plane.png"	"imports/COMPILE_READY/figures/Downloads_.figs_crossratio_line_z_plane.png"
"Downloads"	"imports\Downloads\.figs\crossratio_w_plane.png"	"imports/COMPILE_READY/figures/Downloads_.figs_crossratio_w_plane.png"
"Downloads"	"imports\Downloads\.figs\crossratio_z_plane.png"	"imports/COMPILE_READY/figures/Downloads_.figs_crossratio_z_plane.png"
"Downloads"	"imports\Downloads\.figs\curve_C_xy_plane.png"	"imports/COMPILE_READY/figures/Downloads_.figs_curve_C_xy_plane.png"
"Downloads"	"imports\Downloads\.figs\cylinder_helix_frenet.png"	"imports/COMPILE_READY/figures/Downloads_.figs_cylinder_helix_frenet.png"
