long_review_family_id	representative_problem_id	representative_source_file	member_count	member_problem_ids	line_span	closure_disposition	closure_rationale
LCR-001	IMP-DL-E4D9F7AB6B-PSR002969-8AAD2D5B	Downloads/theory-of-algebraic-topology-13.tex	1	IMP-DL-E4D9F7AB6B-PSR002969-8AAD2D5B	1946	OPENING_HEADING_FALSE_BOUNDARY	The only candidate boundary is the current object's own opening line, not a nested sibling object.
LCR-003	IMP-DL-14663C23F1-PSR001722-887B100D	Downloads/theory-of-geometry-III.tex	2	IMP-DL-14663C23F1-PSR001722-887B100D;IMP-M2-155017A9AF-PSR001722-887B100D	1502	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-004	IMP-DL-31FF76D7B8-PSR002633-56FF06A5	Downloads/theory-of-algebraic-topology-16.tex	1	IMP-DL-31FF76D7B8-PSR002633-56FF06A5	1104	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-006	IMP-DL-067214B351-PSR000338-34B483DA	Downloads/theory-of-algebraic-topology-15.tex	1	IMP-DL-067214B351-PSR000338-34B483DA	890	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-007	IMP-DL-721195CCB5-PSR001753-8BBBA0F3	Downloads/theory-of-algebraic-geometry-11.tex	1	IMP-DL-721195CCB5-PSR001753-8BBBA0F3	861	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-008	IMP-DL-A99C7658F3-PSR000352-C80D6834	Downloads/theory-of-algebraic-geometry-2.tex	1	IMP-DL-A99C7658F3-PSR000352-C80D6834	823	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-009	IMP-DL-D6E9B3BC73-PSR002190-D8475E88	Downloads/theory-of-algebraic-topology-1.tex	2	IMP-DL-D6E9B3BC73-PSR002190-D8475E88;IMP-M3-422B74F85F-PSR002187-D8475E88	753	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-011	IMP-DL-A5CEE6E541-PSR003295-358153B1	Downloads/theory-of-algebraic-geometry-8.tex	1	IMP-DL-A5CEE6E541-PSR003295-358153B1	668	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-012	IMP-DL-ACE5A65961-PSR002461-36AA55A9	Downloads/theory-of-commutative-algebra-2.tex	2	IMP-DL-ACE5A65961-PSR002461-36AA55A9;IMP-M3-251F2514E1-PSR002461-36AA55A9	645	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-013	IMP-DL-721195CCB5-PSR004607-99806BF8	Downloads/theory-of-algebraic-geometry-11.tex	1	IMP-DL-721195CCB5-PSR004607-99806BF8	618	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-014	IMP-DL-EAE0F59552-PSR001065-6AB7FE80	Downloads/theory-of-analysis-topology.tex	2	IMP-DL-EAE0F59552-PSR001065-6AB7FE80;IMP-M2-7EA9DA1D72-PSR001065-6AB7FE80	582	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-015	IMP-DL-183AD43C4C-PSR002637-86F3B19E	Downloads/theory-of-real-analysis.tex	2	IMP-DL-183AD43C4C-PSR002637-86F3B19E;IMP-M2-1895C43FC6-PSR002637-86F3B19E	539	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-016	IMP-DL-8D5CF4CFBA-PSR001118-D52E5A84	Downloads/theory-of-linear-algebra-2.tex	2	IMP-DL-8D5CF4CFBA-PSR001118-D52E5A84;IMP-M3-89937139FC-PSR001118-D52E5A84	504	NO_ACTIONABLE_NONSTANDARD_BOUNDARY	Earlier resegmentation label was not reproduced by targeted review; no internal candidate boundary remains.
LCR-018	IMP-DL-6B513C0C2F-PSR004820-DD7FCF02	Downloads/theory-of-algebraic-geometry-10.tex	1	IMP-DL-6B513C0C2F-PSR004820-DD7FCF02	452	CONFIRMED_SINGLE_LONG_OBJECT	Targeted review found no secondary structural boundary; candidate line is only opening/inspection context.
LCR-019	IMP-DL-721195CCB5-PSR005225-E90913A1	Downloads/theory-of-algebraic-geometry-11.tex	1	IMP-DL-721195CCB5-PSR005225-E90913A1	346	CONFIRMED_SINGLE_LONG_OBJECT	Targeted review found no secondary structural boundary; candidate line is only opening/inspection context.
LCR-021	IMP-DL-E4D9F7AB6B-PSR005605-41E6B029	Downloads/theory-of-algebraic-topology-13.tex	1	IMP-DL-E4D9F7AB6B-PSR005605-41E6B029	344	CONFIRMED_SINGLE_LONG_OBJECT	Targeted review found no secondary structural boundary; candidate line is only opening/inspection context.
