problem_id	risk_family_id	source_file	source_line_range	line_span	diagnosis	disposition	clear_review_flag	rationale
IMP-DL-6B513C0C2F-PSR002060-721DE972	PRF-001	Downloads/theory-of-algebraic-geometry-10.tex	L2060-L2376	317	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-6B513C0C2F-PSR003372-4CB5325E	PRF-001	Downloads/theory-of-algebraic-geometry-10.tex	L3372-L3646	275	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-6B513C0C2F-PSR004820-DD7FCF02	PRF-001	Downloads/theory-of-algebraic-geometry-10.tex	L4820-L5271	452	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-721195CCB5-PSR001753-8BBBA0F3	PRF-006	Downloads/theory-of-algebraic-geometry-11.tex	L1753-L2613	861	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-721195CCB5-PSR004607-99806BF8	PRF-027	Downloads/theory-of-algebraic-geometry-11.tex	L4607-L5224	618	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-721195CCB5-PSR005225-E90913A1	PRF-027	Downloads/theory-of-algebraic-geometry-11.tex	L5225-L5570	346	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-A99C7658F3-PSR000352-C80D6834	PRF-002	Downloads/theory-of-algebraic-geometry-2.tex	L352-L1174	823	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-A5CEE6E541-PSR003295-358153B1	PRF-017	Downloads/theory-of-algebraic-geometry-8.tex	L3295-L3962	668	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-D6E9B3BC73-PSR002190-D8475E88	PRF-008	Downloads/theory-of-algebraic-topology-1.tex	L2190-L2942	753	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-6447F1B120-PSR004179-07044FE6	PRF-007	Downloads/theory-of-algebraic-topology-11.tex	L4179-L4854	676	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-E4D9F7AB6B-PSR002969-8AAD2D5B	PRF-005	Downloads/theory-of-algebraic-topology-13.tex	L2969-L4914	1946	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-E4D9F7AB6B-PSR005605-41E6B029	PRF-005	Downloads/theory-of-algebraic-topology-13.tex	L5605-L5948	344	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-067214B351-PSR000338-34B483DA	PRF-012	Downloads/theory-of-algebraic-topology-15.tex	L338-L1227	890	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-067214B351-PSR001365-AF6BBF79	PRF-012	Downloads/theory-of-algebraic-topology-15.tex	L1365-L1675	311	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-067214B351-PSR002585-3EA19431	PRF-009	Downloads/theory-of-algebraic-topology-15.tex	L2585-L3603	1019	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-067214B351-PSR004191-68279895	PRF-009	Downloads/theory-of-algebraic-topology-15.tex	L4191-L4464	274	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-067214B351-PSR004601-D430E116	PRF-009	Downloads/theory-of-algebraic-topology-15.tex	L4601-L4945	345	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
