orphan_semantic_unit_id	member_count	candidate_count	top_candidate_problem_id	top_score	second_score	margin	safe_auto_link_candidate	recommended_action
SOLSEM-0588764558DD	2	14	IMP-DL-336732908A-P001	0.3085	0.3085	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-05FFD2FA731D	2	16	IMP-DL-117191C0EC-P001	0.3866	0.3866	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-0AD62D6BE89F	4	24	IMP-DL-1068DBED71-P017	0.3403	0.3403	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-0CB155B2EE69	6	46	IMP-DL-15679DEE8D-P001	0.3491	0.3491	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-11922CF888FA	2	14	IMP-DL-F77C60E8D1-P007	0.4870	0.4870	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-18288AB3C183	2	10	IMP-DL-7A55205E2C-P002	0.2143	0.2143	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-24370ABEA39C	8	42	IMP-DL-0E1AFE9FFD-P001	0.5153	0.5153	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-2ECC5725FBED	2	10	IMP-DL-40BD8D3E26-P005	0.1755	0.1755	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-33A097330A55	2	14	IMP-DL-B7B63B4C41-P009	0.4058	0.4058	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-430E116B7B76	2	16	IMP-DL-336732908A-P002	0.4763	0.4763	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-46C35180713E	2	8	IMP-DL-38CE6DEB56-P049	0.1766	0.1766	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-4B7DD35EDC5C	2	16	IMP-DL-0A181AC273-P004	0.5369	0.5369	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-510F83E5FDD3	2	14	IMP-DL-9DE2876887-P002	0.5417	0.5417	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-5110E28B6D24	2	16	IMP-DL-F77C60E8D1-P007	0.4512	0.4512	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-59AC70264CDC	4	14	IMP-DL-E1F1BB4192-P010	0.1560	0.1560	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-5AAAE28620F2	4	28	IMP-DL-1068DBED71-P059	0.3418	0.3418	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-6E6E04173149	2	16	IMP-DL-0A181AC273-P023	0.6105	0.6105	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-6E826C9510F1	6	36	IMP-DL-3C59D9EE8B-P031	0.4215	0.4215	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-7289CDF2AD18	2	16	IMP-DL-CB3C80FF97-P004	0.6031	0.6031	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-75628998F7B0	2	12	IMP-DL-11EDF39EA7-P010	0.6431	0.6431	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-7723F82AC385	2	16	IMP-DL-4A78994322-P001	0.3624	0.3624	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-77DFFE6671A1	4	12	IMP-DL-1068DBED71-P031	0.3055	0.3055	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-84D127DAD6CD	4	16	IMP-DL-1068DBED71-P068	0.5316	0.5316	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-8537456DF531	2	16	IMP-DL-4A78994322-P001	0.2816	0.2816	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-867BC22DE8EC	4	18	IMP-DL-1068DBED71-P074	0.6354	0.6354	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-88D5C8262602	6	34	IMP-DL-3C59D9EE8B-P031	0.4191	0.4191	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-8BD310C9A992	2	14	IMP-DL-B7B63B4C41-P009	0.4859	0.4859	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-8E73EDBB9A23	2	16	IMP-DL-117191C0EC-P053	0.4914	0.4914	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-915565817DA3	2	14	IMP-DL-D4351A3BBD-P035	0.4728	0.4728	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-94664AFC5677	2	12	IMP-DL-B7B63B4C41-P010	0.3760	0.3760	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-958B53520F81	2	13	IMP-DL-E88547CF67-P016	0.1498	0.1498	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-9E20A3B8BA92	2	14	IMP-DL-11EDF39EA7-P005	0.4032	0.4032	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-A3E4B3F720CA	6	44	IMP-DL-15679DEE8D-P004	0.6059	0.6059	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-AD6A0593A50F	2	16	IMP-DL-40BD8D3E26-P002	0.6093	0.6093	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-AE243A62188D	2	16	IMP-DL-CB3C80FF97-P022	0.4695	0.4695	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-AEA4A9DC1681	6	46	IMP-DL-3CA1CB77F7-P009	0.4086	0.4086	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-B13E4C22612E	2	14	IMP-DL-EAE0F59552-P001	0.4071	0.4071	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-B3DA4C4421B4	2	16	IMP-DL-CB3C80FF97-P003	0.4110	0.4110	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-B4C1AC5BB2F9	2	16	IMP-DL-F77C60E8D1-P006	0.4307	0.4307	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-B93AC2DB5FEE	2	12	IMP-DL-0EB9CBD958-P083	0.2755	0.2755	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-B93C6150B2EC	6	46	IMP-DL-15679DEE8D-P010	0.4116	0.4116	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-BB1FDE3F5EA8	2	16	IMP-DL-CB3C80FF97-P005	0.5231	0.5231	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-C1AF7EA194A7	4	10	IMP-DL-535B6F59C6-P003	0.0672	0.0672	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-C3C90BDDEA5E	2	16	IMP-DL-9DE2876887-P001	0.2966	0.2966	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-CC3D2F5A621D	6	46	IMP-DL-3CA1CB77F7-P010	0.3737	0.3737	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-CE63E5676102	2	10	IMP-DL-A470D9BACB-P015	0.2360	0.2360	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-CF0189361804	4	16	IMP-DL-3C59D9EE8B-P110	0.4579	0.4579	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-D2D9EC3193A9	2	10	IMP-DL-7A55205E2C-P003	0.2716	0.2716	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-D5F9B6359044	2	16	IMP-DL-CB3C80FF97-P022	0.5826	0.5826	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-DC428356191D	2	16	IMP-DL-CB3C80FF97-P022	0.3875	0.3875	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-DCFE8DCA7990	2	16	IMP-DL-EAE0F59552-P001	0.4998	0.4998	0.0000	NO	EDITORIAL_REVIEW
