orphan_semantic_unit_id	member_count	member_solution_ids	source_files	statuses	candidate_problem_ids	candidate_statement_hashes	distinct_candidate_statement_count	editorial_action
SOLSEM-0588764558DD	2	IMP-DL-336732908A-S002;IMP-M2-805F474A19-S002	Downloads/theory-of-complex-analysis-next.tex;MATH-ALLS-2/theory-of-complex-analysis-next.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-0A181AC273-P023;IMP-DL-336732908A-P001;IMP-DL-AD9EFCAF62-P024;IMP-DL-F77C60E8D1-P002;IMP-DL-FB19C24E92-P001;IMP-DL-FB19C24E92-P006;IMP-DL-FB19C24E92-P007;IMP-M2-09C070ED26-P002;IMP-M2-7785C781E9-P001;IMP-M2-7785C781E9-P002;IMP-M2-7785C781E9-P006;IMP-M2-7785C781E9-P007;IMP-M2-79778E004E-P024;IMP-M2-805F474A19-P001	13604320d4852544563538fc924fca7e88af11851c55bacfc22d46d079b13c23;3c9ab00fb8f78e0de30298bd2cc1fd09347fc8aa2a07cbc2cc780df729b0bdfd;4e51dab0cb201e00c465bde82e95eab4914c95bdceffca19b801651b0002e1fc;5ee2854c506f81ba9c303afe644bfc1398adfe79e9a70a7abd590fc758634140;b4880551b14bf26fe932d98dc2eeae8698901eab0f5d9a296a3d81e158467936;ba0e2e034426c3942e049695baad0912ecd530af8adcb05d7397936b8858935e;f735538b4e73bf85330bfd8ac2b7cbe34fb6848783bbcdb2a677fc9fe5fd48f7;fc0bfe92782ea1b6fac146da03a73a7b7c64ac29ba11851806821704534bf47d	8	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-05FFD2FA731D	2	IMP-DL-117191C0EC-S001;IMP-M2-40A546CAA2-S001	Downloads/theory-of-analysis-topics.tex;MATH-ALLS-2/theory-of-analysis-topics.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-117191C0EC-P001;IMP-DL-117191C0EC-P010;IMP-DL-117191C0EC-P016;IMP-DL-117191C0EC-P019;IMP-DL-117191C0EC-P022;IMP-DL-117191C0EC-P023;IMP-DL-117191C0EC-P047;IMP-DL-117191C0EC-P056;IMP-M2-40A546CAA2-P001;IMP-M2-40A546CAA2-P010;IMP-M2-40A546CAA2-P016;IMP-M2-40A546CAA2-P019;IMP-M2-40A546CAA2-P022;IMP-M2-40A546CAA2-P023;IMP-M2-40A546CAA2-P047;IMP-M2-40A546CAA2-P056	41de55b8cd751ac5fdb812d178924d9fe9e640c35d5314e2911862f1409231f1;7012145461110f7c76b12d18895b04f786d9bae67935987bd2fb781fadad817a;7d5d14c3232693c444b1df134beedb26d167f9601ffe2e17f839cbae0d54688f;8694eb6b3886dcc5e8ed111beb1519d7a433e474556c8323f32c4d48318ca342;8cb501198e416f3422132d998f72ef65c4547abf0858be045765bed5872868cf;9c09de5b55bbadbb11b72ceec0ac01950c23b7d4518b9d7bd57db3b0405f1747;b3bee64ba99380b0914f5b9a4d556026cb9a7d8ffc7812bb2f9fd3cf4effa9d8;dde2c0b6f3cf876d1999c58834b05d6fcd4688e383e39ca50d7452e162ad0071	8	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-0AD62D6BE89F	4	IMP-DL-1068DBED71-S005;IMP-DL-CAA415139D-S005;IMP-M3-F4E66B2919-S005;IMP-M3-FCB1647DD6-S005	Downloads/theory-of-commutative-algebra-10.tex;Downloads/theory-of-commutative-algebra-9.tex;MATH_ALLS-3/theory-of-commutative-algebra-10.tex;MATH_ALLS-3/theory-of-commutative-algebra-9.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-1068DBED71-P010;IMP-DL-1068DBED71-P011;IMP-DL-1068DBED71-P014;IMP-DL-1068DBED71-P015;IMP-DL-1068DBED71-P016;IMP-DL-1068DBED71-P017;IMP-DL-CAA415139D-P010;IMP-DL-CAA415139D-P011;IMP-DL-CAA415139D-P014;IMP-DL-CAA415139D-P015;IMP-DL-CAA415139D-P016;IMP-DL-CAA415139D-P017;IMP-DL-E1F1BB4192-P007;IMP-DL-FD5C2608DA-P006;IMP-M3-0D398C7F27-P007;IMP-M3-F4E66B2919-P010;IMP-M3-F4E66B2919-P011;IMP-M3-F4E66B2919-P014;IMP-M3-F4E66B2919-P015;IMP-M3-F4E66B2919-P016;IMP-M3-F4E66B2919-P017;IMP-M3-F5BFB39338-P006;IMP-M3-FCB1647DD6-P010;IMP-M3-FCB1647DD6-P011;IMP-M3-FCB1647DD6-P014;IMP-M3-FCB1647DD6-P015;IMP-M3-FCB1647DD6-P016;IMP-M3-FCB1647DD6-P017	4cd708ddd57a7aff12079289cbe3402afa29217b5da84df3d0a57ffe46333f9a;545a55f64703bb924dba95b3965b93d4ba8b249666f1b03724189e97120b775a;95f990e2c475094e91914c8b1165b623ae873e09bdd2f783b395b2d110145896;af2e2416b1f174f1c3644ca70fb8eb5d9f5082976c6431eae1c9535f49e26e66;d8f257358a55280416bf43123a06cef3c1a10fa7aa2ce0329082be6128db2c18;dac4fecc8c3fb39c9e145ccd43ab83b6e3106f25839ff81e56d2f00b9d801578;e99e76670b92d486b635cb6f2f6e651b9af7fdf1d27a923ba980ad4797ba658d;ef19b1dbf705046fbc8df6432eca5e607529ee174ea36bf4c21f6355ca3fde77	8	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-0CB155B2EE69	6	IMP-DL-15679DEE8D-S004;IMP-DL-3CA1CB77F7-S004;IMP-DL-E0A96454A5-S004;IMP-M2-1D2863B81A-S004;IMP-M2-D47CB97304-S004;IMP-M2-F08D4144EA-S004	Downloads/theory-of-analysis - Copy.tex;Downloads/theory-of-analysis-numbers.tex;Downloads/theory-of-analysis.tex;MATH-ALLS-2/theory-of-analysis - Copy.tex;MATH-ALLS-2/theory-of-analysis-numbers.tex;MATH-ALLS-2/theory-of-analysis.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-15679DEE8D-P001;IMP-DL-15679DEE8D-P002;IMP-DL-15679DEE8D-P003;IMP-DL-15679DEE8D-P004;IMP-DL-15679DEE8D-P026;IMP-DL-15679DEE8D-R003625-113CB3B8;IMP-DL-3CA1CB77F7-P001;IMP-DL-3CA1CB77F7-P002;IMP-DL-3CA1CB77F7-P003;IMP-DL-3CA1CB77F7-P004;IMP-DL-3CA1CB77F7-P006;IMP-DL-3CA1CB77F7-P007;IMP-DL-3CA1CB77F7-P026;IMP-DL-3CA1CB77F7-R003628-113CB3B8;IMP-DL-E0A96454A5-P001;IMP-DL-E0A96454A5-P002;IMP-DL-E0A96454A5-P003;IMP-DL-E0A96454A5-P004;IMP-DL-E0A96454A5-P006;IMP-DL-E0A96454A5-P007;IMP-DL-E0A96454A5-P026;IMP-DL-E0A96454A5-R003625-113CB3B8;IMP-DL-EAE0F59552-PSR001065-6AB7FE80;IMP-M2-1D2863B81A-P001;IMP-M2-1D2863B81A-P002;IMP-M2-1D2863B81A-P003;IMP-M2-1D2863B81A-P004;IMP-M2-1D2863B81A-P006;IMP-M2-1D2863B81A-P007;IMP-M2-1D2863B81A-P026;IMP-M2-1D2863B81A-R003625-113CB3B8;IMP-M2-7EA9DA1D72-PSR001065-6AB7FE80;IMP-M2-D47CB97304-P001;IMP-M2-D47CB97304-P002;IMP-M2-D47CB97304-P003;IMP-M2-D47CB97304-P004;IMP-M2-D47CB97304-P026;IMP-M2-D47CB97304-R003625-113CB3B8;IMP-M2-F08D4144EA-P001;IMP-M2-F08D4144EA-P002;IMP-M2-F08D4144EA-P003;IMP-M2-F08D4144EA-P004;IMP-M2-F08D4144EA-P006;IMP-M2-F08D4144EA-P007;IMP-M2-F08D4144EA-P026;IMP-M2-F08D4144EA-R003628-113CB3B8	113cb3b8a7883d3731923ceb773ebf97900994c9a7b5a51c6158def106802693;21e578c1fd9afa88561493e971873d40a57bb65eb8682563b9302d46aa95ec3b;2356636db074033163255616440cd2fe31e45621ba397772dbee4da5e4278c99;37265362bb2ed94dc1a3301a24d97e1b3522557554eebea76aa24d441feedde1;5aee21742b4e6aefb922b71c80934ad832cd7c5ae47a2a71e10c79456dbab167;6ab7fe8044927915ea3476fa981f0184168ac57e4258890cd64b2012e9e59bf0;d55ff1450a44dc8970351810a1371254b7a77b8c28f7634ce6910d7ea6c50145	7	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-11922CF888FA	2	IMP-DL-F77C60E8D1-S005;IMP-M2-09C070ED26-S005	Downloads/theory-of-complex-analysis-next2.tex;MATH-ALLS-2/theory-of-complex-analysis-next2.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-F77C60E8D1-P001;IMP-DL-F77C60E8D1-P002;IMP-DL-F77C60E8D1-P003;IMP-DL-F77C60E8D1-P005;IMP-DL-F77C60E8D1-P007;IMP-DL-FB19C24E92-P006;IMP-DL-FB19C24E92-P007;IMP-M2-09C070ED26-P001;IMP-M2-09C070ED26-P002;IMP-M2-09C070ED26-P003;IMP-M2-09C070ED26-P005;IMP-M2-09C070ED26-P007;IMP-M2-7785C781E9-P006;IMP-M2-7785C781E9-P007	053e9e0ffcaaadb30617727fa07fd52c96a580c3bec775825591687b52882690;129c112776d7ca6637e16def9ff9d5b73f253352a07008f8f3aad3acf7ebade8;13604320d4852544563538fc924fca7e88af11851c55bacfc22d46d079b13c23;a22dfa63fb51bb5211c6d2602d18bd83bfe4469d7077a1cb8aa73a3657663556;ba0e2e034426c3942e049695baad0912ecd530af8adcb05d7397936b8858935e;f735538b4e73bf85330bfd8ac2b7cbe34fb6848783bbcdb2a677fc9fe5fd48f7;fc6496592f8389c4b0a65f5db8bf05bc7c4b16ed757bec50d916c23c2f5708d4	7	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-18288AB3C183	2	IMP-DL-D4351A3BBD-S013;IMP-M2-721AD91C7F-S013	Downloads/theory-of-geometry-IV.tex;MATH-ALLS-2/theory-of-geometry-IV.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-0EB9CBD958-P010;IMP-DL-40BD8D3E26-P006;IMP-DL-40BD8D3E26-R002945-6684BFDF;IMP-DL-7A55205E2C-P002;IMP-DL-E88547CF67-P016;IMP-M2-0384991A85-P006;IMP-M2-0384991A85-R002945-6684BFDF;IMP-M2-2D41E1011A-P002;IMP-M2-80D8AED0FF-P016;IMP-M2-F4C85D52DC-P010	1d8d1938685005ec228c38493f3d940cc1840d76d97ada6c0597efc27a2e632d;2bbd85bd486bc7b61c24a6fd6c09943e9732487d60da726e1177939f7c8382b7;6684bfdf8a3cb1434e3213e3b1aedfdd9512187a1a4aafff6aa631d3b36738e3;9b986ab755213c095c52b3e40d4baeb3a5d4d85d9cfebd9bc9933e190c0267a7;a1a99f9baf1acb3d2557709d53ed59df9aee4e3a2a9881d1c6aa24bf7b8f5fa1	5	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-24370ABEA39C	8	IMP-DL-0E1AFE9FFD-S001;IMP-DL-141F3478CC-S001;IMP-DL-AA5DDA8809-S001;IMP-DL-FB19C24E92-S001;IMP-M2-2BDEE85382-S001;IMP-M2-6F2E5F9B11-S001;IMP-M2-7785C781E9-S001;IMP-M2-F295E7C0B9-S001	Downloads/theory-of-complex-analysis-all-maps-all.tex;Downloads/theory-of-complex-analysis-all-maps-all2.tex;Downloads/theory-of-complex-analysis-all-maps.tex;Downloads/theory-of-complex-analysis-all.tex;MATH-ALLS-2/theory-of-complex-analysis-all-maps-all.tex;MATH-ALLS-2/theory-of-complex-analysis-all-maps-all2.tex;MATH-ALLS-2/theory-of-complex-analysis-all-maps.tex;MATH-ALLS-2/theory-of-complex-analysis-all.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-0A181AC273-P015;IMP-DL-0A181AC273-P016;IMP-DL-0A181AC273-P018;IMP-DL-0A181AC273-P022;IMP-DL-0A181AC273-P023;IMP-DL-0A181AC273-P035;IMP-DL-0A181AC273-P041;IMP-DL-0E1AFE9FFD-P001;IMP-DL-0E1AFE9FFD-P002;IMP-DL-0E1AFE9FFD-P004;IMP-DL-0E1AFE9FFD-P006;IMP-DL-0E1AFE9FFD-P007;IMP-DL-141F3478CC-P001;IMP-DL-141F3478CC-P002;IMP-DL-141F3478CC-P006;IMP-DL-141F3478CC-P007;IMP-DL-AA5DDA8809-P001;IMP-DL-AA5DDA8809-P002;IMP-DL-AA5DDA8809-P006;IMP-DL-AA5DDA8809-P007;IMP-DL-FB19C24E92-P007;IMP-M2-2BDEE85382-P001;IMP-M2-2BDEE85382-P002;IMP-M2-2BDEE85382-P006;IMP-M2-2BDEE85382-P007;IMP-M2-6F2E5F9B11-P001;IMP-M2-6F2E5F9B11-P002;IMP-M2-6F2E5F9B11-P006;IMP-M2-6F2E5F9B11-P007;IMP-M2-7785C781E9-P007;IMP-M2-80AFB5AE64-P015;IMP-M2-80AFB5AE64-P016;IMP-M2-80AFB5AE64-P018;IMP-M2-80AFB5AE64-P022;IMP-M2-80AFB5AE64-P023;IMP-M2-80AFB5AE64-P035;IMP-M2-80AFB5AE64-P041;IMP-M2-F295E7C0B9-P001;IMP-M2-F295E7C0B9-P002;IMP-M2-F295E7C0B9-P004;IMP-M2-F295E7C0B9-P006;IMP-M2-F295E7C0B9-P007	082a62630b33567555e54846ae4d3a6c92d47cf81c708fab844de2bc1057e7c4;13604320d4852544563538fc924fca7e88af11851c55bacfc22d46d079b13c23;1d0fc161b73072eb53e5460a7756c6f4ba968ea1b24167f38fcfc5387f098e2e;2ab36a5e50f2560d174b38a78bf8b1e0854818a5c490f85734e0cf747ea71642;332b34e9d5afcc55c359c9b336621fd308c6b4564953691bb7111e3d8dc554af;3c9ab00fb8f78e0de30298bd2cc1fd09347fc8aa2a07cbc2cc780df729b0bdfd;4e51dab0cb201e00c465bde82e95eab4914c95bdceffca19b801651b0002e1fc;9161bdade535e9f848171a789b26aea6cda06c19ca38e1a79fed68746d535068;b4880551b14bf26fe932d98dc2eeae8698901eab0f5d9a296a3d81e158467936;b9b09b8ffce833af89dc7855e2951739ca1ce69e1dba17f26f5c9b1291f19774;de5c483a00c28300755cdcb99600410076c3807d641ae14b8382286127d907a7;f19b943bf7a61eea1eb554f53f345c23a5b83f7744fd2ebda32236fc26774e35;f735538b4e73bf85330bfd8ac2b7cbe34fb6848783bbcdb2a677fc9fe5fd48f7;fe10372050f9fe266cbbe3afcffbc6c7dc760d59d3b9d3172b9468435fd5501a	14	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-32533806C6A4	2	IMP-DL-AE41E61130-S001;IMP-M2-22F064D6B8-S001	Downloads/exercise_4_solutions (1).tex;MATH-ALLS-2/exercise_4_solutions (1).tex	UNRESOLVED_NUMBERING_MISMATCH	IMP-DL-11EDF39EA7-P010;IMP-DL-11EDF39EA7-P011;IMP-DL-AE41E61130-P001;IMP-M2-22F064D6B8-P001;IMP-M2-68556E3D88-P010;IMP-M2-68556E3D88-P011	7ec36306ed461a7fca61a97a2c9d8f18508cc9cac9edf9dd645210146f0b22e9;c8fdc13cbb41cf0b774cc20689c95ffc2ce0e441c3965adbb9d208ff10a9d8e1;fa83f1143ca07a3063ee396925fd4889e9bb14746fb8148bd01a808ad989555f	3	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-33A097330A55	2	IMP-DL-B7B63B4C41-S004;IMP-M3-16526DCF36-S004	Downloads/theory-of-commutative-algebra-12.tex;MATH_ALLS-3/theory-of-commutative-algebra-12.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-1068DBED71-P048;IMP-DL-4DEBE28720-P031;IMP-DL-592BD0798C-P004;IMP-DL-B7B63B4C41-P009;IMP-DL-CAA415139D-P048;IMP-DL-E1F1BB4192-P007;IMP-M3-0D398C7F27-P007;IMP-M3-16526DCF36-P009;IMP-M3-1FB8799CDC-P004;IMP-M3-8E395763C8-P031;IMP-M3-F4E66B2919-P048;IMP-M3-FCB1647DD6-P048	28d0b50337307d12800267efb8f08885f21ddaa6c00dde9cc2447bc7442d9bbf;39995a2e924fb3505b9b5e84825c1dee556ac2fafaf24676896e4f8779895ba8;5c92914dd293a3ce8478353cd8ec4f256ad169e0296903e513e169888068c9f6;e99e76670b92d486b635cb6f2f6e651b9af7fdf1d27a923ba980ad4797ba658d;f9a22cce6d9144ff61d69cad07119f97bb3931096538e1b1f775feb7399dd0b8	5	CHOOSE_AMONG_DISTINCT_STATEMENTS
SOLSEM-430E116B7B76	2	IMP-DL-336732908A-S001;IMP-M2-805F474A19-S001	Downloads/theory-of-complex-analysis-next.tex;MATH-ALLS-2/theory-of-complex-analysis-next.tex	UNRESOLVED_AMBIGUOUS	IMP-DL-0A181AC273-P021;IMP-DL-336732908A-P001;IMP-DL-336732908A-P002;IMP-DL-336732908A-P003;IMP-DL-336732908A-P007;IMP-DL-336732908A-P008;IMP-DL-336732908A-P010;IMP-DL-F77C60E8D1-P002;IMP-M2-09C070ED26-P002;IMP-M2-805F474A19-P001;IMP-M2-805F474A19-P002;IMP-M2-805F474A19-P003;IMP-M2-805F474A19-P007;IMP-M2-805F474A19-P008;IMP-M2-805F474A19-P010;IMP-M2-80AFB5AE64-P021	02fa0eac35042d44d9e9198a9eeade97a9866973f41753ea3e4f845781b64e13;03e5a15b17e79d34e74401c457b113c782851a99d37a8bb7060aefc95c892426;53b4c59d18a4cf6370c0bd44d070fcf510ed1260434ce5c5f6ad116d6995f37e;5ee2854c506f81ba9c303afe644bfc1398adfe79e9a70a7abd590fc758634140;874f24b53ed1daa96c27500446336c44c04c963ecb229471dd0ba9e16d09aaa7;ba0e2e034426c3942e049695baad0912ecd530af8adcb05d7397936b8858935e;cb24cd5613fd6f6c975ebf68819bfd0917d8efb9cfd1894170adf7f44624e9ff;d4cb1846c9c0ffdd2c52e9b49af0aa66ad8e9951396b4e4d7fe50dd57ecf8dd7	8	CHOOSE_AMONG_DISTINCT_STATEMENTS
