solution_id	source_id	solution_source_file	solution_line_range	solution_kind	source_problem_number	linked_problem_id	link_status	reconciliation_status	reconciliation_method	reconciliation_confidence	candidate_problem_ids	solution_text_hash	solution_semantic_unit_id	refinement_status	refinement_method	editorial_resolution_status	editorial_resolution_method	previous_linked_problem_id	structural_relink_status	structural_relink_method	previous_candidate_problem_ids	editorial_note	editorial_decision	editorial_rationale
IMP-DL-9EC07956DD-S001	IMP-DL-9EC07956DD	Downloads/ex38g_ex39.tex	L14-L21	SOLUTION	3.8	IMP-DL-9EC07956DD-P001	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-9EC07956DD-P001	0931ee91e9139ce0367cccde5f5dc61b18e598c5587c59c047505cb549c00cd2	SOLSEM-F00820DC928D											
IMP-DL-9EC07956DD-S002	IMP-DL-9EC07956DD	Downloads/ex38g_ex39.tex	L31-L39	SOLUTION	3.9	IMP-DL-9EC07956DD-P002	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-9EC07956DD-P002	1681823bdd90d3a600f3f13d1457417ea4f8ae32248e220b6ada5e1511e1b65a	SOLSEM-B50A17D1E0E1											
IMP-DL-3D9778F7D6-S001	IMP-DL-3D9778F7D6	Downloads/ex3_8_takagi.tex	L49-L53	SOLUTION	3.8	IMP-DL-3D9778F7D6-P001	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-3D9778F7D6-P001	11345c405fdb0fea83950fe0b0804b2976a75f68f7513009f5afe17d88573bc6	SOLSEM-470710B7AD30											
IMP-DL-3D9778F7D6-S002	IMP-DL-3D9778F7D6	Downloads/ex3_8_takagi.tex	L61-L72	SOLUTION	3.8	IMP-DL-3D9778F7D6-P001	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-3D9778F7D6-P001	ca2e85b1b0fd9d4143324d0e1773ba63efee701954f9a61eb33822b66fee4c47	SOLSEM-DF98139C7582											
IMP-DL-3D9778F7D6-S003	IMP-DL-3D9778F7D6	Downloads/ex3_8_takagi.tex	L79-L88	SOLUTION	3.8	IMP-DL-3D9778F7D6-P001	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-3D9778F7D6-P001	d4030911241b0130bfea938b9af319ae343d7fd7a9492c0ae2f2290d82408abb	SOLSEM-D65C0132FF6D											
IMP-DL-1B25F017C4-S001	IMP-DL-1B25F017C4	Downloads/Exercise_1_2_append.tex	L22-L71	SOLUTION	1.2	IMP-DL-1B25F017C4-P001	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-1B25F017C4-P001	99c5e147fd271cf208eabfff0d1b3b0b6da541a176421bcbb12dfe872b134820	SOLSEM-9CADBEFE02ED											
IMP-DL-AE41E61130-S001	IMP-DL-AE41E61130	Downloads/exercise_4_solutions (1).tex	L48-L59	SOLUTION	4.1		UNRESOLVED_NUMBERING_MISMATCH	UNRESOLVED_NUMBERING_MISMATCH	NUMBERING_MISMATCH_DETECTED	REVIEW	IMP-DL-11EDF39EA7-P011;IMP-DL-11EDF39EA7-P010;IMP-M2-68556E3D88-P011;IMP-M2-68556E3D88-P010;IMP-DL-AE41E61130-P001;IMP-M2-22F064D6B8-P001	2ba953aae9b50f2bdd3ec2845c4cfce9370a51b805daaa59305c042f500519b8	SOLSEM-32533806C6A4	RESOLVED	EXACT_SOLUTION_TEXT_TRUSTED_MEMBER	TERMINAL_MISSING_STATEMENT	COMPANION_CORPUS_CONTENT_AUDIT	IMP-M2-1895C43FC6-P023	NEEDS_POST_SPLIT_RECONCILIATION		IMP-M2-1895C43FC6-R000569-7402CDFC;IMP-M2-1895C43FC6-R000676-FE3FC0F2;IMP-M2-1895C43FC6-R000718-3F09880F;IMP-M2-1895C43FC6-R000796-6D5EA944;IMP-M2-1895C43FC6-R000829-009FEE51;IMP-M2-1895C43FC6-R000847-8383E1FD;IMP-M2-1895C43FC6-R000862-D56B67A7;IMP-M2-1895C43FC6-R000880-03FD1A79;IMP-M2-1895C43FC6-R000904-56A0F0C1;IMP-M2-1895C43FC6-R000971-51C57284;IMP-M2-1895C43FC6-R001014-4AAE9814;IMP-M2-1895C43FC6-R001054-34ABEC49;IMP-M2-1895C43FC6-R001096-509B88AF;IMP-M2-1895C43FC6-R001154-4238FFF5;IMP-M2-1895C43FC6-R001185-2FADDC7B;IMP-M2-1895C43FC6-R001205-30D5620D;IMP-M2-1895C43FC6-R001237-26A33F29;IMP-M2-1895C43FC6-R001257-1F4649B1;IMP-M2-1895C43FC6-R001284-509B88AF;IMP-M2-1895C43FC6-R001342-BB4FEAA8;IMP-M2-1895C43FC6-R001387-0167F814;IMP-M2-1895C43FC6-R001421-E6091540;IMP-M2-1895C43FC6-R001461-77515B04;IMP-M2-1895C43FC6-R001524-A8FD3D2E;IMP-M2-1895C43FC6-R001571-9172B7D9;IMP-M2-1895C43FC6-R001651-D8D13E89;IMP-M2-1895C43FC6-R001724-3FF2E0E5;IMP-M2-1895C43FC6-R001740-89852AAC;IMP-M2-1895C43FC6-R001766-E998E307;IMP-M2-1895C43FC6-R001784-4B2B736E;IMP-M2-1895C43FC6-R001801-EB832D3E;IMP-M2-1895C43FC6-R001822-F2B95AE6;IMP-M2-1895C43FC6-R001881-8701ED81;IMP-M2-1895C43FC6-R001902-5EDF3FFE;IMP-M2-1895C43FC6-R001921-BC471B4F;IMP-M2-1895C43FC6-R001946-EB43B8DC;IMP-M2-1895C43FC6-R001984-711C8E5F;IMP-M2-1895C43FC6-R002004-3C19B535;IMP-M2-1895C43FC6-R002037-BB4B6CAD;IMP-M2-1895C43FC6-R002062-C2C448DF;IMP-M2-1895C43FC6-R002111-C40978D8;IMP-M2-1895C43FC6-R002184-0BE096F9;IMP-M2-1895C43FC6-R002218-7EC1330C	No matching Exercise 4.1 statement was found in the imported statement corpus. Ranked hits are examples or mathematically adjacent exercises, not the source statement.		
IMP-DL-AE41E61130-S002	IMP-DL-AE41E61130	Downloads/exercise_4_solutions (1).tex	L62-L71	SOLUTION	4.2		UNRESOLVED_NUMBERING_MISMATCH	UNRESOLVED_NUMBERING_MISMATCH	NUMBERING_MISMATCH_DETECTED	REVIEW		50bc3c499e1053d2b5f61a1d2064c4ad5b2a8a1be9610259601e71058a451b0c	SOLSEM-561D796840F3	RESOLVED	EXACT_SOLUTION_TEXT_TRUSTED_MEMBER	TERMINAL_MISSING_STATEMENT	COMPANION_CORPUS_CONTENT_AUDIT	IMP-M2-1895C43FC6-P023	NEEDS_POST_SPLIT_RECONCILIATION		IMP-M2-1895C43FC6-R000569-7402CDFC;IMP-M2-1895C43FC6-R000676-FE3FC0F2;IMP-M2-1895C43FC6-R000718-3F09880F;IMP-M2-1895C43FC6-R000796-6D5EA944;IMP-M2-1895C43FC6-R000829-009FEE51;IMP-M2-1895C43FC6-R000847-8383E1FD;IMP-M2-1895C43FC6-R000862-D56B67A7;IMP-M2-1895C43FC6-R000880-03FD1A79;IMP-M2-1895C43FC6-R000904-56A0F0C1;IMP-M2-1895C43FC6-R000971-51C57284;IMP-M2-1895C43FC6-R001014-4AAE9814;IMP-M2-1895C43FC6-R001054-34ABEC49;IMP-M2-1895C43FC6-R001096-509B88AF;IMP-M2-1895C43FC6-R001154-4238FFF5;IMP-M2-1895C43FC6-R001185-2FADDC7B;IMP-M2-1895C43FC6-R001205-30D5620D;IMP-M2-1895C43FC6-R001237-26A33F29;IMP-M2-1895C43FC6-R001257-1F4649B1;IMP-M2-1895C43FC6-R001284-509B88AF;IMP-M2-1895C43FC6-R001342-BB4FEAA8;IMP-M2-1895C43FC6-R001387-0167F814;IMP-M2-1895C43FC6-R001421-E6091540;IMP-M2-1895C43FC6-R001461-77515B04;IMP-M2-1895C43FC6-R001524-A8FD3D2E;IMP-M2-1895C43FC6-R001571-9172B7D9;IMP-M2-1895C43FC6-R001651-D8D13E89;IMP-M2-1895C43FC6-R001724-3FF2E0E5;IMP-M2-1895C43FC6-R001740-89852AAC;IMP-M2-1895C43FC6-R001766-E998E307;IMP-M2-1895C43FC6-R001784-4B2B736E;IMP-M2-1895C43FC6-R001801-EB832D3E;IMP-M2-1895C43FC6-R001822-F2B95AE6;IMP-M2-1895C43FC6-R001881-8701ED81;IMP-M2-1895C43FC6-R001902-5EDF3FFE;IMP-M2-1895C43FC6-R001921-BC471B4F;IMP-M2-1895C43FC6-R001946-EB43B8DC;IMP-M2-1895C43FC6-R001984-711C8E5F;IMP-M2-1895C43FC6-R002004-3C19B535;IMP-M2-1895C43FC6-R002037-BB4B6CAD;IMP-M2-1895C43FC6-R002062-C2C448DF;IMP-M2-1895C43FC6-R002111-C40978D8;IMP-M2-1895C43FC6-R002184-0BE096F9;IMP-M2-1895C43FC6-R002218-7EC1330C	No matching Exercise 4.2 statement was found in the imported statement corpus. Ranked hits are unrelated despite lexical overlap.		
IMP-DL-AE41E61130-S003	IMP-DL-AE41E61130	Downloads/exercise_4_solutions (1).tex	L74-L79	SOLUTION	4.3		UNRESOLVED_NUMBERING_MISMATCH	UNRESOLVED_NUMBERING_MISMATCH	NUMBERING_MISMATCH_DETECTED	REVIEW	IMP-DL-11EDF39EA7-P012;IMP-DL-11EDF39EA7-P013;IMP-DL-11EDF39EA7-P014;IMP-M2-68556E3D88-P012;IMP-M2-68556E3D88-P013;IMP-M2-68556E3D88-P014	e8039c0bb10079d41927273b34106af516e8f575c2753c664c6fba9be15f8542	SOLSEM-8C64B3E5FE56	RESOLVED	EXACT_SOLUTION_TEXT_TRUSTED_MEMBER	TERMINAL_MISSING_STATEMENT	COMPANION_CORPUS_CONTENT_AUDIT	IMP-M2-1895C43FC6-P023	NEEDS_POST_SPLIT_RECONCILIATION		IMP-M2-1895C43FC6-R000569-7402CDFC;IMP-M2-1895C43FC6-R000676-FE3FC0F2;IMP-M2-1895C43FC6-R000718-3F09880F;IMP-M2-1895C43FC6-R000796-6D5EA944;IMP-M2-1895C43FC6-R000829-009FEE51;IMP-M2-1895C43FC6-R000847-8383E1FD;IMP-M2-1895C43FC6-R000862-D56B67A7;IMP-M2-1895C43FC6-R000880-03FD1A79;IMP-M2-1895C43FC6-R000904-56A0F0C1;IMP-M2-1895C43FC6-R000971-51C57284;IMP-M2-1895C43FC6-R001014-4AAE9814;IMP-M2-1895C43FC6-R001054-34ABEC49;IMP-M2-1895C43FC6-R001096-509B88AF;IMP-M2-1895C43FC6-R001154-4238FFF5;IMP-M2-1895C43FC6-R001185-2FADDC7B;IMP-M2-1895C43FC6-R001205-30D5620D;IMP-M2-1895C43FC6-R001237-26A33F29;IMP-M2-1895C43FC6-R001257-1F4649B1;IMP-M2-1895C43FC6-R001284-509B88AF;IMP-M2-1895C43FC6-R001342-BB4FEAA8;IMP-M2-1895C43FC6-R001387-0167F814;IMP-M2-1895C43FC6-R001421-E6091540;IMP-M2-1895C43FC6-R001461-77515B04;IMP-M2-1895C43FC6-R001524-A8FD3D2E;IMP-M2-1895C43FC6-R001571-9172B7D9;IMP-M2-1895C43FC6-R001651-D8D13E89;IMP-M2-1895C43FC6-R001724-3FF2E0E5;IMP-M2-1895C43FC6-R001740-89852AAC;IMP-M2-1895C43FC6-R001766-E998E307;IMP-M2-1895C43FC6-R001784-4B2B736E;IMP-M2-1895C43FC6-R001801-EB832D3E;IMP-M2-1895C43FC6-R001822-F2B95AE6;IMP-M2-1895C43FC6-R001881-8701ED81;IMP-M2-1895C43FC6-R001902-5EDF3FFE;IMP-M2-1895C43FC6-R001921-BC471B4F;IMP-M2-1895C43FC6-R001946-EB43B8DC;IMP-M2-1895C43FC6-R001984-711C8E5F;IMP-M2-1895C43FC6-R002004-3C19B535;IMP-M2-1895C43FC6-R002037-BB4B6CAD;IMP-M2-1895C43FC6-R002062-C2C448DF;IMP-M2-1895C43FC6-R002111-C40978D8;IMP-M2-1895C43FC6-R002184-0BE096F9;IMP-M2-1895C43FC6-R002218-7EC1330C	No matching Exercise 4.3 refinement/upper-lower-sum statement was found in the imported statement corpus.		
IMP-DL-AE41E61130-S004	IMP-DL-AE41E61130	Downloads/exercise_4_solutions (1).tex	L82-L88	SOLUTION	4.4		UNRESOLVED_NUMBERING_MISMATCH	UNRESOLVED_NUMBERING_MISMATCH	NUMBERING_MISMATCH_DETECTED	REVIEW	IMP-DL-AE41E61130-P003;IMP-DL-AE41E61130-P004;IMP-M2-22F064D6B8-P003;IMP-M2-22F064D6B8-P004	0802025f24773f1f819abd675ea50035b392a54376d12784b65eb75175b6830a	SOLSEM-C8093323C4B4	RESOLVED	EXACT_SOLUTION_TEXT_TRUSTED_MEMBER	TERMINAL_MISSING_STATEMENT	COMPANION_CORPUS_CONTENT_AUDIT	IMP-M2-1895C43FC6-P023	NEEDS_POST_SPLIT_RECONCILIATION		IMP-M2-1895C43FC6-R000569-7402CDFC;IMP-M2-1895C43FC6-R000676-FE3FC0F2;IMP-M2-1895C43FC6-R000718-3F09880F;IMP-M2-1895C43FC6-R000796-6D5EA944;IMP-M2-1895C43FC6-R000829-009FEE51;IMP-M2-1895C43FC6-R000847-8383E1FD;IMP-M2-1895C43FC6-R000862-D56B67A7;IMP-M2-1895C43FC6-R000880-03FD1A79;IMP-M2-1895C43FC6-R000904-56A0F0C1;IMP-M2-1895C43FC6-R000971-51C57284;IMP-M2-1895C43FC6-R001014-4AAE9814;IMP-M2-1895C43FC6-R001054-34ABEC49;IMP-M2-1895C43FC6-R001096-509B88AF;IMP-M2-1895C43FC6-R001154-4238FFF5;IMP-M2-1895C43FC6-R001185-2FADDC7B;IMP-M2-1895C43FC6-R001205-30D5620D;IMP-M2-1895C43FC6-R001237-26A33F29;IMP-M2-1895C43FC6-R001257-1F4649B1;IMP-M2-1895C43FC6-R001284-509B88AF;IMP-M2-1895C43FC6-R001342-BB4FEAA8;IMP-M2-1895C43FC6-R001387-0167F814;IMP-M2-1895C43FC6-R001421-E6091540;IMP-M2-1895C43FC6-R001461-77515B04;IMP-M2-1895C43FC6-R001524-A8FD3D2E;IMP-M2-1895C43FC6-R001571-9172B7D9;IMP-M2-1895C43FC6-R001651-D8D13E89;IMP-M2-1895C43FC6-R001724-3FF2E0E5;IMP-M2-1895C43FC6-R001740-89852AAC;IMP-M2-1895C43FC6-R001766-E998E307;IMP-M2-1895C43FC6-R001784-4B2B736E;IMP-M2-1895C43FC6-R001801-EB832D3E;IMP-M2-1895C43FC6-R001822-F2B95AE6;IMP-M2-1895C43FC6-R001881-8701ED81;IMP-M2-1895C43FC6-R001902-5EDF3FFE;IMP-M2-1895C43FC6-R001921-BC471B4F;IMP-M2-1895C43FC6-R001946-EB43B8DC;IMP-M2-1895C43FC6-R001984-711C8E5F;IMP-M2-1895C43FC6-R002004-3C19B535;IMP-M2-1895C43FC6-R002037-BB4B6CAD;IMP-M2-1895C43FC6-R002062-C2C448DF;IMP-M2-1895C43FC6-R002111-C40978D8;IMP-M2-1895C43FC6-R002184-0BE096F9;IMP-M2-1895C43FC6-R002218-7EC1330C	No matching Exercise 4.4 finite-set characteristic-function statement was found. Nearby indicator-function examples are not the exercise statement.		
