review_family_id	representative_problem_id	representative_source_file	member_count	member_problem_ids	current_line_span	child_segment_count	median_child_span	max_child_span	children_ge_250	children_ge_500	coverage_ratio	substantial_gap_count	soft_markers_inside_large_children	soft_markers_inside_gaps	deep_audit_recommendation	proposed_editorial_action	editorial_decision
RSF-010	IMP-DL-2E134BF207-P073	Downloads/theory-of-algebraic-topology-5.tex	1	IMP-DL-2E134BF207-P073	810	7	20.0	261	1	0	0.5679	1	0	0	PROMOTE_CANDIDATE	PROPOSE_PROMOTION	PENDING
RSF-011	IMP-DL-5431609247-P006	Downloads/theory-of-differential-geometry-5.tex	2	IMP-DL-5431609247-P006;IMP-M3-42C904D7D6-P006	591	3	126.0	358	1	0	1.0000	0	0	0	PROMOTE_CANDIDATE	PROPOSE_PROMOTION	PENDING
RSF-012	IMP-DL-6447F1B120-P035	Downloads/theory-of-algebraic-topology-11.tex	1	IMP-DL-6447F1B120-P035	573	9	33.0	306	1	0	1.0000	0	0	0	PROMOTE_CANDIDATE	PROPOSE_PROMOTION	PENDING
RSF-014	IMP-DL-A509E7ADEA-P002	Downloads/theory-of-disitrbutions.tex	2	IMP-DL-A509E7ADEA-P002;IMP-M2-F95E4E8DC6-P002	444	2	194.5	370	1	0	0.8761	0	0	0	PROMOTE_CANDIDATE	PROPOSE_PROMOTION	PENDING
RSF-001	IMP-DL-D6E9B3BC73-P035	Downloads/theory-of-algebraic-topology-1.tex	1	IMP-DL-D6E9B3BC73-P035	2467	17	39.0	389	1	0	0.5132	2	2	0	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-002	IMP-M3-422B74F85F-P035	MATH_ALLS-3/theory-of-algebraic-topology-1.tex	1	IMP-M3-422B74F85F-P035	2467	17	39.0	389	1	0	0.5132	2	2	0	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-004	IMP-DL-D27460A55B-P003	Downloads/theory-of-algebraic-geometry-5.tex	1	IMP-DL-D27460A55B-P003	2172	25	57.0	287	1	0	0.8094	1	1	1	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-005	IMP-DL-E1F1BB4192-P007	Downloads/theory-of-commutative-algebra-5.tex	2	IMP-DL-E1F1BB4192-P007;IMP-M3-0D398C7F27-P007	2009	11	111.0	390	3	0	0.8143	1	10	5	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-006	IMP-DL-8016517B0A-P034	Downloads/theory-of-differential-geometry-1.tex	3	IMP-DL-8016517B0A-P034;IMP-M2-2B58694CBF-P034;IMP-M3-911366A7C5-P034	1750	3	55.0	358	1	0	0.2423	1	2	1	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-008	IMP-DL-2E134BF207-P075	Downloads/theory-of-algebraic-topology-5.tex	1	IMP-DL-2E134BF207-P075	1266	14	26.5	290	1	0	0.6603	1	1	0	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-009	IMP-DL-40E9B7EE44-P007	Downloads/theory-of-commutative-algebra-5-professional.tex	2	IMP-DL-40E9B7EE44-P007;IMP-M3-17140B7F4C-P007	1055	6	96.5	263	1	0	0.6464	1	0	5	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-013	IMP-DL-0EB9CBD958-P083	Downloads/theory-of-geometry.tex	2	IMP-DL-0EB9CBD958-P083;IMP-M2-F4C85D52DC-P083	545	2	168.0	269	1	0	0.6165	1	1	0	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-015	IMP-DL-316AE183C3-P083	Downloads/theory-of-analysis-functions.tex	2	IMP-DL-316AE183C3-P083;IMP-M2-303BB87ACE-P083	313	3	35.0	251	1	0	1.0000	0	1	0	BOUNDARY_RECOVERY_LIKELY	RECOVER_SOFT_BOUNDARIES_FIRST	PENDING
RSF-003	IMP-DL-067214B351-P005	Downloads/theory-of-algebraic-topology-15.tex	1	IMP-DL-067214B351-P005	2363	10	33.5	360	2	0	0.5239	3	0	0	REVIEW_REQUIRED	EDITORIAL_REVIEW_BEFORE_SPLIT	PENDING
RSF-007	IMP-DL-067214B351-P008	Downloads/theory-of-algebraic-topology-15.tex	1	IMP-DL-067214B351-P008	1551	8	113.5	376	2	0	0.7795	1	0	0	REVIEW_REQUIRED	EDITORIAL_REVIEW_BEFORE_SPLIT	PENDING
