statement_hash	semantic_problem_id	representative_problem_id	member_count	member_problem_ids	source_files	source_collections	problem_types	source_problem_numbers	aggregate_solution_ids	aggregate_hint_ids	solution_availability	review_status
0008ef0d286ce127e32913273e4da57d15aaec35943e40877d9dad15ee1fa956	SEM-0008EF0D286C	IMP-DL-E88547CF67-P012	2	IMP-DL-E88547CF67-P012;IMP-M2-80D8AED0FF-P012	Downloads/theory-of-geometry-3.tex;MATH-ALLS-2/theory-of-geometry-3.tex	Downloads;MATH-ALLS-2	PROBLEM_ITEM				NO	NEEDS_EDITORIAL_REVIEW
000c88a5e8038360ebaf5f0fc7d46dcdc9cc9d3ec068d53fd38e05d68824d48b	SEM-000C88A5E803	IMP-DL-38CE6DEB56-P028	2	IMP-DL-38CE6DEB56-P028;IMP-M3-D19BB3C803-P028	Downloads/theory-of-commutative-algebra-14.tex;MATH_ALLS-3/theory-of-commutative-algebra-14.tex	Downloads;MATH_ALLS-3	WORKED_EXAMPLE	25			NO	NEEDS_EDITORIAL_REVIEW
001139434cbb8bfa6fb027f298b593fdebe40b067bd7fa3ed8b55fd09dade454	SEM-001139434CBB	IMP-DL-E532B44856-P026	2	IMP-DL-E532B44856-P026;IMP-M2-C037D998D4-P026	Downloads/theory-of-analysis-functions-II.tex;MATH-ALLS-2/theory-of-analysis-functions-II.tex	Downloads;MATH-ALLS-2	EXERCISE	6(b)	IMP-DL-E532B44856-S010;IMP-M2-C037D998D4-S010		YES	NEEDS_EDITORIAL_REVIEW
001ffe81c93fbc771ce59c7a545d1b6baa3a82d715be391595a3acf105b5bebe	SEM-001FFE81C93F	IMP-DL-E12021E60A-R000451-001FFE81	1	IMP-DL-E12021E60A-R000451-001FFE81	Downloads/theory-of-algebraic-topology-17.tex	Downloads	PROBLEM	9			NO	NEEDS_EDITORIAL_REVIEW
00200fc0a52664ead686c514f17b4e131fd760bf0e5a63e774a925dfa3ff1357	SEM-00200FC0A526	IMP-DL-873C6F4098-P102	2	IMP-DL-873C6F4098-P102;IMP-M2-CFC28ED568-P102	Downloads/theory-of-analysis-II.tex;MATH-ALLS-2/theory-of-analysis-II.tex	Downloads;MATH-ALLS-2	PROBLEM	9			NO	NEEDS_EDITORIAL_REVIEW
00265911e68474c97ba6d8b23b298edfb33df8be80e2faf4288d1f2738a3e446	SEM-00265911E684	IMP-DL-0EB9CBD958-P036	2	IMP-DL-0EB9CBD958-P036;IMP-M2-F4C85D52DC-P036	Downloads/theory-of-geometry.tex;MATH-ALLS-2/theory-of-geometry.tex	Downloads;MATH-ALLS-2	PROBLEM	7	IMP-DL-0EB9CBD958-S013;IMP-M2-F4C85D52DC-S013		YES	NEEDS_EDITORIAL_REVIEW
0027864006af439e8d6d3306a78a0fed2b31d23ff1e9e0afb7941dd893fbc185	SEM-0027864006AF	IMP-DL-40BD8D3E26-R002958-00278640	2	IMP-DL-40BD8D3E26-R002958-00278640;IMP-M2-0384991A85-R002958-00278640	Downloads/theory-of-geometry-2.tex;MATH-ALLS-2/theory-of-geometry-2.tex	Downloads;MATH-ALLS-2	EXAMPLE	3			NO	NEEDS_EDITORIAL_REVIEW
003360ec8cb37eae4416305be90d0ad3227267be7edc112cc0631de0744f39d2	SEM-003360EC8CB3	IMP-DL-D4351A3BBD-P033	2	IMP-DL-D4351A3BBD-P033;IMP-M2-721AD91C7F-P033	Downloads/theory-of-geometry-IV.tex;MATH-ALLS-2/theory-of-geometry-IV.tex	Downloads;MATH-ALLS-2	PROBLEM	7	IMP-DL-D4351A3BBD-S009;IMP-M2-721AD91C7F-S009		YES	NEEDS_EDITORIAL_REVIEW
005a9be2a45a6f7006903d2bbbc92ed6016273ee20f51c4cb1653732d1ce3c6a	SEM-005A9BE2A45A	IMP-DL-592BD0798C-P024	2	IMP-DL-592BD0798C-P024;IMP-M3-1FB8799CDC-P024	Downloads/theory-of-commutative-algebra-8.tex;MATH_ALLS-3/theory-of-commutative-algebra-8.tex	Downloads;MATH_ALLS-3	WORKED_EXAMPLE	A			NO	NEEDS_EDITORIAL_REVIEW
00612a5aa777b801ef99e5db10a00eb17d50e03f620ecef855dcbd33ca7cc051	SEM-00612A5AA777	IMP-DL-3C59D9EE8B-P008	2	IMP-DL-3C59D9EE8B-P008;IMP-M3-D1A916E0DD-P008	Downloads/theory-of-commutative-algebra-5-professional-v2.tex;MATH_ALLS-3/theory-of-commutative-algebra-5-professional-v2.tex	Downloads;MATH_ALLS-3	PROBLEM_ITEM				NO	NEEDS_EDITORIAL_REVIEW
006d0fdcb8752ca44e765538752350f35ec67cb1e9d8e8e013c89e51873c5b39	SEM-006D0FDCB875	IMP-DL-3C59D9EE8B-P037	2	IMP-DL-3C59D9EE8B-P037;IMP-M3-D1A916E0DD-P037	Downloads/theory-of-commutative-algebra-5-professional-v2.tex;MATH_ALLS-3/theory-of-commutative-algebra-5-professional-v2.tex	Downloads;MATH_ALLS-3	PROBLEM_ITEM				NO	NEEDS_EDITORIAL_REVIEW
00717b18488fdb95ad8e6d8dd4ea69fdc649ef9d07829cbe98de656549a911e4	SEM-00717B18488F	IMP-DL-0E3E7EC766-R002385-00717B18	1	IMP-DL-0E3E7EC766-R002385-00717B18	Downloads/theory-of-algebraic-geometry-1.tex	Downloads	EXAMPLE	7			NO	NEEDS_EDITORIAL_REVIEW
007200b2ccb0f313280a4d2ebdde9b4ea790a173727d57242616e3b509a3ee8c	SEM-007200B2CCB0	IMP-DL-1068DBED71-P003	4	IMP-DL-1068DBED71-P003;IMP-DL-CAA415139D-P003;IMP-M3-F4E66B2919-P003;IMP-M3-FCB1647DD6-P003	Downloads/theory-of-commutative-algebra-10.tex;Downloads/theory-of-commutative-algebra-9.tex;MATH_ALLS-3/theory-of-commutative-algebra-10.tex;MATH_ALLS-3/theory-of-commutative-algebra-9.tex	Downloads;MATH_ALLS-3	WORKED_EXAMPLE				NO	NEEDS_EDITORIAL_REVIEW
0074c11b9eb3ac5c020742dd36cb537b9fe596f98bb9148963fa1e759d74dd74	SEM-0074C11B9EB3	IMP-DL-1068DBED71-P044	4	IMP-DL-1068DBED71-P044;IMP-DL-CAA415139D-P044;IMP-M3-F4E66B2919-P044;IMP-M3-FCB1647DD6-P044	Downloads/theory-of-commutative-algebra-10.tex;Downloads/theory-of-commutative-algebra-9.tex;MATH_ALLS-3/theory-of-commutative-algebra-10.tex;MATH_ALLS-3/theory-of-commutative-algebra-9.tex	Downloads;MATH_ALLS-3	WORKED_EXAMPLE	over			NO	NEEDS_EDITORIAL_REVIEW
0095f2d58de456371f71a74a7990dcd1e0877d56b34792b0ca806025cb31c9ea	SEM-0095F2D58DE4	IMP-DL-D6E9B3BC73-P004	2	IMP-DL-D6E9B3BC73-P004;IMP-M3-422B74F85F-P004	Downloads/theory-of-algebraic-topology-1.tex;MATH_ALLS-3/theory-of-algebraic-topology-1.tex	Downloads;MATH_ALLS-3	WORKED_EXAMPLE	3			NO	NEEDS_EDITORIAL_REVIEW
009fee5134d5eea646abd9e60be9c700d529bd351858aa250de6c94828f1671e	SEM-009FEE5134D5	IMP-DL-183AD43C4C-R000829-009FEE51	4	IMP-DL-183AD43C4C-R000829-009FEE51;IMP-DL-20E278E436-R000771-009FEE51;IMP-M2-1895C43FC6-R000829-009FEE51;IMP-M2-50B0B212DD-R000771-009FEE51	Downloads/merged_exercises_FULL_v2 (1).tex;Downloads/theory-of-real-analysis.tex;MATH-ALLS-2/merged_exercises_FULL_v2 (1).tex;MATH-ALLS-2/theory-of-real-analysis.tex	Downloads;MATH-ALLS-2	EXERCISE	5.1	IMP-DL-183AD43C4C-S018;IMP-DL-20E278E436-S018;IMP-M2-1895C43FC6-S018;IMP-M2-50B0B212DD-S018		YES	NEEDS_EDITORIAL_REVIEW
00ab997814ddd772e30cc40f4018bdb153aa5f9f4399f2bad326eeab5549a059	SEM-00AB997814DD	IMP-DL-2370D81D66-P025	2	IMP-DL-2370D81D66-P025;IMP-M2-D036BAB254-P025	Downloads/theory-of-analysis-FD.tex;MATH-ALLS-2/theory-of-analysis-FD.tex	Downloads;MATH-ALLS-2	EXERCISE_ITEM				NO	NEEDS_EDITORIAL_REVIEW
00abfb815554bcd8724302267a873ba866ef3435771594af48735d6a9dc2ae12	SEM-00ABFB815554	IMP-DL-A978FB3162-R004103-00ABFB81	1	IMP-DL-A978FB3162-R004103-00ABFB81	Downloads/theory-of-algebraic-topology-4.tex	Downloads	PROBLEM	5	IMP-DL-A978FB3162-S011		YES	NEEDS_EDITORIAL_REVIEW
00b03f59d1db1fe6893710085fccce79b6ea3b0868cd3119780e8a8d61a90070	SEM-00B03F59D1DB	IMP-DL-3C59D9EE8B-P093	6	IMP-DL-3C59D9EE8B-P093;IMP-DL-40E9B7EE44-R003250-00B03F59;IMP-DL-E1F1BB4192-R004333-00B03F59;IMP-M3-0D398C7F27-R004333-00B03F59;IMP-M3-17140B7F4C-R003250-00B03F59;IMP-M3-D1A916E0DD-P093	Downloads/theory-of-commutative-algebra-5-professional-v2.tex;Downloads/theory-of-commutative-algebra-5-professional.tex;Downloads/theory-of-commutative-algebra-5.tex;MATH_ALLS-3/theory-of-commutative-algebra-5-professional-v2.tex;MATH_ALLS-3/theory-of-commutative-algebra-5-professional.tex;MATH_ALLS-3/theory-of-commutative-algebra-5.tex	Downloads;MATH_ALLS-3	PROBLEM	17	IMP-DL-3C59D9EE8B-S021;IMP-DL-40E9B7EE44-S021;IMP-DL-E1F1BB4192-S020;IMP-M3-0D398C7F27-S020;IMP-M3-17140B7F4C-S021;IMP-M3-D1A916E0DD-S021		YES	NEEDS_EDITORIAL_REVIEW
00c13eaa3b0218dab11c9dee511ff04262d8a175278f7c45bbf2495ab0b3128f	SEM-00C13EAA3B02	IMP-DL-592BD0798C-P069	2	IMP-DL-592BD0798C-P069;IMP-M3-1FB8799CDC-P069	Downloads/theory-of-commutative-algebra-8.tex;MATH_ALLS-3/theory-of-commutative-algebra-8.tex	Downloads;MATH_ALLS-3	PROBLEM	13			NO	NEEDS_EDITORIAL_REVIEW
00cd3ead27412e4d6dc98ef078e0861d03638a435034d5a878de70cedd3c902d	SEM-00CD3EAD2741	IMP-DL-40BD8D3E26-P008	2	IMP-DL-40BD8D3E26-P008;IMP-M2-0384991A85-P008	Downloads/theory-of-geometry-2.tex;MATH-ALLS-2/theory-of-geometry-2.tex	Downloads;MATH-ALLS-2	WORKED_EXAMPLE	1			NO	NEEDS_EDITORIAL_REVIEW
00eed222e527cab8c48b40ae81be3a30b8ff1ce1d1671149b4fa489be2d649fb	SEM-00EED222E527	IMP-DL-3E276561C4-P005	2	IMP-DL-3E276561C4-P005;IMP-M3-AB2FCA292B-P005	Downloads/theory-of-linear-algebra-1.tex;MATH_ALLS-3/theory-of-linear-algebra-1.tex	Downloads;MATH_ALLS-3	PROBLEM	5	IMP-DL-3E276561C4-S017;IMP-DL-3E276561C4-S018;IMP-M3-AB2FCA292B-S017;IMP-M3-AB2FCA292B-S018		YES	NEEDS_EDITORIAL_REVIEW
00fd2b63105948f8dd9df858aead549e78c475adaffcd86cb74b2a11500225bd	SEM-00FD2B631059	IMP-DL-18BC6F795C-P003	1	IMP-DL-18BC6F795C-P003	Downloads/theory-of-algebraic-topology-9.tex	Downloads	WORKED_EXAMPLE	2			NO	NEEDS_EDITORIAL_REVIEW
01096e1bcf23f39fd9c46ebfc5129303c9e457c4bc7099b53c4b36ade0ee9043	SEM-01096E1BCF23	IMP-DL-B7E3C22557-SPR001699-01096E1B	1	IMP-DL-B7E3C22557-SPR001699-01096E1B	Downloads/theory-of-algebraic-geometry-6.tex	Downloads	EXAMPLE	4.			NO	NEEDS_EDITORIAL_REVIEW
010e6f50f941ad9588a8b6e389277e2195766b08e939a56658d04350c3c25088	SEM-010E6F50F941	IMP-DL-2370D81D66-P059	2	IMP-DL-2370D81D66-P059;IMP-M2-D036BAB254-P059	Downloads/theory-of-analysis-FD.tex;MATH-ALLS-2/theory-of-analysis-FD.tex	Downloads;MATH-ALLS-2	EXERCISE_ITEM				NO	NEEDS_EDITORIAL_REVIEW
011084af7dae93df71e276475f3c5c68309dcc2f58af754a65b22826bb0d711d	SEM-011084AF7DAE	IMP-DL-E4D9F7AB6B-PSR005515-011084AF	1	IMP-DL-E4D9F7AB6B-PSR005515-011084AF	Downloads/theory-of-algebraic-topology-13.tex	Downloads	EXAMPLE	7.			NO	NEEDS_EDITORIAL_REVIEW
01147102662484d10988c6449ad1a6e7cd0a2b82e8e3991bd6a07a3c2344d130	SEM-011471026624	IMP-DL-117191C0EC-P063	2	IMP-DL-117191C0EC-P063;IMP-M2-40A546CAA2-P063	Downloads/theory-of-analysis-topics.tex;MATH-ALLS-2/theory-of-analysis-topics.tex	Downloads;MATH-ALLS-2	PROBLEM	12			NO	NEEDS_EDITORIAL_REVIEW
