solution_id	solution_kind	solution_source_file	source_problem_number	old_linked_problem_id	new_linked_problem_id	reconciliation_status	reconciliation_method	confidence	candidate_problem_ids	notes
IMP-DL-9EC07956DD-S001	SOLUTION	Downloads/ex38g_ex39.tex	3.8	IMP-DL-9EC07956DD-P001	IMP-DL-9EC07956DD-P001	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-9EC07956DD-P001	Existing structural link retained.
IMP-DL-9EC07956DD-S002	SOLUTION	Downloads/ex38g_ex39.tex	3.9	IMP-DL-9EC07956DD-P002	IMP-DL-9EC07956DD-P002	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-9EC07956DD-P002	Existing structural link retained.
IMP-DL-3D9778F7D6-S001	SOLUTION	Downloads/ex3_8_takagi.tex	3.8	IMP-DL-3D9778F7D6-P001	IMP-DL-3D9778F7D6-P001	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-3D9778F7D6-P001	Existing structural link retained.
IMP-DL-3D9778F7D6-S002	SOLUTION	Downloads/ex3_8_takagi.tex	3.8	IMP-DL-3D9778F7D6-P001	IMP-DL-3D9778F7D6-P001	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-3D9778F7D6-P001	Existing structural link retained.
IMP-DL-3D9778F7D6-S003	SOLUTION	Downloads/ex3_8_takagi.tex	3.8	IMP-DL-3D9778F7D6-P001	IMP-DL-3D9778F7D6-P001	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-3D9778F7D6-P001	Existing structural link retained.
IMP-DL-1B25F017C4-S001	SOLUTION	Downloads/Exercise_1_2_append.tex	1.2	IMP-DL-1B25F017C4-P001	IMP-DL-1B25F017C4-P001	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-1B25F017C4-P001	Existing structural link retained.
IMP-DL-AE41E61130-S001	SOLUTION	Downloads/exercise_4_solutions (1).tex	4.1			UNRESOLVED_NUMBERING_MISMATCH	NUMBERING_MISMATCH_DETECTED	REVIEW	IMP-DL-11EDF39EA7-P011;IMP-DL-11EDF39EA7-P010;IMP-M2-68556E3D88-P011;IMP-M2-68556E3D88-P010;IMP-DL-AE41E61130-P001;IMP-M2-22F064D6B8-P001	Likely companion numbering shift detected; not auto-applied. See NUMBERING_MISMATCHES.tsv.
IMP-DL-AE41E61130-S002	SOLUTION	Downloads/exercise_4_solutions (1).tex	4.2			UNRESOLVED_NUMBERING_MISMATCH	NUMBERING_MISMATCH_DETECTED	REVIEW		Likely companion numbering shift detected; not auto-applied. See NUMBERING_MISMATCHES.tsv.
IMP-DL-AE41E61130-S003	SOLUTION	Downloads/exercise_4_solutions (1).tex	4.3			UNRESOLVED_NUMBERING_MISMATCH	NUMBERING_MISMATCH_DETECTED	REVIEW	IMP-DL-11EDF39EA7-P012;IMP-DL-11EDF39EA7-P013;IMP-DL-11EDF39EA7-P014;IMP-M2-68556E3D88-P012;IMP-M2-68556E3D88-P013;IMP-M2-68556E3D88-P014	Likely companion numbering shift detected; not auto-applied. See NUMBERING_MISMATCHES.tsv.
IMP-DL-AE41E61130-S004	SOLUTION	Downloads/exercise_4_solutions (1).tex	4.4			UNRESOLVED_NUMBERING_MISMATCH	NUMBERING_MISMATCH_DETECTED	REVIEW	IMP-DL-AE41E61130-P003;IMP-DL-AE41E61130-P004;IMP-M2-22F064D6B8-P003;IMP-M2-22F064D6B8-P004	Likely companion numbering shift detected; not auto-applied. See NUMBERING_MISMATCHES.tsv.
