solution_semantic_unit_id	solution_text_hash	member_count	member_solution_ids	source_files	linked_statement_hashes_before	candidate_statement_hashes	resolution	resolved_statement_hash	resolved_problem_id
SOLSEM-7958F51831D7	001b5db7b0484b69a2c36ceb2cbd6c8b5d9ffe3fc0329c80eb48cdc06f6ca051	2	IMP-DL-E532B44856-S007;IMP-M2-C037D998D4-S007	Downloads/theory-of-analysis-functions-II.tex;MATH-ALLS-2/theory-of-analysis-functions-II.tex	1e1dec8cdbbc004df0748b39bd01c84951397304788c848cbd847336de4057f7	1e1dec8cdbbc004df0748b39bd01c84951397304788c848cbd847336de4057f7	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	1e1dec8cdbbc004df0748b39bd01c84951397304788c848cbd847336de4057f7	IMP-M2-C037D998D4-P017
SOLSEM-1EAD23C6F10A	004ea35944041c7b8a3bd3c80340844ac9b68c5765d8fa0012c70a54e79e4e0a	2	IMP-DL-117191C0EC-S011;IMP-M2-40A546CAA2-S011	Downloads/theory-of-analysis-topics.tex;MATH-ALLS-2/theory-of-analysis-topics.tex	5d37c9df79e66828a8639fb51b0e11637b3d6a6d3569641a85f54ba2d7c10d1a	5d37c9df79e66828a8639fb51b0e11637b3d6a6d3569641a85f54ba2d7c10d1a	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	5d37c9df79e66828a8639fb51b0e11637b3d6a6d3569641a85f54ba2d7c10d1a	IMP-M2-40A546CAA2-P020
SOLSEM-25A8B9A5B8BB	01348ac343a9be5c53939ff50a4046c295376499c2261c3ef2dcb4cfa3df2252	2	IMP-DL-14663C23F1-S002;IMP-M2-155017A9AF-S002	Downloads/theory-of-geometry-III.tex;MATH-ALLS-2/theory-of-geometry-III.tex	508e43e3e0410232f1495e95801431f1c9993f1f9a7259b8cba598abbc88d357	508e43e3e0410232f1495e95801431f1c9993f1f9a7259b8cba598abbc88d357	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	508e43e3e0410232f1495e95801431f1c9993f1f9a7259b8cba598abbc88d357	IMP-M2-155017A9AF-P004
SOLSEM-03862C2995D4	01a238a09b5bed3e7ec692facfd5d3fd93908f75fa7b747d9d444df2329ec0e1	1	IMP-DL-12C1A20716-S010	Downloads/theory-of-algebraic-topology-10.tex	366794d0623e35fca49fae6067c63439b31b933e71574c83aeed045f4b832233	366794d0623e35fca49fae6067c63439b31b933e71574c83aeed045f4b832233	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	366794d0623e35fca49fae6067c63439b31b933e71574c83aeed045f4b832233	IMP-DL-12C1A20716-P035
SOLSEM-0738393E6555	01cb55222f8ed40a60607e091b87c732b77c2f18c14a56feae61b0f75f576889	3	IMP-DL-BD3A6D53D0-S008;IMP-M2-E2BE0561BD-S008;IMP-M3-0F6B7A59EB-S008	Downloads/theory-of-differential-geometry-2.tex;MATH-ALLS-2/theory-of-differential-geometry-2.tex;MATH_ALLS-3/theory-of-differential-geometry-2.tex	0f46a4ebf0a35187ed206a472f4434ddc4bf14dc908afe1c39bc8311c039d19c	0f46a4ebf0a35187ed206a472f4434ddc4bf14dc908afe1c39bc8311c039d19c	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	0f46a4ebf0a35187ed206a472f4434ddc4bf14dc908afe1c39bc8311c039d19c	IMP-M3-0F6B7A59EB-P008
SOLSEM-DC541F10CD99	022ff72bb3082fc9eb9d6d44ce3d6c4a89f84ab1372d9343d457abc65eda4065	2	IMP-DL-D148B51FB7-S026;IMP-M3-5A5277EBFB-S026	Downloads/theory-of-differential-geometry-4.tex;MATH_ALLS-3/theory-of-differential-geometry-4.tex	9cc8f37a75388c09dc4b887322544cc90f0e14f8b437c5944f7cdee98bdd2121	9cc8f37a75388c09dc4b887322544cc90f0e14f8b437c5944f7cdee98bdd2121	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	9cc8f37a75388c09dc4b887322544cc90f0e14f8b437c5944f7cdee98bdd2121	IMP-M3-5A5277EBFB-P032
SOLSEM-00A9F99FA5F7	0270345bb5fe6362e44fee589b6946c8f37bc654c849469c39f2487b2d140771	2	IMP-DL-38CE6DEB56-S003;IMP-M3-D19BB3C803-S003	Downloads/theory-of-commutative-algebra-14.tex;MATH_ALLS-3/theory-of-commutative-algebra-14.tex	9e82ef47823f0223b2d5dfbaf50af785abde50822912c7ea973f9aaadcc1565c	9e82ef47823f0223b2d5dfbaf50af785abde50822912c7ea973f9aaadcc1565c	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	9e82ef47823f0223b2d5dfbaf50af785abde50822912c7ea973f9aaadcc1565c	IMP-M3-D19BB3C803-P035
SOLSEM-05FFD2FA731D	0280a4ad2276c9cc66b45bb0fe164bb18eb8edcba02b918548c6182ef5a373c5	2	IMP-DL-117191C0EC-S001;IMP-M2-40A546CAA2-S001	Downloads/theory-of-analysis-topics.tex;MATH-ALLS-2/theory-of-analysis-topics.tex		41de55b8cd751ac5fdb812d178924d9fe9e640c35d5314e2911862f1409231f1;7012145461110f7c76b12d18895b04f786d9bae67935987bd2fb781fadad817a;7d5d14c3232693c444b1df134beedb26d167f9601ffe2e17f839cbae0d54688f;8694eb6b3886dcc5e8ed111beb1519d7a433e474556c8323f32c4d48318ca342;8cb501198e416f3422132d998f72ef65c4547abf0858be045765bed5872868cf;9c09de5b55bbadbb11b72ceec0ac01950c23b7d4518b9d7bd57db3b0405f1747;b3bee64ba99380b0914f5b9a4d556026cb9a7d8ffc7812bb2f9fd3cf4effa9d8;dde2c0b6f3cf876d1999c58834b05d6fcd4688e383e39ca50d7452e162ad0071	UNRESOLVED		
SOLSEM-A13F4AABDA7A	0326d94a860f0c54c74672ebbb9ce305c9d7ec9c00f156fc528fb71d07452968	2	IMP-DL-117191C0EC-S028;IMP-M2-40A546CAA2-S028	Downloads/theory-of-analysis-topics.tex;MATH-ALLS-2/theory-of-analysis-topics.tex	b5a7ff76ef0fea39a15357ad64582a3d856e31692ce3d15bdfced6c133b882d3	b5a7ff76ef0fea39a15357ad64582a3d856e31692ce3d15bdfced6c133b882d3	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	b5a7ff76ef0fea39a15357ad64582a3d856e31692ce3d15bdfced6c133b882d3	IMP-M2-40A546CAA2-P057
SOLSEM-20954D712A81	032851e0b42be747f624c5472d8e5cb2d11980211f2b98fef24f157612e10401	2	IMP-DL-117191C0EC-S010;IMP-M2-40A546CAA2-S010	Downloads/theory-of-analysis-topics.tex;MATH-ALLS-2/theory-of-analysis-topics.tex	7012145461110f7c76b12d18895b04f786d9bae67935987bd2fb781fadad817a	7012145461110f7c76b12d18895b04f786d9bae67935987bd2fb781fadad817a	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	7012145461110f7c76b12d18895b04f786d9bae67935987bd2fb781fadad817a	IMP-M2-40A546CAA2-P019
