volume	chapter_code	chapter_title	status	next_action	canonical_path	bytes	sha256
I	I/01	Scalars, Vectors and Linear Combinations	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	15509	7863c246113e52b9c218f1a5323c9b59e6382a4155f2cb8b20d85cc463fb9d4c
I	I/02	Subspaces, Span and Linear Independence	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	13328	c6c8a7c041529b3a3ce831a77c786b172c6682d31b62df9ad6a6c422551e28ca
I	I/03	Bases and Dimension	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	12881	71c679b9da747d4816dc7a6e3ca8c696ef3719600728d8e9a8533a336ec01935
I	I/04	Coordinates and Change of Basis	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	13126	e8ec7501d99e91936faa2f313f036fbfcf4b27e8ef3b7e5f4302cd2cf9a419d6
I	I/05	Linear Transformations	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	12341	be25121b73b2a7b39496befd4715c22c9ebafaf1cbae33cc536ee12b800a46b4
I	I/06	Kernels, Images and Isomorphisms	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	12473	78bd31a9a3f5be2efa1781f7cbc67aee45b7478f86f1f57844d7d84ccfef9fdc
I	I/07	Matrix Representation of Linear Maps	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	12215	fdcbb390af45cb398d188309232a9a318754822a2d8af14037906d61983f1962
I	I/08	Determinants and Trace	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	12299	54909fa0e62cf8f07f1d18cf324f83514df8904811090fa32dccc68d13021e99
I	I/09	Eigenvalues and Eigenvectors	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	12607	6dbac2dfe62b78ae71bf0389ca1a1ee3c9d1037fe4226a51d17c2611623a7de9
I	I/10	Invariant Subspaces and Triangularization	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	12918	620b85d06434d3f91ce2bf9b8e32df4aa64bb4de9957be47fe55858aeff38496
I	I/11	Diagonalization and Minimal Polynomials	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	12998	f8a134ac1adf3db9ab230e1f4b962bf34017d0f0c9480ee9d60e546277d1c669
I	I/12	Canonical Forms	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	12419	4dfe44a70548cd089de6197dd81cd0141aa421ba65ffe4026b0ec70e04499ee9
I	I/13	Inner Products and Orthogonality	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	11770	295152161771b823227782ace142feb4dc976ee858173e5022df64880c1412ea
I	I/14	Gram–Schmidt and Orthogonal Projection	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	12209	4d8a7ab33add738d1e8825dbc2a7552ec14877ffc38bcfc3f06e768075539170
I	I/15	Orthogonal and Unitary Operators	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	11195	8f405c538b4b191f3ffe45bc803d99ae0febdbbb195b548cd9ed2bf4c0050c58
I	I/16	The Spectral Theorem	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	12152	576514a020d8d8b79e32bce023af597efde65a542bc57f107b262a614e74ae3e
I	I/17	Quadratic Forms	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex	11869	4f8bbbd0a68ba2318840dd083f750e875fe6bc75d17a329fd77e8b2a4ed5b0f9
I	I/18	Singular-Value Decomposition	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	12387	dec2742b2fec7051ae7b182096e3dff4e8ac0f700c4ef53061a7187e9969bd4c
II	II/01	The Real Number System and Completeness	FROZEN	COMPLETE	books/vol02_real_analysis/chapters/ch01_the_real_number_system_and_completeness/chapter.tex	9680	015583fd9ba9aca96c2f49da3d46697b9de9d4b5ab68600103e3dfe6e42a6e9a
II	II/02	Euclidean and Normed Spaces	FROZEN	COMPLETE	books/vol02_real_analysis/chapters/ch02_euclidean_and_normed_spaces/chapter.tex	8387	e5fc86b5ee86356b4c132483b7b2dfe7713c114ec1fab0a451d4b1782dc6b01c
II	II/03	Sequences and Cauchy Sequences	FROZEN	COMPLETE	books/vol02_real_analysis/chapters/ch03_sequences_and_cauchy_sequences/chapter.tex	8542	18d6c6d1d0966e9917c8e9a8c68baa8fe649fc61a30f4fdf25c0d01a5851daa0
