source_volume	source_path	ref_kind	label	target_volume	classification
I	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	ref	ch:i07-matrix-representation-of-linear-maps	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	ref	ch:i14-gram-schmidt-and-orthogonal-projection	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	ref	ch:i18-singular-value-decomposition	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	ref	ch:i04-coordinates-and-change-of-basis	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	ref	ch:i14-gram-schmidt-and-orthogonal-projection	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	ref	ch:i18-singular-value-decomposition	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	ref	ch:i18-singular-value-decomposition	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	ref	ch:i04-coordinates-and-change-of-basis	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	ref	ch:i07-matrix-representation-of-linear-maps	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	ref	ch:i18-singular-value-decomposition	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	ref	ch:i04-coordinates-and-change-of-basis	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	ref	ch:i07-matrix-representation-of-linear-maps	I	INTRA_VOLUME
I	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	ref	ch:i14-gram-schmidt-and-orthogonal-projection	I	INTRA_VOLUME
III	books/vol03_fourier_distributions_pde/chapters/ch16_distributions_and_distributional_derivatives/chapter.tex	ref	thm:iii15-04	III	INTRA_VOLUME
III	books/vol03_fourier_distributions_pde/chapters/ch23_weak_boundary_value_problems/chapter.tex	ref	thm:iii21-trace	III	INTRA_VOLUME
VI	books/vol06_algebraic_geometry/chapters/ch17_structure_sheaf/chapter.tex	ref	thm:vi17-basic-open	VI	INTRA_VOLUME
VI	books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex	ref	prop:vi43-two-point-reduction	VI	INTRA_VOLUME
VI	books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex	ref	prop:vi43-two-point-reduction	VI	INTRA_VOLUME
VI	books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex	ref	thm:vi44-degree-transform	VI	INTRA_VOLUME
VI	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	ref	prop:vi45-tangent-cone	VI	INTRA_VOLUME
VI	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	ref	prop:vi45-total-transform-formula	VI	INTRA_VOLUME
VI	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	ref	thm:vi45-cremona-picard-action	VI	INTRA_VOLUME
VI	books/vol06_algebraic_geometry/chapters/ch47_ech_cohomology/chapter.tex	ref	prop:vi47-two-open	VI	INTRA_VOLUME
