volume	chapter_code	chapter_title	status	next_action	canonical_path	bytes	sha256
I	I/01	Scalars, Vectors and Linear Combinations	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	24263	cc3a0b895ef1a629d198b8d6cca6041207ac4a1b1ce0318945fb155780f695d6
I	I/02	Subspaces, Span and Linear Independence	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	22137	724cc2f85603f55405cf49531e7352335e4088b0e296cba6170ca08a54633223
I	I/03	Bases and Dimension	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	20813	bad8b897fbee7be6d8361ce789539292dbaa6fd34ac8f09f3a9debfafe5eaf0e
I	I/04	Coordinates and Change of Basis	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	23348	2db1fc4f2c19fa6d6ecc16583d02262e8c5f40f367017a71466304bc91a1ba50
I	I/05	Linear Transformations	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	19366	0aa41d2fc354a61502013d8d7f4079ffda2534c7bd8543f2104ba81277125286
I	I/06	Kernels, Images and Isomorphisms	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	20467	2c5031ded151be7ddad568f25713729fbb9448582488c22f52c2de5e93ea72d2
I	I/07	Matrix Representation of Linear Maps	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	21340	b13fd8e4aeeddc81af90734e422db685e3cd957472c0856d5fa29028567a1a94
I	I/08	Determinants and Trace	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	19256	d3a1eb227d284d68cc8903a655f90b5e58172dc143b22282e3dcee278b38b9ea
I	I/09	Eigenvalues and Eigenvectors	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	20154	82416d5c1490e8f6358cc24da2fea222704e0b976e04a3f11ee0d1a751c2f89b
I	I/10	Invariant Subspaces and Triangularization	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	20976	53fe1005045df5db27c7c5fe12da1ff7019bd64fbd4ac6c6f6e0c780a66bc061
I	I/11	Diagonalization and Minimal Polynomials	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	22252	6ab7d1f0dd095be4fd840ec790e6f1ef80e6975ff79ad287f31acbae57544e5f
I	I/12	Canonical Forms	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	21157	c7f1b82db40162c511ce3a27b3b3d7721b7b29233f7704709958b6bfb5b30dae
I	I/13	Inner Products and Orthogonality	FROZEN	COMPLETE	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	21753	2481443316f8022d67388c03aa0c8973bc495beaff8c67c7814da74b0d673771
