path,repository_status,canonical_file,classification_tags,documentclass,build_status,sha256,structural_sha256,line_count,duplicate_groups,parent_count,child_count,label_count,reference_count,unresolved_reference_count,decision_rationale,confidence,selection_scope
chapters/tex/commalg6_report_structure_template.tex,DUPLICATE,chapters/tex/commalg6_report_structure_template_1_.tex,chapter;duplicate;section;standalone,report,success,ecd104974d5624b9891bcfde6863735b96225f2d29e0e8b3a91294b3a8208184,332c87d1305c604d005cf5b06dc6af87e504938f91886447cda75a4d7a52922d,190,exact-733;structural-145,0,0,0,0,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/commalg6_report_structure_template_1_.tex,CANONICAL,chapters/tex/commalg6_report_structure_template_1_.tex,chapter;duplicate;section;standalone,report,success,ecd104974d5624b9891bcfde6863735b96225f2d29e0e8b3a91294b3a8208184,332c87d1305c604d005cf5b06dc6af87e504938f91886447cda75a4d7a52922d,190,exact-733;structural-145,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/diagrams_01-13_tikz.tex,CANONICAL,chapters/tex/diagrams_01-13_tikz.tex,chapter;diagrams;duplicate;section;standalone,article,failed,1b4f40f64c740e56e401f73f0f9d726e2d2095eed24a378f135097719d1194d9,0359806cd086f5ec4f1e01e5d3c7c39f4cbe15b2ca5d3c1483ec8824967422cf,444,exact-87;structural-16,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,medium,chapters/tex
chapters/tex/ex38g_ex39.tex,CANONICAL,chapters/tex/ex38g_ex39.tex,chapter;duplicate;section;solutions;standalone,article,success,e7bb61f14fddff9f3344ed73fe6680cc44e576abed273c12f54274d4cdfe5a44,9f4e4f51e384875a20323f03045d7218bb89f97912020f686f8c2f77693af8d1,41,exact-717;structural-433,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/ex3_8_takagi.tex,CANONICAL,chapters/tex/ex3_8_takagi.tex,chapter;duplicate;section;solutions;standalone,article,success,751254890a55efa44bf249f6d90d46c00c205b2abe70608e26abaa58b6de911e,6c9fbf414ff15f2b6b96287ab25e151d3b04ae0c1c6ce84e50162cf6a754826f,93,exact-378;structural-306,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/Exercise_1_2_append--math-alls-2.tex,MODULE,chapters/tex/Exercise_1_2_append--math-alls-2.tex,chapter;duplicate;exercises;solutions,,not_attempted,c221fb195e77751c0c07430e8cb703471fd09877d131412e98b98a8572913820,2ded9e4bbc5428587c6a16bc9c2767de4dae118f2d1ee891e2be6799d86f311a,92,exact-603;structural-131,0,3,4,2,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/Exercise_1_2_append.tex,DUPLICATE,chapters/tex/Exercise_1_2_append.tex,chapter;duplicate;exercises;solutions,,not_attempted,3e2d9f8fedd89b6bc113f8c63ed0cbc1eb8a49f3af9533ad7c685d499bd624f9,89903d07ce9b9e95389483a829f8763738604c5b794f2349b51398fdf6b90ef5,92,exact-206;structural-375,0,3,4,2,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/exercise_4_solutions_1_.tex,MODULE,chapters/tex/exercise_4_solutions_1_.tex,chapter;duplicate;exercises;section;solutions,,not_attempted,657496638ae0b92769d738ad9548bb0505fcd295d96e29962bef6119970944af,000611d63a012f060c78b241f6a53ae8dd7faee0af860f2d1443dd7cb62e7990,90,exact-327;structural-1,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/interpolation--math-alls-2.tex,CANONICAL,chapters/tex/interpolation--math-alls-2.tex,chapter;duplicate;section;standalone,article,failed,b984fc347afa0f51c69e37b2f92d2491b1084526d5b3a1441b5c9d9fa3d6e6ca,f58c1f03cfa7e54382ce9874d1a8d5281b889b294e1edadf946cb15cb4de9f5d,15,exact-574;structural-651,0,1,0,0,0,selected in Phase 2 canonical chapter-tree corpus,medium,chapters/tex
chapters/tex/interpolation.tex,DUPLICATE,chapters/tex/interpolation--math-alls-2.tex,chapter;duplicate;section;standalone,article,failed,b984fc347afa0f51c69e37b2f92d2491b1084526d5b3a1441b5c9d9fa3d6e6ca,f58c1f03cfa7e54382ce9874d1a8d5281b889b294e1edadf946cb15cb4de9f5d,15,exact-574;structural-651,0,1,0,0,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/interpolation_all.tex,MODULE,chapters/tex/interpolation_all.tex,chapter;diagrams;duplicate,,not_attempted,8582a60f6119df6f8cffd8062975f5a2dc773defced18317c9dd615e5424256a,b881822dc72bdff400f16d40e7522a10ca2e00019aad132cbfefbef6e5598faf,104,exact-424;structural-495,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/interpolation_n16.tex,MODULE,chapters/tex/interpolation_n16.tex,chapter;diagrams;duplicate,,not_attempted,68dde35cab71370c1b5546991c41301c88039ccbde1911bac0e0478a68e69e38,694e62a4d065c5058f79c35d02b32195c6457a075b311e72ed044be09b3f0bd1,34,exact-339;structural-291,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/interpolation_n4.tex,MODULE,chapters/tex/interpolation_n4.tex,chapter;diagrams;duplicate,,not_attempted,a67bd625c011c428bacabb1d1e7de5ad454eeb1dae488f0b523d7a3902f9bb2a,9d531aa249608ecd977b507349cab0ac0a09f495859535befc7d846989ca5314,34,exact-529;structural-428,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/interpolation_n8.tex,MODULE,chapters/tex/interpolation_n8.tex,chapter;diagrams;duplicate,,not_attempted,41839eb4e9bb223fcbcc8ac627ca53b186d74ebb4ecb11547e97e5be2ba7834f,c742cac49abc503a5914f267c228b264db245d0c70b1399b82b58179ca9232e6,34,exact-221;structural-533,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/latex_embed_examples_3_5.tex,MODULE,chapters/tex/latex_embed_examples_3_5.tex,chapter;duplicate,,not_attempted,11ed1e1bce2800f7838c418fc8bc786cd503bbbd7426f8391ad3ff4e619a0205,c38f68f6c2a422d0694ebc5c21bc29424cc55517e754d3d35a38f7b62da30133,43,exact-54;structural-526,0,4,4,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises.tex,CANONICAL,chapters/tex/merged_exercises.tex,chapter;duplicate;exercises;section;standalone,article,failed,f9b27f072bad12463e4df52aa990e0b664969f074f678707f89990afcd103d82,d5aeee74568a1014c28ea133956cbd5cbb73fe012fb59371e7d8fc9e1c38cf80,150,exact-774;structural-569,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,medium,chapters/tex
chapters/tex/merged_exercises_1_.tex,CANONICAL,chapters/tex/merged_exercises_1_.tex,chapter;duplicate;exercises;section;standalone,article,failed,a3827012528d0263c5b965c9c27cf90272a27678df97c4d63fb184344237f86f,ba1d5dfe816b46fd69b0e0fd11ed3b68486c74ace01e26cd5ddda91c068c0008,181,exact-523;structural-499,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,medium,chapters/tex
chapters/tex/merged_exercises_2_.tex,MODULE,chapters/tex/merged_exercises_2_.tex,chapter;duplicate;exercises;section,,not_attempted,7a60ee2cbe5e4e8fbbe140a7552e8397f56ef028cceae85d3e0e535b37fc9f18,b2397bf63067ab237669d77821a4019dee18f0c031129b65bdc8a9276c1eda92,36,exact-385;structural-481,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_3_.tex,MODULE,chapters/tex/merged_exercises_3_.tex,chapter;duplicate;exercises;section,,not_attempted,1c8066c6d220e606b2dff0f631033610ac3fd0416a86e8ccc111e785be7622fa,93975a8268c7537f450d726f78fb995a6bc0216d6ea5dbe24c146a979b1acd31,37,exact-94;structural-397,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_corrected.tex,CANONICAL,chapters/tex/merged_exercises_corrected.tex,chapter;duplicate;exercises;section;standalone,article,failed,276066c080fad473339574bfc7a416201a43930b1b84785f91a33524d2eecc66,e21a9805137c758888e28f474d91d34d94d0f20c4ebcfa30311b462c8e2b0661,227,exact-131;structural-597,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,medium,chapters/tex
chapters/tex/merged_exercises_corrected_1_.tex,CANONICAL,chapters/tex/merged_exercises_corrected_1_.tex,chapter;duplicate;exercises;section;standalone,article,success,f36e55d7c6fbe02965fd9cb9a94cf0ce741ec95733252322daa0273b415bb33a,1c7a4906a2d18cc962aea0cfe43549854281d8b34db3fc1dfcd9472eac0f9fd8,227,exact-750;structural-80,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_corrected_2_.tex,DUPLICATE,chapters/tex/merged_exercises_corrected_3_.tex,chapter;duplicate;exercises;section;standalone,article,success,b58a3e052b584cef7cbcbc85ec6919e49b5a1e718692725e4745cbd624523c93,292826a31085e2daceaf70a24949a0fc589127338f7b0c755beafc7754f72858,266,exact-565;structural-110,0,0,0,0,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/merged_exercises_corrected_3_.tex,CANONICAL,chapters/tex/merged_exercises_corrected_3_.tex,chapter;duplicate;exercises;section;standalone,article,success,b58a3e052b584cef7cbcbc85ec6919e49b5a1e718692725e4745cbd624523c93,292826a31085e2daceaf70a24949a0fc589127338f7b0c755beafc7754f72858,266,exact-565;structural-110,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_corrected_4_.tex,CANONICAL,chapters/tex/merged_exercises_corrected_4_.tex,chapter;duplicate;exercises;section;standalone,article,success,e703db00ef5385cc1409b016dd1b92b6a1175a2e628de01bbde8cd91dfe1af84,0fead0eb4d4fa6b33149dac8fa1dd1ed9169d4e908a5338fc67833ff663a5da4,338,exact-713;structural-50,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_corrected_5_.tex,DUPLICATE,chapters/tex/merged_exercises_corrected_7_.tex,chapter;duplicate;exercises;section,,not_attempted,03206bde0818030d47fd097adcbc0922836fdbaf96d7ef4498c8281348bb5137,f4c6452f45bab721f1d6ee0c51d71094ff477f67388cb4be12c1840175500731,39,exact-11;structural-646,0,0,0,0,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/merged_exercises_corrected_6_.tex,DUPLICATE,chapters/tex/merged_exercises_corrected_7_.tex,chapter;duplicate;exercises;section,,not_attempted,03206bde0818030d47fd097adcbc0922836fdbaf96d7ef4498c8281348bb5137,f4c6452f45bab721f1d6ee0c51d71094ff477f67388cb4be12c1840175500731,39,exact-11;structural-646,0,0,0,0,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/merged_exercises_corrected_7_.tex,MODULE,chapters/tex/merged_exercises_corrected_7_.tex,chapter;duplicate;exercises;section,,not_attempted,03206bde0818030d47fd097adcbc0922836fdbaf96d7ef4498c8281348bb5137,f4c6452f45bab721f1d6ee0c51d71094ff477f67388cb4be12c1840175500731,39,exact-11;structural-646,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_corrected_8_.tex,DUPLICATE,chapters/tex/merged_exercises_corrected_9_.tex,chapter;duplicate;exercises;section,,not_attempted,c51689ba98e1a10f05f3b5a13cfb034b6d6566bc79b4c976468590ca37759c29,2851c6d167de2cfb9088d111513a17d2ad9749ec0c9652be90619e56d423fde0,51,exact-613;structural-108,0,0,0,0,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/merged_exercises_corrected_9_.tex,MODULE,chapters/tex/merged_exercises_corrected_9_.tex,chapter;duplicate;exercises;section,,not_attempted,c51689ba98e1a10f05f3b5a13cfb034b6d6566bc79b4c976468590ca37759c29,2851c6d167de2cfb9088d111513a17d2ad9749ec0c9652be90619e56d423fde0,51,exact-613;structural-108,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_FULL.tex,DUPLICATE,chapters/tex/merged_exercises_corrected_9_.tex,chapter;duplicate;exercises;section,,not_attempted,c51689ba98e1a10f05f3b5a13cfb034b6d6566bc79b4c976468590ca37759c29,2851c6d167de2cfb9088d111513a17d2ad9749ec0c9652be90619e56d423fde0,51,exact-613;structural-108,0,0,0,0,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/merged_exercises_FULL_1_.tex,DUPLICATE,chapters/tex/merged_exercises_corrected_9_.tex,chapter;duplicate;exercises;section,,not_attempted,c51689ba98e1a10f05f3b5a13cfb034b6d6566bc79b4c976468590ca37759c29,2851c6d167de2cfb9088d111513a17d2ad9749ec0c9652be90619e56d423fde0,51,exact-613;structural-108,0,0,0,0,0,member of Phase 1 exact/structural duplicate group,medium,chapters/tex
chapters/tex/merged_exercises_FULL_2_.tex,MODULE,chapters/tex/merged_exercises_FULL_2_.tex,chapter;duplicate;exercises;section;solutions,,not_attempted,53dc1b24e65c70076200f453113464efc494858d089c7b129270e2d870f854b1,11ce606ca367bfb725d0dd91d7aa6c1bae00384975bc9196ec042d2c4373299b,51,exact-279;structural-57,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_FULL_v2.tex,CANONICAL,chapters/tex/merged_exercises_FULL_v2.tex,chapter;duplicate;exercises;section;solutions;standalone,article,failed,241cb43b385ea106293b5b6dcf802a11c5f91dc471ef15411b70e5b546a2374e,275024ce3998093db977c7eeaba9acbf05510c4fee23fbba3a9604c6e60f65f8,325,exact-125;structural-103,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,medium,chapters/tex
chapters/tex/merged_exercises_FULL_v2_1_.tex,CANONICAL,chapters/tex/merged_exercises_FULL_v2_1_.tex,chapter;diagrams;duplicate;exercises;section;solutions;standalone,article,success,9280f02483c83c7ca563e81c4cc6d3189965c624750c54032208a8cbf6415317,d493b4a4372262c8546c9cf317d83a82cdd41a7a3e62f7e5d8b22c45773262ba,2394,exact-466;structural-568,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_FULL_v2_2_.tex,MODULE,chapters/tex/merged_exercises_FULL_v2_2_.tex,chapter;duplicate;exercises;section;solutions,,not_attempted,13589cec5a0b624a3080ba7864fe1392bb9843e538f1efc889100e3706f7152f,09c9d2f3774f0d757c223c9c35da2c452bdc7de8ce84c83ec57159d4aa81f61f,54,exact-58;structural-33,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/merged_exercises_FULL_v2_3_.tex,MODULE,chapters/tex/merged_exercises_FULL_v2_3_.tex,chapter;duplicate;exercises;section;solutions,,not_attempted,b52258c59b62f3ad0d2b142d140b7dc2a80f7adc950686e2184aa0c0d8e499fc,338ba7a47d4b2d824bb4134935b339ed92731d4b52051ef3945167338c7c1fd5,97,exact-564;structural-149,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/problems_9_10_visuals_embedded.tex,CANONICAL,chapters/tex/problems_9_10_visuals_embedded.tex,chapter;duplicate;exercises;section;standalone,article,failed,aefec61e7d45412777ef37466b47c2230cc341be3e64a5a0b339357e3712b472,5c8b5716e1b1546672c20d4fec088dfa89774bc22d871f9513cccb6022c8b780,178,exact-551;structural-248,0,4,4,4,0,selected in Phase 2 canonical chapter-tree corpus,medium,chapters/tex
chapters/tex/problems_9_10_visuals_snippet.tex,MODULE,chapters/tex/problems_9_10_visuals_snippet.tex,chapter;duplicate;exercises,,not_attempted,56508b6b505d8049099c17e1e2e06a5b3fcbfee0fddbe88ea0710ffe54bb18e7,f0a73584d0992f9c796f12e290e093fadc00a09a38e9f879264270532c1fd18b,72,exact-286;structural-635,0,4,4,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/sheaves_notes_reorganized.tex,CANONICAL,chapters/tex/sheaves_notes_reorganized.tex,chapter;diagrams;duplicate;section;standalone,article,success,e4cb92ac4323b1cb2bccd7a99be4f9d678e22798c48244a0c761cf2a9865c78b,59da9c1746240f9febc653fc68dac920cd0881ab3906e40e17dcaf731bf345bc,2974,exact-708;structural-233,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-1.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-1.tex,chapter;diagrams;duplicate;exercises;section;standalone,article,success,db584f8854c8337933c2706a99a3d736c7456ce92755de7133c3b8cb63c5458b,d114657d97bf7eb589294722666595608f7655349dbdedc97639f9b380515176,5777,exact-679;structural-558,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-10.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-10.tex,chapter;diagrams;duplicate;section;standalone,article,failed,69d281affe3797eb6533cf356667c414c506638c1534f09f2293d5c8cd169bc9,6f1fbf0ab454ace4d3332d42b724ae1c135aa271c3c0af29aed008246894ea1e,6948,exact-342;structural-316,0,0,5,0,0,selected in Phase 2 canonical chapter-tree corpus,medium,chapters/tex
chapters/tex/theory-of-algebraic-geometry-11.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-11.tex,chapter;diagrams;duplicate;section;standalone,article,success,6c3c3e87cc8a9dc2dcb7625ac3116f9ea057bd4f23c1644ce79acf457bfa173e,6480e435b59a660ff52705986d073d003ec7eafac3969984c288ef31a8ee57ed,5572,exact-354;structural-274,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-12.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-12.tex,chapter;diagrams;section;standalone,article,success,3180ed9ea9241b5b8549b8425644e3719e66b31e7f2891712486a61bb4703209,1505eecd724441d7183269916b6017c88465cee5d48862fb9e67b82c732a1097,2282,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-13.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-13.tex,chapter;diagrams;section;standalone,article,success,3459d90f5566509fce87da1878da0619bf7a9933bb342443cab62b8e0032fbe5,64a0ef6a541d1273f674cd561400b8a75c1335c32fe77889d0fabe970e113d62,3979,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-14.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-14.tex,chapter;diagrams;section;standalone,article,success,e426bac31532b4f89ed803de5fb66a1065b47ba1661e6d10038d85076bbd62ff,b312d6711be551d9eea3842e05781fd58446303bf562726c0c122b8b98c8f730,5032,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-15.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-15.tex,chapter;diagrams;section;standalone,article,success,5c5294a1cdc2b302ba007a71da45a891685967c64f6c7a4800d5f87d47dab332,53492a87e5c29bdeb5f33e08869323a5bdf129f1149178439605dd803ebc4514,3524,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-16.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-16.tex,chapter;diagrams;section;standalone,article,success,b83dd78614fa12610dd2dc6f8ddb2dad808b812c00c8b794c16176da270eacbb,d99c1947c39f2d17d94d810cb81aa98bf5728aedfaba4d44b02f9d2eb59c1a93,3544,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-17.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-17.tex,chapter;diagrams;section;standalone,article,success,fa93c3ef8c95cbed060f21689050ca3ee1374f8237f70d1cb25b72ce39962a27,055b469a2a668087fe512da1ab0d426a553db17602661b5198d25c2aebdfedbe,3352,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-18.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-18.tex,chapter;diagrams;section;standalone,article,success,8bc481b51f7495744eea685b3c3ccf5175eec67121909ad67565dd1a519a4293,a72be701e3b0547427fde79de4df1d30786c7828b96729efad3e297bb30abd55,4626,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-19.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-19.tex,chapter;diagrams;section;standalone,article,success,0d8c6d05580d8bc56bd4573f01d4984009187bb564c1ad0fbfba70189c14b6ac,b0a377663619e61d20580531c2c35494ffe6c32baec3c57a693b34c3e2991858,3777,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-2.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-2.tex,chapter;diagrams;duplicate;section;standalone,article,success,ef3dd84c02e1af4522a6066396e16e501486d100246fad204420e3d9063e57a3,ae08f563065bdbf4182e0561948f271f29e610e05ae0d620ee6652640d607076,5549,exact-739;structural-474,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-20.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-20.tex,chapter;section;standalone,article,success,c4b5079cb990cdd75ba1b6f63178886a174d6806b21bd3985ad095c092f2ae0d,e2ac6e702f53d52f8d4ea6bf8887ea8368f0e1fd39233abe612e4fd11f666e15,1321,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
chapters/tex/theory-of-algebraic-geometry-21.tex,CANONICAL,chapters/tex/theory-of-algebraic-geometry-21.tex,chapter;diagrams;section;standalone,article,success,885da9da13fa3427b1692825f4c6af8ad60dca8b8ff732d97459686edff8a609,1b7b7e13a052be274cb0c7478163f4d9c2c050223ea2d71785440f8e1e853b46,2445,,0,0,0,0,0,selected in Phase 2 canonical chapter-tree corpus,high,chapters/tex
