file	engine	status	exit_code	timed_out	pdf_path	error	elapsed_seconds
Downloads_chinese.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_chinese\Downloads_chinese.pdf		0
Downloads_commalg6_report_structure_template.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_commalg6_report_structure_template\Downloads_commalg6_report_structure_template.pdf		4
Downloads_commalg6_report_structure_template_1_.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_commalg6_report_structure_template_1_\Downloads_commalg6_report_structure_template_1_.pdf		3
Downloads_diagrams_01-13_tikz.tex	pdflatex	fail	12	False		Downloads_diagrams_01-13_tikz.tex:96: Package pgfkeys Error: I do not know the	1
Downloads_dns.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_dns\Downloads_dns.pdf		2
Downloads_ex3_8_takagi.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_ex3_8_takagi\Downloads_ex3_8_takagi.pdf		2
Downloads_ex38g_ex39.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_ex38g_ex39\Downloads_ex38g_ex39.pdf		2
Downloads_interpolation.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_interpolation\Downloads_interpolation.pdf		5
Downloads_merged_exercises.tex	pdflatex	fail	12	False		Downloads_merged_exercises.tex:17: Package enumitem Error: a) undefined.	1
Downloads_merged_exercises_1_.tex	pdflatex	fail	12	False		Downloads_merged_exercises_1_.tex:48: Package enumitem Error: a) undefined.	1
Downloads_merged_exercises_corrected.tex	pdflatex	fail	12	False		Downloads_merged_exercises_corrected.tex:213: Extra }, or forgotten $.	1
Downloads_merged_exercises_corrected_1_.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_merged_exercises_corrected_1_\Downloads_merged_exercises_corrected_1_.pdf		1
Downloads_merged_exercises_corrected_2_.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_merged_exercises_corrected_2_\Downloads_merged_exercises_corrected_2_.pdf		2
Downloads_merged_exercises_corrected_3_.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_merged_exercises_corrected_3_\Downloads_merged_exercises_corrected_3_.pdf		1
Downloads_merged_exercises_corrected_4_.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_merged_exercises_corrected_4_\Downloads_merged_exercises_corrected_4_.pdf		1
Downloads_merged_exercises_FULL_v2.tex	pdflatex	fail	12	False		Downloads_merged_exercises_FULL_v2.tex:223: Extra }, or forgotten $.	1
Downloads_merged_exercises_FULL_v2_1_.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_merged_exercises_FULL_v2_1_\Downloads_merged_exercises_FULL_v2_1_.pdf		4
Downloads_problems_9_10_visuals_embedded.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_problems_9_10_visuals_embedded\Downloads_problems_9_10_visuals_embedded.pdf		2
Downloads_sheaves_notes_reorganized.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_sheaves_notes_reorganized\Downloads_sheaves_notes_reorganized.pdf		5
Downloads_theory-of-algebraic-geometry-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-1\Downloads_theory-of-algebraic-geometry-1.pdf		6
Downloads_theory-of-algebraic-geometry-10.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-10\Downloads_theory-of-algebraic-geometry-10.pdf		7
Downloads_theory-of-algebraic-geometry-11.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-11\Downloads_theory-of-algebraic-geometry-11.pdf		7
Downloads_theory-of-algebraic-geometry-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-2\Downloads_theory-of-algebraic-geometry-2.pdf		6
Downloads_theory-of-algebraic-geometry-3.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-3\Downloads_theory-of-algebraic-geometry-3.pdf		7
Downloads_theory-of-algebraic-geometry-4.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-4\Downloads_theory-of-algebraic-geometry-4.pdf		6
Downloads_theory-of-algebraic-geometry-5.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-5\Downloads_theory-of-algebraic-geometry-5.pdf		7
Downloads_theory-of-algebraic-geometry-6.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-6\Downloads_theory-of-algebraic-geometry-6.pdf		5
Downloads_theory-of-algebraic-geometry-7.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-7\Downloads_theory-of-algebraic-geometry-7.pdf		6
Downloads_theory-of-algebraic-geometry-8.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-8\Downloads_theory-of-algebraic-geometry-8.pdf		5
Downloads_theory-of-algebraic-geometry-9.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-geometry-9\Downloads_theory-of-algebraic-geometry-9.pdf		9
Downloads_theory-of-algebraic-topology-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-1\Downloads_theory-of-algebraic-topology-1.pdf		5
Downloads_theory-of-algebraic-topology-10.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-10\Downloads_theory-of-algebraic-topology-10.pdf		6
Downloads_theory-of-algebraic-topology-11.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-11\Downloads_theory-of-algebraic-topology-11.pdf		8
Downloads_theory-of-algebraic-topology-12.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-12\Downloads_theory-of-algebraic-topology-12.pdf		8
Downloads_theory-of-algebraic-topology-13.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-13\Downloads_theory-of-algebraic-topology-13.pdf		7
Downloads_theory-of-algebraic-topology-14.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-14\Downloads_theory-of-algebraic-topology-14.pdf		8
Downloads_theory-of-algebraic-topology-15.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-15\Downloads_theory-of-algebraic-topology-15.pdf		8
Downloads_theory-of-algebraic-topology-16.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-16\Downloads_theory-of-algebraic-topology-16.pdf		8
Downloads_theory-of-algebraic-topology-17.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-17\Downloads_theory-of-algebraic-topology-17.pdf		8
Downloads_theory-of-algebraic-topology-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-2\Downloads_theory-of-algebraic-topology-2.pdf		8
Downloads_theory-of-algebraic-topology-3.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-3\Downloads_theory-of-algebraic-topology-3.pdf		9
Downloads_theory-of-algebraic-topology-4.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-4\Downloads_theory-of-algebraic-topology-4.pdf		9
Downloads_theory-of-algebraic-topology-5.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-5\Downloads_theory-of-algebraic-topology-5.pdf		10
Downloads_theory-of-algebraic-topology-6.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-6\Downloads_theory-of-algebraic-topology-6.pdf		7
Downloads_theory-of-algebraic-topology-7.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-7\Downloads_theory-of-algebraic-topology-7.pdf		8
Downloads_theory-of-algebraic-topology-8.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-8\Downloads_theory-of-algebraic-topology-8.pdf		7
Downloads_theory-of-algebraic-topology-9.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-algebraic-topology-9\Downloads_theory-of-algebraic-topology-9.pdf		8
Downloads_theory-of-analysis.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis\Downloads_theory-of-analysis.pdf		45
Downloads_theory-of-analysis_-_Copy.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis_-_Copy\Downloads_theory-of-analysis_-_Copy.pdf		44
Downloads_theory-of-analysis-FD.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis-FD\Downloads_theory-of-analysis-FD.pdf		22
Downloads_theory-of-analysis-FD2.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis-FD2\Downloads_theory-of-analysis-FD2.pdf		22
Downloads_theory-of-analysis-functions.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis-functions\Downloads_theory-of-analysis-functions.pdf		10
Downloads_theory-of-analysis-functions-II.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis-functions-II\Downloads_theory-of-analysis-functions-II.pdf		17
Downloads_theory-of-analysis-II.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis-II\Downloads_theory-of-analysis-II.pdf		9
Downloads_theory-of-analysis-numbers.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis-numbers\Downloads_theory-of-analysis-numbers.pdf		69
Downloads_theory-of-analysis-topics.tex	xelatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis-topics\Downloads_theory-of-analysis-topics.pdf		4
Downloads_theory-of-analysis-topology.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-analysis-topology\Downloads_theory-of-analysis-topology.pdf		4
Downloads_theory-of-commutative-algebra-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-1\Downloads_theory-of-commutative-algebra-1.pdf		4
Downloads_theory-of-commutative-algebra-10.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-10\Downloads_theory-of-commutative-algebra-10.pdf		5
Downloads_theory-of-commutative-algebra-11.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-11\Downloads_theory-of-commutative-algebra-11.pdf		5
Downloads_theory-of-commutative-algebra-12.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-12\Downloads_theory-of-commutative-algebra-12.pdf		5
Downloads_theory-of-commutative-algebra-13.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-13\Downloads_theory-of-commutative-algebra-13.pdf		6
Downloads_theory-of-commutative-algebra-14.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-14\Downloads_theory-of-commutative-algebra-14.pdf		4
Downloads_theory-of-commutative-algebra-15.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-15\Downloads_theory-of-commutative-algebra-15.pdf		6
Downloads_theory-of-commutative-algebra-16.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-16\Downloads_theory-of-commutative-algebra-16.pdf		4
Downloads_theory-of-commutative-algebra-1s.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-1s\Downloads_theory-of-commutative-algebra-1s.pdf		4
Downloads_theory-of-commutative-algebra-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-2\Downloads_theory-of-commutative-algebra-2.pdf		5
Downloads_theory-of-commutative-algebra-3.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-3\Downloads_theory-of-commutative-algebra-3.pdf		4
Downloads_theory-of-commutative-algebra-4.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-4\Downloads_theory-of-commutative-algebra-4.pdf		6
Downloads_theory-of-commutative-algebra-5.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-5\Downloads_theory-of-commutative-algebra-5.pdf		5
