group_id,duplicate_type,sha256,structural_sha256,path,group_size,notes
exact-1,exact,00881226885604522a11456a48ead14049e25b7093f04235fffdd4afd821e198,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/book/parts/part02_classical_physics_foundations/chapter09_newtonian_mechanics/fig07_spring_force.tex,8,identical SHA256
exact-1,exact,00881226885604522a11456a48ead14049e25b7093f04235fffdd4afd821e198,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/chapters/chapter05_newtonian_mechanics/fig07_spring_force.tex,8,identical SHA256
exact-1,exact,00881226885604522a11456a48ead14049e25b7093f04235fffdd4afd821e198,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter05_newtonian_mechanics/fig07_spring_force.tex,8,identical SHA256
exact-1,exact,00881226885604522a11456a48ead14049e25b7093f04235fffdd4afd821e198,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/source_archives/PR-BOOK-10.0_active_before_exact_plan/chapters/chapter05_newtonian_mechanics/fig07_spring_force.tex,8,identical SHA256
exact-1,exact,00881226885604522a11456a48ead14049e25b7093f04235fffdd4afd821e198,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/book/parts/part02_classical_physics_foundations/chapter09_newtonian_mechanics/fig07_spring_force.tex,8,identical SHA256
exact-1,exact,00881226885604522a11456a48ead14049e25b7093f04235fffdd4afd821e198,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/chapters/chapter05_newtonian_mechanics/fig07_spring_force.tex,8,identical SHA256
exact-1,exact,00881226885604522a11456a48ead14049e25b7093f04235fffdd4afd821e198,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter05_newtonian_mechanics/fig07_spring_force.tex,8,identical SHA256
exact-1,exact,00881226885604522a11456a48ead14049e25b7093f04235fffdd4afd821e198,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/source_archives/PR-BOOK-10.0_active_before_exact_plan/chapters/chapter05_newtonian_mechanics/fig07_spring_force.tex,8,identical SHA256
exact-2,exact,00977923fbbafe27460c45abc848b514208773828001691cf0d2e7d705afb28b,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/styles/physics_colors.tex,2,identical SHA256
exact-2,exact,00977923fbbafe27460c45abc848b514208773828001691cf0d2e7d705afb28b,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/styles/physics_colors.tex,2,identical SHA256
exact-3,exact,00df74195f33a4309b5447536f2032a99537f826fe313f8ec4c60071b4656818,,imports/ALL_TEX_AND_FIGURES/tex/Downloads/theory-of-algebraic-topology-4.tex,2,identical SHA256
exact-3,exact,00df74195f33a4309b5447536f2032a99537f826fe313f8ec4c60071b4656818,,imports/Downloads/theory-of-algebraic-topology-4.tex,2,identical SHA256
exact-4,exact,01549e043ed3d0e90e078bed3d1430a3db06eef1ebd6c5c5f3642de4f5f9e41a,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter01_vectors/fig09_vector_addition_parallelogram.tex,2,identical SHA256
exact-4,exact,01549e043ed3d0e90e078bed3d1430a3db06eef1ebd6c5c5f3642de4f5f9e41a,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter01_vectors/fig09_vector_addition_parallelogram.tex,2,identical SHA256
exact-5,exact,016bad4fc51b0c15b4465af220caca9987a9858639ec21349bed96dba5bd11c8,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter01_vectors/sections/1_11_cross_product.tex,2,identical SHA256
exact-5,exact,016bad4fc51b0c15b4465af220caca9987a9858639ec21349bed96dba5bd11c8,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter01_vectors/sections/1_11_cross_product.tex,2,identical SHA256
exact-6,exact,017205f5e55f0751b9c01ec4de733979d2c267c614a8701538aec021d0119466,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/book/parts/part02_classical_physics_foundations/chapter09_newtonian_mechanics/fig14_universal_gravitation.tex,8,identical SHA256
exact-6,exact,017205f5e55f0751b9c01ec4de733979d2c267c614a8701538aec021d0119466,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/chapters/chapter05_newtonian_mechanics/fig14_universal_gravitation.tex,8,identical SHA256
exact-6,exact,017205f5e55f0751b9c01ec4de733979d2c267c614a8701538aec021d0119466,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter05_newtonian_mechanics/fig14_universal_gravitation.tex,8,identical SHA256
exact-6,exact,017205f5e55f0751b9c01ec4de733979d2c267c614a8701538aec021d0119466,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/source_archives/PR-BOOK-10.0_active_before_exact_plan/chapters/chapter05_newtonian_mechanics/fig14_universal_gravitation.tex,8,identical SHA256
exact-6,exact,017205f5e55f0751b9c01ec4de733979d2c267c614a8701538aec021d0119466,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/book/parts/part02_classical_physics_foundations/chapter09_newtonian_mechanics/fig14_universal_gravitation.tex,8,identical SHA256
exact-6,exact,017205f5e55f0751b9c01ec4de733979d2c267c614a8701538aec021d0119466,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/chapters/chapter05_newtonian_mechanics/fig14_universal_gravitation.tex,8,identical SHA256
exact-6,exact,017205f5e55f0751b9c01ec4de733979d2c267c614a8701538aec021d0119466,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter05_newtonian_mechanics/fig14_universal_gravitation.tex,8,identical SHA256
