"file"	"status"	"exit_code"	"pdf_path"	"error"
"Downloads_theory_figures_ch01_basis_vectors.tex"	"fail"	"12"	""	"theory_figures_ch01_basis_vectors.tex:2: Undefined control sequence."
"Downloads_theory_figures_ch01_cartesian_position_vector.tex"	"fail"	"12"	""	"theory_figures_ch01_cartesian_position_vector.tex:4: Package pgfkeys Error: I d"
"Downloads_theory_figures_ch01_change_of_basis.tex"	"fail"	"12"	""	"theory_figures_ch01_change_of_basis.tex:3: Package pgfkeys Error: I do not know"
"Downloads_theory_figures_ch01_coordinate_rotation.tex"	"fail"	"12"	""	"theory_figures_ch01_coordinate_rotation.tex:2: Package pgfkeys Error: I do not"
"Downloads_theory_figures_ch01_cross_product_orientation.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory_figures_ch01_cross_product_orientation\Downloads_theory_figures_ch01_cross_product_orientation-wrapper.pdf"	""
"Downloads_theory_figures_ch01_distance_between_points.tex"	"fail"	"12"	""	"theory_figures_ch01_distance_between_points.tex:2: Undefined control sequence."
"Downloads_theory_figures_ch01_dot_product_angle.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory_figures_ch01_dot_product_angle\Downloads_theory_figures_ch01_dot_product_angle-wrapper.pdf"	""
"Downloads_theory_figures_ch01_eigenvectors.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory_figures_ch01_eigenvectors\Downloads_theory_figures_ch01_eigenvectors-wrapper.pdf"	""
"Downloads_theory_figures_ch01_function_vector_space.tex"	"fail"	"12"	""	"theory_figures_ch01_function_vector_space.tex:2: Package pgfkeys Error: I do no"
"Downloads_theory_figures_ch01_gram_schmidt.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory_figures_ch01_gram_schmidt\Downloads_theory_figures_ch01_gram_schmidt-wrapper.pdf"	""
"Downloads_theory_figures_ch01_hilbert_space_bridge.tex"	"fail"	"12"	""	"theory_figures_ch01_hilbert_space_bridge.tex:2: Package xcolor Error: Undefined"
"Downloads_theory_figures_ch01_linear_independence.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory_figures_ch01_linear_independence\Downloads_theory_figures_ch01_linear_independence-wrapper.pdf"	""
"Downloads_theory_figures_ch01_linear_transformation.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory_figures_ch01_linear_transformation\Downloads_theory_figures_ch01_linear_transformation-wrapper.pdf"	""
"Downloads_theory_figures_ch01_orthogonal_projection.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory_figures_ch01_orthogonal_projection\Downloads_theory_figures_ch01_orthogonal_projection-wrapper.pdf"	""
"Downloads_theory_figures_ch01_parallelogram_area.tex"	"fail"	"12"	""	"theory_figures_ch01_parallelogram_area.tex:3: Package pgfkeys Error: I do not k"
"Downloads_theory_figures_ch01_right_hand_rule.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory_figures_ch01_right_hand_rule\Downloads_theory_figures_ch01_right_hand_rule-wrapper.pdf"	""
"Downloads_theory_figures_ch01_scalar_multiplication.tex"	"fail"	"12"	""	"theory_figures_ch01_scalar_multiplication.tex:3: Package pgfkeys Error: I do no"
