"file"	"status"	"exit_code"	"pdf_path"	"error"
"Downloads_Exercise_1_2_append.tex"	"fail"	"12"	""	"_1_2_append.tex:83: Package pdftex.def Error: File `f_and_psi.png' not found: u"
"Downloads_exercise_4_solutions_1_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_exercise_4_solutions_1_\Downloads_exercise_4_solutions_1_-wrapper.pdf"	""
"Downloads_interpolation_all.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_interpolation_all\Downloads_interpolation_all-wrapper.pdf"	""
"Downloads_interpolation_n16.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_interpolation_n16\Downloads_interpolation_n16-wrapper.pdf"	""
"Downloads_interpolation_n4.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_interpolation_n4\Downloads_interpolation_n4-wrapper.pdf"	""
"Downloads_interpolation_n8.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_interpolation_n8\Downloads_interpolation_n8-wrapper.pdf"	""
"Downloads_latex_embed_examples_3_5.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_latex_embed_examples_3_5\Downloads_latex_embed_examples_3_5-wrapper.pdf"	""
"Downloads_merged_exercises_2_.tex"	"fail"	"12"	""	"xercises_2_.tex:24: Extra }, or forgotten $."
"Downloads_merged_exercises_3_.tex"	"fail"	"12"	""	"xercises_3_.tex:25: Extra }, or forgotten $."
"Downloads_merged_exercises_corrected_5_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_corrected_5_\Downloads_merged_exercises_corrected_5_-wrapper.pdf"	""
"Downloads_merged_exercises_corrected_6_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_corrected_6_\Downloads_merged_exercises_corrected_6_-wrapper.pdf"	""
"Downloads_merged_exercises_corrected_7_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_corrected_7_\Downloads_merged_exercises_corrected_7_-wrapper.pdf"	""
"Downloads_merged_exercises_corrected_8_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_corrected_8_\Downloads_merged_exercises_corrected_8_-wrapper.pdf"	""
"Downloads_merged_exercises_corrected_9_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_corrected_9_\Downloads_merged_exercises_corrected_9_-wrapper.pdf"	""
"Downloads_merged_exercises_FULL_1_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_FULL_1_\Downloads_merged_exercises_FULL_1_-wrapper.pdf"	""
"Downloads_merged_exercises_FULL_2_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_FULL_2_\Downloads_merged_exercises_FULL_2_-wrapper.pdf"	""
"Downloads_merged_exercises_FULL_v2_2_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_FULL_v2_2_\Downloads_merged_exercises_FULL_v2_2_-wrapper.pdf"	""
"Downloads_merged_exercises_FULL_v2_3_.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_FULL_v2_3_\Downloads_merged_exercises_FULL_v2_3_-wrapper.pdf"	""
"Downloads_merged_exercises_FULL.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_merged_exercises_FULL\Downloads_merged_exercises_FULL-wrapper.pdf"	""
"Downloads_problems_9_10_visuals_snippet.tex"	"success"	"0"	"build\compile-audit\fragments\Downloads_problems_9_10_visuals_snippet\Downloads_problems_9_10_visuals_snippet-wrapper.pdf"	""
"Downloads_vector_bundle_diagrams_snippet_1_.tex"	"fail"	"12"	""	"undle_diagrams_snippet_1_.tex:23: Undefined control sequence."
"Downloads_vector_bundle_diagrams_snippet.tex"	"fail"	"12"	""	"undle_diagrams_snippet.tex:23: Undefined control sequence."
"MATH-ALLS-2_Exercise_1_2_append.tex"	"fail"	"12"	""	"se_1_2_append.tex:83: Package pdftex.def Error: File `f_and_psi.png' not found:"
"MATH-ALLS-2_exercise_4_solutions_1_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_exercise_4_solutions_1_\MATH-ALLS-2_exercise_4_solutions_1_-wrapper.pdf"	""
"MATH-ALLS-2_interpolation_all.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_interpolation_all\MATH-ALLS-2_interpolation_all-wrapper.pdf"	""
"MATH-ALLS-2_interpolation_n16.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_interpolation_n16\MATH-ALLS-2_interpolation_n16-wrapper.pdf"	""
"MATH-ALLS-2_interpolation_n4.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_interpolation_n4\MATH-ALLS-2_interpolation_n4-wrapper.pdf"	""
"MATH-ALLS-2_interpolation_n8.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_interpolation_n8\MATH-ALLS-2_interpolation_n8-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_2_.tex"	"fail"	"12"	""	"_exercises_2_.tex:24: Extra }, or forgotten $."
"MATH-ALLS-2_merged_exercises_3_.tex"	"fail"	"12"	""	"_exercises_3_.tex:25: Extra }, or forgotten $."
"MATH-ALLS-2_merged_exercises_corrected_5_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_corrected_5_\MATH-ALLS-2_merged_exercises_corrected_5_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_corrected_6_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_corrected_6_\MATH-ALLS-2_merged_exercises_corrected_6_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_corrected_7_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_corrected_7_\MATH-ALLS-2_merged_exercises_corrected_7_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_corrected_8_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_corrected_8_\MATH-ALLS-2_merged_exercises_corrected_8_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_corrected_9_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_corrected_9_\MATH-ALLS-2_merged_exercises_corrected_9_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_FULL_1_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_FULL_1_\MATH-ALLS-2_merged_exercises_FULL_1_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_FULL_2_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_FULL_2_\MATH-ALLS-2_merged_exercises_FULL_2_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_FULL_v2_2_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_FULL_v2_2_\MATH-ALLS-2_merged_exercises_FULL_v2_2_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_FULL_v2_3_.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_FULL_v2_3_\MATH-ALLS-2_merged_exercises_FULL_v2_3_-wrapper.pdf"	""
"MATH-ALLS-2_merged_exercises_FULL.tex"	"success"	"0"	"build\compile-audit\fragments\MATH-ALLS-2_merged_exercises_FULL\MATH-ALLS-2_merged_exercises_FULL-wrapper.pdf"	""
