canonical_dossier_id	volume	chapter_code	chapter_title	entry_kind	ordinal_in_chapter_kind	label	title	source_path	source_line	placement	solution_mode	solution_path	provenance_origin	provenance_ledger	provenance_source_file	provenance_source_block_id	mapped_source_rules	source_rule_dispositions
prob:i01-dossier-01	I	I/01	Scalars, Vectors and Linear Combinations	problem	1	prob:i01-dossier-01	A hidden dependence in three vectors	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	85	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	diagrams_01-13_tikz.tex	S02	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-02	I	I/01	Scalars, Vectors and Linear Combinations	problem	2	prob:i01-dossier-02	Changing the scalar field	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	92	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-differential-geometry-3.tex	T01.SECTION	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-03	I	I/01	Scalars, Vectors and Linear Combinations	problem	3	prob:i01-dossier-03	Polynomial coordinates without a basis theorem	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	99	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T01.SECTION	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-04	I	I/01	Scalars, Vectors and Linear Combinations	problem	4	prob:i01-dossier-04	Affine but not linear	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	106	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-differential-geometry-3.tex	T01.EXERCISE_CHILDREN	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-05	I	I/01	Scalars, Vectors and Linear Combinations	problem	5	prob:i01-dossier-05	Matrix units as building blocks	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	113	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-differential-geometry-3.tex	T01.THEORY_CHILDREN	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-06	I	I/01	Scalars, Vectors and Linear Combinations	problem	6	prob:i01-dossier-06	Functions as vectors	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	120	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T01.EXERCISE_CHILDREN	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-07	I	I/01	Scalars, Vectors and Linear Combinations	problem	7	prob:i01-dossier-07	Convex versus affine combinations	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	127	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T01.THEORY_CHILDREN	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-08	I	I/01	Scalars, Vectors and Linear Combinations	problem	8	prob:i01-dossier-08	Complex linearity test	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	134	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-09	I	I/01	Scalars, Vectors and Linear Combinations	problem	9	prob:i01-dossier-09	A parameterized linear combination	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	141	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-10	I	I/01	Scalars, Vectors and Linear Combinations	problem	10	prob:i01-dossier-10	Why finite sums are enough	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	148	ROOT_CHAPTER	INLINE_SAME_FILE	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
