volume	chapter_code	declared_path	path_exists	candidate_count	resolved_path	classification
I	I/01	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	OK
I	I/02	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	OK
I	I/03	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	OK
I	I/04	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	OK
I	I/05	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	OK
I	I/06	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	OK
I	I/07	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	OK
I	I/08	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	OK
I	I/09	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	OK
I	I/10	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	OK
I	I/11	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	OK
I	I/12	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	OK
I	I/13	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	OK
I	I/14	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	OK
I	I/15	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	OK
I	I/16	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	OK
I	I/17	books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex	OK
I	I/18	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	YES	1	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	OK
II	II/01	books/vol02_real_analysis/chapters/ch01_the_real_number_system_and_completeness/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/02	books/vol02_real_analysis/chapters/ch02_euclidean_and_normed_spaces/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/03	books/vol02_real_analysis/chapters/ch03_sequences_and_cauchy_sequences/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/04	books/vol02_real_analysis/chapters/ch04_open_and_closed_sets/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/05	books/vol02_real_analysis/chapters/ch05_metric_spaces_and_continuity/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/06	books/vol02_real_analysis/chapters/ch06_compactness/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/07	books/vol02_real_analysis/chapters/ch07_connectedness_and_path_connectedness/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/08	books/vol02_real_analysis/chapters/ch08_differentiability_in_several_variables/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/09	books/vol02_real_analysis/chapters/ch09_inverse_and_implicit_function_principles/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/10	books/vol02_real_analysis/chapters/ch10_riemann_integration/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/11	books/vol02_real_analysis/chapters/ch11_pointwise_and_uniform_convergence/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/12	books/vol02_real_analysis/chapters/ch12_interchanging_limits_derivatives_and_integrals/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/13	books/vol02_real_analysis/chapters/ch13_infinite_series_of_functions/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/14	books/vol02_real_analysis/chapters/ch14_trigonometric_series/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/15	books/vol02_real_analysis/chapters/ch15_pathological_and_nowhere_differentiable_functions/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/16	books/vol02_real_analysis/chapters/ch16_contraction_mappings/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/17	books/vol02_real_analysis/chapters/ch17_brouwer_type_fixed_point_ideas/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/18	books/vol02_real_analysis/chapters/ch18_integral_equations/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/19	books/vol02_real_analysis/chapters/ch19_elementary_existence_theory_for_odes/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/20	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/21	books/vol02_real_analysis/chapters/ch21_polynomial_approximation/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/22	books/vol02_real_analysis/chapters/ch22_chebyshev_and_minimax_approximation/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/23	books/vol02_real_analysis/chapters/ch23_the_alternation_principle/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/24	books/vol02_real_analysis/chapters/ch24_numerical_quadrature/chapter.tex	NO	0		MISSING_PLANNED_PATH
II	II/25	books/vol02_real_analysis/chapters/ch25_continued_fractions_and_approximation_topics/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/01	books/vol03_fourier_distributions_pde/chapters/ch01_sigma_algebras_and_measures/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/02	books/vol03_fourier_distributions_pde/chapters/ch02_measurable_functions/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/03	books/vol03_fourier_distributions_pde/chapters/ch03_the_lebesgue_integral/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/04	books/vol03_fourier_distributions_pde/chapters/ch04_convergence_theorems/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/05	books/vol03_fourier_distributions_pde/chapters/ch05_product_measures_and_fubini_theory/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/06	books/vol03_fourier_distributions_pde/chapters/ch06_lp_spaces/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/07	books/vol03_fourier_distributions_pde/chapters/ch07_h_lder_minkowski_and_interpolation/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/08	books/vol03_fourier_distributions_pde/chapters/ch08_egorov_vitali_and_weak_lp_ideas/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/09	books/vol03_fourier_distributions_pde/chapters/ch09_fourier_series/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/10	books/vol03_fourier_distributions_pde/chapters/ch10_convolution_and_approximate_identities/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/11	books/vol03_fourier_distributions_pde/chapters/ch11_the_fourier_transform/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/12	books/vol03_fourier_distributions_pde/chapters/ch12_the_gaussian_and_transform_calculus/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/13	books/vol03_fourier_distributions_pde/chapters/ch13_plancherel_and_l2_fourier_theory/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/14	books/vol03_fourier_distributions_pde/chapters/ch14_the_schwartz_space/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/15	books/vol03_fourier_distributions_pde/chapters/ch15_test_function_spaces/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/16	books/vol03_fourier_distributions_pde/chapters/ch16_distributions_and_distributional_derivatives/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/17	books/vol03_fourier_distributions_pde/chapters/ch17_support_and_singular_distributions/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/18	books/vol03_fourier_distributions_pde/chapters/ch18_tempered_distributions/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/19	books/vol03_fourier_distributions_pde/chapters/ch19_fourier_transform_of_distributions/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/20	books/vol03_fourier_distributions_pde/chapters/ch20_weak_derivatives/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/21	books/vol03_fourier_distributions_pde/chapters/ch21_sobolev_spaces/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/22	books/vol03_fourier_distributions_pde/chapters/ch22_approximation_and_density/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/23	books/vol03_fourier_distributions_pde/chapters/ch23_weak_boundary_value_problems/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/24	books/vol03_fourier_distributions_pde/chapters/ch24_fundamental_solutions/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/25	books/vol03_fourier_distributions_pde/chapters/ch25_green_functions/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/26	books/vol03_fourier_distributions_pde/chapters/ch26_sturm_liouville_green_kernels/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/27	books/vol03_fourier_distributions_pde/chapters/ch27_elliptic_operators_and_maximum_principles/chapter.tex	NO	0		MISSING_PLANNED_PATH
III	III/28	books/vol03_fourier_distributions_pde/chapters/ch28_spectral_and_transform_methods_for_pde/chapter.tex	NO	0		MISSING_PLANNED_PATH
IV	IV/01	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	NO	0		MISSING_PLANNED_PATH
IV	IV/02	books/vol04_complex_analysis/chapters/ch02_cauchy_riemann_equations/chapter.tex	NO	0		MISSING_PLANNED_PATH
