volume	chapter_code	chapter_title	canonical_path	path_exists	status	next_action	graph_tex_files	pairing_policy	raw_pairing_match	problems	exercises	hints	solutions	expected_solutions	pairing	scaffold
I	I/01	Scalars, Vectors and Linear Combinations	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/02	Subspaces, Span and Linear Independence	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/03	Bases and Dimension	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/04	Coordinates and Change of Basis	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/05	Linear Transformations	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/06	Kernels, Images and Isomorphisms	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/07	Matrix Representation of Linear Maps	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/08	Determinants and Trace	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/09	Eigenvalues and Eigenvectors	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/10	Invariant Subspaces and Triangularization	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/11	Diagonalization and Minimal Polynomials	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/12	Canonical Forms	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/13	Inner Products and Orthogonality	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/14	Gram–Schmidt and Orthogonal Projection	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/15	Orthogonal and Unitary Operators	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/16	The Spectral Theorem	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/17	Quadratic Forms	books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
I	I/18	Singular-Value Decomposition	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/01	The Real Number System and Completeness	books/vol02_real_analysis/chapters/ch01_the_real_number_system_and_completeness/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/02	Euclidean and Normed Spaces	books/vol02_real_analysis/chapters/ch02_euclidean_and_normed_spaces/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/03	Sequences and Cauchy Sequences	books/vol02_real_analysis/chapters/ch03_sequences_and_cauchy_sequences/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/04	Open and Closed Sets	books/vol02_real_analysis/chapters/ch04_open_and_closed_sets/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/05	Metric Spaces and Continuity	books/vol02_real_analysis/chapters/ch05_metric_spaces_and_continuity/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/06	Compactness	books/vol02_real_analysis/chapters/ch06_compactness/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/07	Connectedness and Path Connectedness	books/vol02_real_analysis/chapters/ch07_connectedness_and_path_connectedness/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/08	Differentiability in Several Variables	books/vol02_real_analysis/chapters/ch08_differentiability_in_several_variables/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/09	Inverse and Implicit Function Principles	books/vol02_real_analysis/chapters/ch09_inverse_and_implicit_function_principles/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
II	II/10	Riemann Integration	books/vol02_real_analysis/chapters/ch10_riemann_integration/chapter.tex	YES	FROZEN	COMPLETE	1	STRICT_INLINE_GRAPH	YES	12	8	8	20	20	PASS	NO
