import_root	path	sha256	bytes	standalone	target_volume	active_book_reference	identical_copy_count	integration_status
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/basis_vectors.tex	aedd906d5156305ef59c88fa128893ccacba25382f98bd6be444f443f6bbf3f8	465	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/cartesian_position_vector.tex	8df1df7a64844034c095f95d40db40b19d0f8ab2cc946bf9cd70dfc743ea7fd5	573	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/change_of_basis.tex	76872bc1a69a25b021309debea04583ddc66f4d0a2b4f300199682ad8d83d34f	736	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/coordinate_rotation.tex	1ec892a6ef832e9dcd6f41733d0332962bf6f4e91357d13c091b1ca86a6ca6ca	566	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/cross_product_orientation.tex	d95168240183722bb68dfee9cd32e127f47699ce68fb972ad2089e48825d2865	546	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/distance_between_points.tex	455e7332c36998f81ba60dd3c45a10f87da37008b4fb0db011144f6323c5426a	435	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/dot_product_angle.tex	2009c4f19c81702705736876710f037ddb892bc8b8433e43007e5436231afff5	613	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/eigenvectors.tex	d53e25c3b04178b994a5ea4e10317c903679eafc99a6fc7097059369d3048b69	589	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/function_vector_space.tex	1f703d8ba2171149878519012a5acdc2f85801d38a5c94e00db09602977ccad1	569	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/gram_schmidt.tex	82f1e3369606e18de09d74d1c90acae5efc19dec98be1225d42e5cdb3b5097de	614	no	UNMAPPED	no	18	deduplicate-before-integration
