volume	chapter	architecture	examples	exercises	hints	problems	solutions	labels	added_examples	added_exercises	added_hints	added_solutions
I	I/01	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/02	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/03	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/04	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/05	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/06	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/07	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/08	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/09	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/10	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/11	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/12	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/13	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/14	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/15	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/16	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/17	direct-chapter	6	24	24	12	36	45	0	0	0	0
I	I/18	direct-chapter	6	24	24	12	36	45	0	0	0	0
II	II/01	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/02	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/03	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/04	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/05	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/06	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/07	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/08	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/09	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/10	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/11	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/12	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/13	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/14	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/15	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/16	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/17	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/18	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/19	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/20	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/21	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/22	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/23	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/24	direct-chapter	7	24	24	12	36	47	0	0	0	0
II	II/25	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/01	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/02	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/03	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/04	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/05	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/06	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/07	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/08	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/09	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/10	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/11	direct-chapter	7	24	24	12	36	48	0	0	0	0
III	III/12	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/13	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/14	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/15	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/16	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/17	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/18	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/19	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/20	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/21	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/22	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/23	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/24	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/25	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/26	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/27	direct-chapter	7	24	24	12	36	47	0	0	0	0
III	III/28	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/01	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/02	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/03	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/04	direct-chapter	7	24	24	12	36	48	0	0	0	0
IV	IV/05	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/06	direct-chapter	7	24	24	12	36	48	0	0	0	0
IV	IV/07	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/08	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/09	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/10	direct-chapter	7	24	24	12	36	48	0	0	0	0
IV	IV/11	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/12	direct-chapter	7	24	24	12	36	48	0	0	0	0
