chapter_code	chapter_title	goals	measurable_goals	hints	generic_hint_hits
I/01	Scalars, Vectors and Linear Combinations	6	6	8	8
I/02	Subspaces, Span and Linear Independence	6	6	8	8
I/03	Bases and Dimension	6	6	8	8
I/04	Coordinates and Change of Basis	6	6	8	8
I/05	Linear Transformations	6	6	8	8
I/06	Kernels, Images and Isomorphisms	6	6	8	8
I/07	Matrix Representation of Linear Maps	6	6	8	8
I/08	Determinants and Trace	6	6	8	8
I/09	Eigenvalues and Eigenvectors	6	6	8	8
I/10	Invariant Subspaces and Triangularization	6	6	8	8
I/11	Diagonalization and Minimal Polynomials	6	6	8	8
I/12	Canonical Forms	6	6	8	8
I/13	Inner Products and Orthogonality	6	6	8	8
I/14	Gram–Schmidt and Orthogonal Projection	6	6	8	8
I/15	Orthogonal and Unitary Operators	6	6	8	8
I/16	The Spectral Theorem	6	6	8	8
I/17	Quadratic Forms	6	6	8	8
I/18	Singular-Value Decomposition	6	6	8	8
