chapter	examples	exercises	hints	problems	solutions	labels
III/01	7	24	24	12	36	47
III/02	7	24	24	12	36	47
III/03	7	24	24	12	36	47
III/04	7	24	24	12	36	47
III/05	7	24	24	12	36	47
III/06	7	24	24	12	36	47
III/07	7	24	24	12	36	47
III/08	7	24	24	12	36	47
III/09	7	24	24	12	36	47
III/10	7	24	24	12	36	47
III/11	7	24	24	12	36	48
III/12	7	24	24	12	36	47
III/13	7	24	24	12	36	47
III/14	7	24	24	12	36	47
III/15	7	24	24	12	36	47
III/16	7	24	24	12	36	47
III/17	7	24	24	12	36	47
III/18	7	24	24	12	36	47
III/19	7	24	24	12	36	47
III/20	7	24	24	12	36	47
III/21	7	24	24	12	36	47
III/22	7	24	24	12	36	47
III/23	7	24	24	12	36	47
III/24	7	24	24	12	36	47
III/25	7	24	24	12	36	47
III/26	7	24	24	12	36	47
III/27	7	24	24	12	36	47
III/28	7	24	24	12	36	47
