chapter_code	chapter_title	goals	measurable_goals	problems	exercises	hints	solutions	generic_hint_hits
IV/01	Complex Differentiability	6	6	12	8	8	20	8
IV/02	Cauchy–Riemann Equations	6	6	12	8	8	20	8
IV/03	Power Series and Analytic Functions	6	6	12	8	8	20	8
IV/04	Complex Integration	6	6	12	8	8	20	8
IV/05	Cauchy's Theorem	6	6	12	8	8	20	8
IV/06	Cauchy's Integral Formula	6	6	12	8	8	20	8
IV/07	Zeros and the Identity Theorem	6	6	12	8	8	20	8
IV/08	Laurent Series	6	6	12	8	8	20	8
IV/09	Isolated Singularities	6	6	12	8	8	20	8
IV/10	Residues and the Residue Theorem	6	6	12	8	8	20	8
IV/11	Evaluation of Real Integrals	6	6	12	8	8	20	8
IV/12	Winding Numbers and the Argument Principle	6	6	12	8	8	20	8
IV/13	Rouché's Theorem	6	6	12	8	8	20	8
IV/14	Branches of the Logarithm and Roots	6	6	12	8	8	20	8
IV/15	Analytic Continuation	6	6	12	8	8	20	8
IV/16	Möbius Transformations	6	6	12	8	8	20	8
IV/17	Conformal Mapping	6	6	12	8	8	20	8
IV/18	Schwarz–Christoffel Transformations	6	6	12	8	8	20	8
IV/19	The Gamma Function	6	6	12	8	8	20	8
IV/20	Beta and Gamma Identities	6	6	12	8	8	20	8
IV/21	Keyhole Contours and Branch-Cut Integrals	6	6	12	8	8	20	8
IV/22	From Analytic Continuation to Riemann Surfaces	6	6	12	8	8	20	8
IV/23	Covering Maps and Monodromy	6	6	12	8	8	20	8
IV/24	Branched Coverings	6	6	12	8	8	20	8
IV/25	Construction by Gluing	6	6	12	8	8	20	8
IV/26	Compactification and Genus	6	6	12	8	8	20	8
IV/27	Lattices and Complex Tori	6	6	12	8	8	20	8
IV/28	Elliptic Functions	6	6	12	8	8	20	8
IV/29	The Weierstrass ℘-Function	6	6	12	8	8	20	8
IV/30	Addition Formulas	6	6	12	8	8	20	8
IV/31	Elliptic Curves as Riemann Surfaces	6	6	12	8	8	20	8
