chapter	canonical_examples	canonical_exercises	canonical_hints	canonical_problems	canonical_solutions	expansion_examples	expansion_exercises	expansion_hints	expansion_solutions	composed_examples	composed_exercises	composed_hints	composed_problems	composed_solutions	composed_labels
VIII/01	6	24	24	12	36	3	16	16	16	9	40	40	12	52	80
VIII/02	7	24	24	12	36	3	16	16	16	10	40	40	12	52	80
VIII/03	1	24	24	12	36	3	16	16	16	4	40	40	12	52	74
VIII/04	0	24	24	20	44	3	16	16	16	3	40	40	20	60	78
VIII/05	5	24	24	24	48	3	16	16	16	8	40	40	24	64	83
VIII/06	4	24	24	20	44	3	16	16	16	7	40	40	20	60	85
VIII/07	0	24	24	20	44	3	16	16	16	3	40	40	20	60	78
VIII/08	0	24	24	20	44	3	16	16	16	3	40	40	20	60	76
VIII/09	2	24	24	24	48	3	16	16	16	5	40	40	24	64	84
VIII/10	3	24	24	24	48	3	16	16	16	6	40	40	24	64	83
VIII/11	0	24	24	22	46	3	16	16	16	3	40	40	22	62	76
VIII/12	0	24	24	24	48	3	16	16	16	3	40	40	24	64	81
VIII/13	0	24	24	20	44	3	16	16	16	3	40	40	20	60	74
VIII/14	1	24	24	20	44	3	16	16	16	4	40	40	20	60	78
VIII/15	3	24	24	24	48	3	16	16	16	6	40	40	24	64	88
VIII/16	1	24	24	22	46	3	16	16	16	4	40	40	22	62	80
VIII/17	0	24	24	24	48	3	16	16	16	3	40	40	24	64	81
VIII/18	0	24	24	24	48	3	16	16	16	3	40	40	24	64	74
VIII/19	0	24	24	24	48	3	16	16	16	3	40	40	24	64	77
VIII/20	0	24	24	22	46	3	16	16	16	3	40	40	22	62	76
VIII/21	0	24	24	24	48	3	16	16	16	3	40	40	24	64	75
VIII/22	0	24	24	24	48	3	16	16	16	3	40	40	24	64	73
VIII/23	0	24	24	24	48	3	16	16	16	3	40	40	24	64	72
VIII/24	0	24	24	22	46	3	16	16	16	3	40	40	22	62	73
VIII/25	0	24	24	24	48	3	16	16	16	3	40	40	24	64	70
VIII/26	0	24	24	22	46	3	16	16	16	3	40	40	22	62	68
VIII/27	0	24	24	24	48	3	16	16	16	3	40	40	24	64	70
VIII/28	0	24	24	20	44	3	16	16	16	3	40	40	20	60	71
VIII/29	0	24	24	22	46	3	16	16	16	3	40	40	22	62	72
VIII/30	0	24	24	22	46	3	16	16	16	3	40	40	22	62	72
VIII/31	0	24	24	20	44	3	16	16	16	3	40	40	20	60	49
VIII/32	0	24	24	20	44	3	16	16	16	3	40	40	20	60	48
VIII/33	0	24	24	20	44	3	16	16	16	3	40	40	20	60	48
VIII/34	0	24	24	20	44	3	16	16	16	3	40	40	20	60	48
VIII/35	0	24	24	20	44	3	16	16	16	3	40	40	20	60	48
