path,extension,sha256,structural_sha256,size_bytes,line_count,encoding,documentclass,packages,labels,references,inputs,includes,graphics,bibliography,macros,theorem_environments,section_titles,title,tikz_count,tikzcd_count,tags,is_primary_source_tree
chapters/tex/commalg6_report_structure_template.tex,.tex,ecd104974d5624b9891bcfde6863735b96225f2d29e0e8b3a91294b3a8208184,332c87d1305c604d005cf5b06dc6af87e504938f91886447cda75a4d7a52922d,5914,190,utf-8-sig,report,amsmath;amssymb;amsthm;bookmark;enumitem;fontenc;fontspec;geometry;hyperref;iftex;inputenc;lmodern;mathtools;microtype;parskip;xcolor,,,,,,,Ann;Ass;Hom;Ker;Min;Spec;Supp;chaptertoc;coker;im;sectiontoc;subsectiontoc,definition;remark,"chapter:#1;section:#1;subsection:#1;chapter:...;section:...;subsection:...;chapter:Examples and intuition for \(D(A)\);section:Recall the definition and the slogan;section:Domain case: \(A=k[t]\);section:Two crossing components: \(A=k[x,y]/(xy)\);section:Nilpotent example: \(A=k[t]/(t^2)\);section:Localization removes primes that meet \(S\);section:Embedded associated prime: \(A=k[x,y]/(x^2,xy)\);section:Product ring example: \(A=k\times k\);section:Many zero divisors, one prime;section:Relation with \(\Ass(A)\) and zero divisors;section:How to compute \(D(A)\) in practice;section:Final summary;chapter:Concrete polynomial and ring examples for \(D(A)\);chapter:Classes in quotient rings, minimal primes, and associated primes;chapter:Concrete annihilators: \(\mathbb Z/p\mathbb Z\), \(\mathbb Z/n\mathbb Z\), polynomial rings, and quotient rings;chapter:Annihilators, minimal primes, and associated primes for modules: concrete examples;chapter:Concrete residue classes in \(\mathbb Z/n\mathbb Z\), \(\mathbb Z/p\mathbb Z\), \(k[x]/(x)\), \(A[t]/(t)\), and \(k[x,y]/(xy)\)",\bfseries Theory of Commutative Algebra 6\\[0.5em]\Large Theory Notes,0,0,chapter;duplicate;section;standalone,true
chapters/tex/commalg6_report_structure_template_1_.tex,.tex,ecd104974d5624b9891bcfde6863735b96225f2d29e0e8b3a91294b3a8208184,332c87d1305c604d005cf5b06dc6af87e504938f91886447cda75a4d7a52922d,5914,190,utf-8-sig,report,amsmath;amssymb;amsthm;bookmark;enumitem;fontenc;fontspec;geometry;hyperref;iftex;inputenc;lmodern;mathtools;microtype;parskip;xcolor,,,,,,,Ann;Ass;Hom;Ker;Min;Spec;Supp;chaptertoc;coker;im;sectiontoc;subsectiontoc,definition;remark,"chapter:#1;section:#1;subsection:#1;chapter:...;section:...;subsection:...;chapter:Examples and intuition for \(D(A)\);section:Recall the definition and the slogan;section:Domain case: \(A=k[t]\);section:Two crossing components: \(A=k[x,y]/(xy)\);section:Nilpotent example: \(A=k[t]/(t^2)\);section:Localization removes primes that meet \(S\);section:Embedded associated prime: \(A=k[x,y]/(x^2,xy)\);section:Product ring example: \(A=k\times k\);section:Many zero divisors, one prime;section:Relation with \(\Ass(A)\) and zero divisors;section:How to compute \(D(A)\) in practice;section:Final summary;chapter:Concrete polynomial and ring examples for \(D(A)\);chapter:Classes in quotient rings, minimal primes, and associated primes;chapter:Concrete annihilators: \(\mathbb Z/p\mathbb Z\), \(\mathbb Z/n\mathbb Z\), polynomial rings, and quotient rings;chapter:Annihilators, minimal primes, and associated primes for modules: concrete examples;chapter:Concrete residue classes in \(\mathbb Z/n\mathbb Z\), \(\mathbb Z/p\mathbb Z\), \(k[x]/(x)\), \(A[t]/(t)\), and \(k[x,y]/(xy)\)",\bfseries Theory of Commutative Algebra 6\\[0.5em]\Large Theory Notes,0,0,chapter;duplicate;section;standalone,true
chapters/tex/diagrams_01-13_tikz.tex,.tex,1b4f40f64c740e56e401f73f0f9d726e2d2095eed24a378f135097719d1194d9,0359806cd086f5ec4f1e01e5d3c7c39f4cbe15b2ca5d3c1483ec8824967422cf,16552,444,utf-8-sig,article,amsmath;amssymb;float;geometry;tikz,,,,,,,,,section:Vector diagrams for Problems 1--13 (TikZ),,14,0,chapter;diagrams;duplicate;section;standalone,true
chapters/tex/ex38g_ex39.tex,.tex,e7bb61f14fddff9f3344ed73fe6680cc44e576abed273c12f54274d4cdfe5a44,9f4e4f51e384875a20323f03045d7218bb89f97912020f686f8c2f77693af8d1,1629,41,utf-8-sig,article,amsmath;amssymb;amsthm;geometry;mathtools;microtype;parskip,,,,,,,,,section:Exercise 3.8 (g);section:Exercise 3.9 (*),,0,0,chapter;duplicate;section;solutions;standalone,true
chapters/tex/ex3_8_takagi.tex,.tex,751254890a55efa44bf249f6d90d46c00c205b2abe70608e26abaa58b6de911e,6c9fbf414ff15f2b6b96287ab25e151d3b04ae0c1c6ce84e50162cf6a754826f,4034,93,utf-8-sig,article,amsmath;amssymb;amsthm;geometry;mathtools;microtype;parskip,,,,,,,labelenumi;labelenumii,,section:Exercise 3.8 (*),,0,0,chapter;duplicate;section;solutions;standalone,true
chapters/tex/Exercise_1_2_append--math-alls-2.tex,.tex,c221fb195e77751c0c07430e8cb703471fd09877d131412e98b98a8572913820,2ded9e4bbc5428587c6a16bc9c2767de4dae118f2d1ee891e2be6799d86f311a,3754,92,utf-8-sig,,,eq:psi-split;eq:Gdef;eq:psi-conv;eq:psi-prime,eq:psi-split;eq:psi-split;eq:psi-split;eq:psi-prime,,,figures/MATH-ALLS-2_kernel_heatmap.png;f_and_psi.png;residual_check.png,,,,subsection:Exercise 1.2 (Periodic Green's function for $-\psi''+\psi=f$);paragraph:Background / definition.;paragraph:Figures (for intuition).,,0,0,chapter;duplicate;exercises;solutions,true
chapters/tex/Exercise_1_2_append.tex,.tex,3e2d9f8fedd89b6bc113f8c63ed0cbc1eb8a49f3af9533ad7c685d499bd624f9,89903d07ce9b9e95389483a829f8763738604c5b794f2349b51398fdf6b90ef5,3752,92,utf-8-sig,,,eq:psi-split;eq:Gdef;eq:psi-conv;eq:psi-prime,eq:psi-split;eq:psi-split;eq:psi-split;eq:psi-prime,,,figures/Downloads_kernel_heatmap.png;f_and_psi.png;residual_check.png,,,,subsection:Exercise 1.2 (Periodic Green's function for $-\psi''+\psi=f$);paragraph:Background / definition.;paragraph:Figures (for intuition).,,0,0,chapter;duplicate;exercises;solutions,true
chapters/tex/exercise_4_solutions_1_.tex,.tex,657496638ae0b92769d738ad9548bb0505fcd295d96e29962bef6119970944af,000611d63a012f060c78b241f6a53ae8dd7faee0af860f2d1443dd7cb62e7990,2805,90,utf-8-sig,,,,,,,,,,,"section:Definitions and Examples;paragraph:Supremum and Infimum.;paragraph:Partitions, Upper and Lower Sums.;paragraph:Integrability.;paragraph:Characteristic Function.;section:Solutions;subsection:Exercise 4.1;subsection:Exercise 4.2;subsection:Exercise 4.3;subsection:Exercise 4.4",,0,0,chapter;duplicate;exercises;section;solutions,true
chapters/tex/interpolation--math-alls-2.tex,.tex,b984fc347afa0f51c69e37b2f92d2491b1084526d5b3a1441b5c9d9fa3d6e6ca,f58c1f03cfa7e54382ce9874d1a8d5281b889b294e1edadf946cb15cb4de9f5d,251,15,utf-8-sig,article,pgfplots,,,tex/interpolation_all.tex,,,,,,section:Piecewise linear interpolation,,0,0,chapter;duplicate;section;standalone,true
chapters/tex/interpolation.tex,.tex,b984fc347afa0f51c69e37b2f92d2491b1084526d5b3a1441b5c9d9fa3d6e6ca,f58c1f03cfa7e54382ce9874d1a8d5281b889b294e1edadf946cb15cb4de9f5d,251,15,utf-8-sig,article,pgfplots,,,tex/interpolation_all.tex,,,,,,section:Piecewise linear interpolation,,0,0,chapter;duplicate;section;standalone,true
chapters/tex/interpolation_all.tex,.tex,8582a60f6119df6f8cffd8062975f5a2dc773defced18317c9dd615e5424256a,b881822dc72bdff400f16d40e7522a10ca2e00019aad132cbfefbef6e5598faf,23128,104,utf-8-sig,,,,,,,,,,,,,3,0,chapter;diagrams;duplicate,true
chapters/tex/interpolation_n16.tex,.tex,68dde35cab71370c1b5546991c41301c88039ccbde1911bac0e0478a68e69e38,694e62a4d065c5058f79c35d02b32195c6457a075b311e72ed044be09b3f0bd1,7824,34,utf-8-sig,,,,,,,,,,,,,1,0,chapter;diagrams;duplicate,true
chapters/tex/interpolation_n4.tex,.tex,a67bd625c011c428bacabb1d1e7de5ad454eeb1dae488f0b523d7a3902f9bb2a,9d531aa249608ecd977b507349cab0ac0a09f495859535befc7d846989ca5314,7616,34,utf-8-sig,,,,,,,,,,,,,1,0,chapter;diagrams;duplicate,true
chapters/tex/interpolation_n8.tex,.tex,41839eb4e9bb223fcbcc8ac627ca53b186d74ebb4ecb11547e97e5be2ba7834f,c742cac49abc503a5914f267c228b264db245d0c70b1399b82b58179ca9232e6,7684,34,utf-8-sig,,,,,,,,,,,,,1,0,chapter;diagrams;duplicate,true
