notation	role	introduced	convention	status
sup A, inf A	order completeness	II/01	least upper / greatest lower bound	PASS
||x||, ||T||	norm and operator norm	II/02	vector norm and induced operator norm distinguished by context	PASS
B(x,r)	metric ball	II/04	open ball in the current metric	PASS
Df(a), J_f(a)	Frechet derivative / Jacobian	II/08	derivative is the linear map; Jacobian is its coordinate matrix	PASS
C[a,b]	continuous-function space	II/11	sup norm unless explicitly stated otherwise	PASS
||f||_infinity	uniform norm	II/11	supremum over the stated domain	PASS
a_n,b_n	Fourier coefficients	II/14	1/pi normalization; series uses a_0/2	PASS
L2 preview	Fourier quadratic norm	II/14	finite projection used here; complete Hilbert L2 deferred to Volume III	PASS
B_n f	Bernstein operator	II/21	deterministic positive weights w_{n,k}	PASS
E_T(f)	trapezoidal error	II/24	integral minus trapezoidal approximation	PASS
p_n/q_n	continued-fraction convergent	II/25	p_{-2}=0,p_{-1}=1,q_{-2}=1,q_{-1}=0	PASS
