chapter	primary_topics	requires	forward_preview_policy	status
II/01	Real numbers, order, completeness	none	none	PASS
II/02	Euclidean and normed spaces	II/01	convergence/open sets/continuity explicitly preview II/03--II/05	PASS
II/03	Sequences and Cauchy sequences	II/01-II/02	none	PASS
II/04	Open and closed sets	II/02-II/03	continuity-free proofs used before II/05	PASS
II/05	Metric spaces and continuity	II/02-II/04	none	PASS
II/06	Compactness	II/03-II/05	total boundedness defined locally	PASS
II/07	Connectedness and paths	II/04-II/06	none	PASS
II/08	Multivariable differentiability	II/02, II/05	none	PASS
II/09	Inverse and implicit functions	II/08	Banach contraction proof route explicitly previewed to II/16	PASS
II/10	Riemann integration	II/05-II/07	none	PASS
II/11	Pointwise and uniform convergence	II/03, II/05	none	PASS
II/12	Interchanging limits, derivatives, integrals	II/08, II/10-II/11	M-test deferred to II/13; direct geometric tail used first	PASS
II/13	Infinite series of functions	II/11-II/12	none	PASS
II/14	Trigonometric series	II/10, II/13	full Hilbert L2 completion explicitly deferred to Volume III	PASS
II/15	Pathological functions	II/11-II/14	Baire category explicitly external preview	PASS
II/16	Contraction mappings	II/03, II/05-II/06	integral-equation/ODE applications preview II/18-II/19	PASS
II/17	Brouwer fixed-point ideas	II/05-II/07	higher-dimensional topological proof machinery explicitly outside volume	PASS
II/18	Integral equations	II/10-II/16	C[a,b] Banach completeness tied to II/11	PASS
II/19	Elementary ODE existence	II/08, II/16, II/18	Peano compactness proof marked as proof sketch	PASS
II/20	Polynomial interpolation	II/08, II/10	Chebyshev nodes explicitly preview II/22	PASS
II/21	Polynomial approximation	II/05-II/06, II/11	Bernstein proof made deterministic; no probability prerequisite	PASS
II/22	Chebyshev and minimax approximation	II/20-II/21	quadrature explicitly preview II/24	PASS
II/23	Alternation principle	II/22	none	PASS
II/24	Numerical quadrature	II/10, II/20, II/22	none	PASS
II/25	Continued fractions	II/01, II/03	final chapter; indexing fixed locally	PASS
