chapter	label	theorem	coverage	status
II/06	thm:ii06-04	Heine--Borel theorem	added	PASS
II/06	thm:ii06-05	Compact metric criterion	added	PASS
II/07	thm:ii07-04	Connected subsets of the real line	added	PASS
II/08	thm:ii08-04	Continuous first partials imply differentiability	added	PASS
II/10	thm:ii10-04	Monotone functions are Riemann integrable	added	PASS
II/11	thm:ii11-04	Completeness of the sup-norm function space	added	PASS
II/13	thm:ii13-04	Termwise differentiation of a function series	added	PASS
II/14	thm:ii14-04	Finite Fourier projection	added	PASS
II/15	thm:ii15-03	Hölder roughness principle	repaired	PASS
II/17	thm:ii17-02	Brouwer fixed-point theorem	proof-scope clarified	PASS
II/18	thm:ii18-01	Neumann-series inversion	Banach hypothesis repaired	PASS
II/19	thm:ii19-04	Peano local existence theorem	added	PASS
II/25	thm:ii25-04	Lagrange continued-fraction theorem	added	PASS
