chapter	ordinal	label	theorem	classification	proof_environment	source_line	body_sha256
III/01	1	thm:iii01-01	Continuity from below	proved	yes	82	da6954eb13a3b264dd8aae53968ec4ee57b7145296c0a9ea3d4b15551b2d2d00
III/01	2	thm:iii01-02	Continuity from above	proved	yes	89	71ee203d3af0fd95a1ac5f4ad71568de1bd247b7d1bcd6e77950050b0a26ce3d
III/01	3	thm:iii01-03	Countable subadditivity	proved	yes	96	29dec79f3283c87615845e5de8f0eea66aaad01e1ce998586d7e7ac6eb42b85a
III/02	1	thm:iii02-01	Pointwise limit theorem	proved	yes	79	b4ace162e9e6f5e849d5ad638f256881bfbd400190db5d879dfa539b7381d6d5
III/02	2	thm:iii02-02	Algebra closure	proved	yes	86	7fd117071c2187ffd2be83aec2425a480792d976238a0102fe0427e103684340
III/02	3	thm:iii02-03	Simple approximation	proved	yes	93	fa5b4d821c0e2b09537187a2cf235da2265b6832a07cc2265a97fdfd616a2c41
III/03	1	thm:iii03-01	Absolute integral inequality	proved	yes	83	2cb229c6c7614f0f8ebb2a4741eb9279993746bb04f3599ac6dac018f6f8248c
III/03	2	thm:iii03-02	Zero integral criterion	proved	yes	90	83fb177d3db2f8d0e6a86c19f5197481ac4c0c65eb878ba36ea035cc7fdac2ff
III/03	3	thm:iii03-03	Linearity	proved	yes	97	958313fdf43ff1c641a1e8e54d6c2e2681ea89445ac2e75a91cded0a6105c42e
III/04	1	thm:iii04-01	Monotone convergence theorem	proved	yes	83	f3cb51072f4ec925863416b819b1a4954dcd4205d93e5c594af00279244a8841
III/04	2	thm:iii04-02	Fatou's lemma	proved	yes	90	1ad1b74853cc60e8a2759629a38bd533f4c288acefa560bdb50d07fe1adddc84
III/04	3	thm:iii04-03	Dominated convergence theorem	proved	yes	97	7e35657eb7327a130963d55f9038283873046c82bf4cce77bfd5d23e56928ab2
III/05	1	thm:iii05-01	Tonelli theorem	standard external theorem	yes	80	1d64f300eaacbcdadbaf2908a90ff92312a6c936161bc40d70a7640c1e930a7b
III/05	2	thm:iii05-02	Fubini theorem	proved	yes	87	282b2743362cac3862b3db6a25721b34974ea3febc2e9cc880c78ee41bc78dd8
III/05	3	thm:iii05-03	Rectangle rule	standard external theorem	yes	94	75b7a0b09a7a7c1d5551214e176fe44a0d9a81b60001a7dd53fa071ec9cddef7
III/06	1	thm:iii06-01	Norm-zero criterion	proved	yes	84	df0df82be7afba50643d8e4965f6ba27d0b72fd29d6fa460ff76c88a3e39041e
III/06	2	thm:iii06-02	Finite-measure inclusion	proved	yes	91	5cfc991879facc864045e80813e977ad030c705efa0bb1ed936a827da18bfb2f
III/06	3	thm:iii06-03	Completeness of $L^p$	proved	yes	98	79756fad0b384a6387ad651c73a6738ada58429c0907e3746c01f4863a7a382e
III/07	1	thm:iii07-01	Hölder inequality	proved	yes	90	a3a34ce62aa22e885f32028496d992852eaaf1bb3534717085fe8fcec0ebaf9d
III/07	2	thm:iii07-02	Minkowski inequality	proved	yes	97	9c35a8a68f6013c48baeb8284731e5ed9f1615acad3d6bc406a732dad8f0e051
III/07	3	thm:iii07-03	Log-convex interpolation	proved	yes	104	02b68dc33a8880d5d35faf1697041fdbb00dc9cd4a3f7cc6c1f4780caf5da596
III/08	1	thm:iii08-01	Egorov theorem	proved	yes	86	e3b4b8f5c1e739beab5feef124e569dec4b8cd95235cc15067e8b36fcdb0036e
III/08	2	thm:iii08-02	Chebyshev inequality	proved	yes	93	495658371cb38fdf8814fc4d7be12dbbedbdb66976854f233d0404b5c2453474
III/08	3	thm:iii08-03	Vitali convergence principle	proved	yes	100	8f6dcbe1cfbad16d50d18268cec772d729f77f24a11324a1f6e57c66ff0a5ddb
III/09	1	thm:iii09-01	Orthogonality relations	proved	yes	97	a68d5505dd6a7568ad248441995f3c990bffc75d0552d7247884066160991973
III/09	2	thm:iii09-02	Bessel inequality	proved	yes	104	292593e83373c3662f5042dc602e1c8adb00482c8e6afe565423fb8b38bc4e47
III/09	3	thm:iii09-03	Dirichlet convergence principle	standard external theorem	yes	111	e256ff42db96aca8f097eb40a8d8eb049dda0a2afd408785e2ff637bc1692153
III/10	1	thm:iii10-01	Commutativity	proved	yes	81	687294935cb1fca7c9fd03a030917cef7f02c32a51a75ded234d9fa35265a74c
III/10	2	thm:iii10-02	Young $L^1$ inequality	proved	yes	88	5c069eed3638a3a8910331ecf64a0e0f2b9e8185c8f8c4759e4cef87333af977
III/10	3	thm:iii10-03	Approximate-identity recovery	proved	yes	95	739db4d162d13ef36437c7230de7a2676ee9b584ca12651afb860f10ff4f38e7
III/11	1	thm:iii11-01	$L^1$ bound	proved	yes	103	d24656f8415b0b887d37c700ecfd4582ddf590407d288acefbd973a93dfdd853
III/11	2	thm:iii11-02	Riemann--Lebesgue lemma	proved	yes	110	7293b58ea64fb2f27e1b021501859949c9b24309a9d3af2443206dd7d68dad4f
III/11	3	thm:iii11-03	Convolution theorem	proved	yes	117	a97cbdc924784539d9f568a2a37a3cba1173120620d84773f843df11ff89bed0
III/11	4	thm:iii11-04	Fourier inversion on Schwartz space	proof sketch	yes	124	285ed0ff2d894c835cd1c9a0626e04c6984c2e55606c402796886f545ade1726
III/12	1	thm:iii12-01	Gaussian transform	proved	yes	92	83fd82f6d844214efcca167ae6490410060fa35178b857c85aedbdf07c262b0f
III/12	2	thm:iii12-02	Scaling rule	proved	yes	99	d09a6130fa6c8fcb09253aad91018797bc9e58cf61b129fd46cd247ebe10f372
III/12	3	thm:iii12-03	Heat-kernel semigroup	proved	yes	106	3e81241a2388660dfe72302f52430a54dd5491cdd2b163b416d2600ed0bc0f01
III/13	1	thm:iii13-01	Plancherel theorem	proved	yes	104	39c34f6b287b0c1fd86ea8b1fd00cf6bab009f11ee9441d9cab6ccfb53319c6c
III/13	2	thm:iii13-02	Parseval identity	proved	yes	111	32aa7ec6d5642f9d472f17d256fee462f18f87650eb6394a8aa0500159f61066
III/13	3	thm:iii13-03	$L^2$ multiplier bound	proved	yes	118	f4aacbdab575796a7a31ec42d97700b18dd451c3a4dc6e429ea03ca51b4b48ff
III/14	1	thm:iii14-01	Fourier invariance	proved	yes	84	19a757077f9fcce8f1013f2a1885b41934f19e9396e0f498d9646296e834ba1f
