chapter	ordinal	label	exercise_sha256	hint_sha256	solution_sha256	status
IV/01	1	exr:iv01-01	147130e751487f687bf2096b5b0b9bf1f5b7303f8dc5ab9d3bdf54864a46439c	b4d238c267f72a9ac6b020415b82c5539a71e1f47786c0d02d90eb8d70432682	307dd77969df47e31a45d76c2c9f8651776abb4873d0b6bb2b2d808607c252e8	PASS
IV/01	2	exr:iv01-02	d8f4403beb1249cc14d610f788937069129f400268487e936208a4e9392ccbe6	03dbcc3db9ff81762500c6df9bf35d49bf639d31d60acd7eadbb66a3c78d78d2	540934d57097d534f28eb29e2be97e3b2a19bfc3dc284ab147489695b29a1a72	PASS
IV/01	3	exr:iv01-03	a60e9b44a3f60cd531174165daa02d202c4b14c73373a0a9df2669117f7a4f93	61144b57b75ea6482cf5a2f41882f8e7d8529c51b7adfdcbe15e3d70fca39a35	508090d856041dcf82058ac81eb9a100ed963a985d649139ef3437616597aba6	PASS
IV/01	4	exr:iv01-04	750db3f4a51f2960e9961732058625a01efda92ae05dd036e6fe10c03054b004	9cd8e94097a93efac1b527d27c243098c68512cb946931d1c505d3596f56a540	05879a9059d4223444f3440d940a0df78c51ad73283881a27e4542c505c2117d	PASS
IV/01	5	exr:iv01-05	5120c4da29d64583400a8e9ffcd319681a016d4dfa936c10bf04f7642099f103	5e65b073527c8ccd74eb43ee1e014b045951969128aafc7e32b95bbbda8e42c6	0e11ccd31191ac4a7aee41ff483096276b3ea48f8829663a6ee641077fa57d30	PASS
IV/01	6	exr:iv01-06	cf19c271ef1f75676cbd0ea34a05c1e31b2e21c338983bb1aab8d8cc846703b3	89eb4ea01ee9ace336217b20b641424e9cf77ae1a9ad162ceea4e281f0e40a37	9e1cac4e166e3e65e132add6daa23ef235ec6d496050668b89c10b8cccfa5877	PASS
IV/01	7	exr:iv01-07	8db9a8b640e799f171d575d456e99eb31cda59dc07edf939132bf82878affb98	2e72acdd4d9125b63b0f0fbe049baa26dba613375dd2d2e21b8c6fb7d0df600b	6cbc7591fbebad9abeca437cefd051bab64717205553fb8d1e8e9f71e74f3254	PASS
IV/01	8	exr:iv01-08	f7f0066cc144d5eca29fcb8a97c0e7f8d344177dd0b5a0f917691fcd3c2c2667	d5d8554acb167cfab254a824a957ca046d4b9af9d0480568677b39b4dd7ffa8e	296903129ce1a0b6dfe6300b0d5ebc07d40a32849caee52c7f3188eea94aceb6	PASS
IV/01	9	exr:iv01-expand-01	1f4539d9771bcfa47b2d5fb80696b137c8ae778a5385552426d10ce0e601af63	c1104badf8188fc01f545305bab8b206797d97f4265e98947b029175b7b84f39	491875976e66d25426703536c948041226ca5a49f0331818e87bd0b9e970eee6	PASS
IV/01	10	exr:iv01-expand-02	17092f1a019a243b41ff0852c100c1a20bee44abde6f96d931f2350728965079	41724201ffa6ec0ee1db3b3816910d66d928db2026bc500893aceda60ee598eb	39fa4fbdc0888f173fc5a88887a990489b3562ebd319f10dee00143ad13f1619	PASS
IV/01	11	exr:iv01-expand-03	8f040f42593d85bf98bac7e4a255710030e0d3faa4b5cc50f85151ce211a9432	aed45317093f30c2215aaa1feba07ebcfea0fb1ffae4ae1382c376d5ce803d9c	1e799912ae03a5de9486e1234ff03f02ec608cc70f00165cd9627d6ac5ded26b	PASS
