chapter	ordinal	label	theorem	classification	proof_environment	body_sha256
IV/01	1	thm:iv01-01	Complex-linear characterization	proved	yes	7e61f64b9efc4289b27026139ba1ae30a62791007227d115028a15f820a5efa5
IV/01	2	thm:iv01-02	Product rule	proved	yes	0c107c63a076fe1e7355cd5b122c977115b0e343388c32a1d41db2e88e9a84dc
IV/01	3	thm:iv01-03	Chain rule	proved	yes	13d84bf66a13324922e59256dd5b7c52aceb0ecbb6b30ac2284308314788d2b9
IV/02	1	thm:iv02-01	Cauchy--Riemann necessity	proved	yes	96c0a9cb590aeaf845bd8b59dc7b8a0a892784df08b267d11fe082e2dd0abc0b
IV/02	2	thm:iv02-02	Sufficiency under $C^1$ hypotheses	proved	yes	acbf0491ffa2576e838f509bbf23e4b5e116c9f2f2841b11dcbc7b6bdc27f013
IV/02	3	thm:iv02-03	Harmonicity	proved	yes	dafce08bbf0d2dbdcb667cbba65a5f5ab427c3533e8ad5d827241c4f1448103c
IV/03	1	thm:iv03-01	Uniform convergence on compact subdisks	proved	yes	b18165e1f40f168e07e033cf8dc9fa7a64287278fc4bb6ce14b2065076136e1c
IV/03	2	thm:iv03-02	Termwise differentiation	proved	yes	baa6b078f939dfc2e3f32a4879381f970af5ce4928120c3bd42099ad4738b32c
IV/03	3	thm:iv03-03	Coefficient uniqueness	proved	yes	7f5fa797f297b92fcbf5ab72b3e55765d0ed23c0dedbdaeab532c301ecc596f9
IV/04	1	thm:iv04-01	Reparameterization invariance	proved	yes	f363d9381d9a89eeca57f7e8e9d33c771e156ef73cfbe3caa9ddc73ca738a1f4
IV/04	2	thm:iv04-02	ML inequality	proved	yes	2881868074c6e6ebb6f8ef9d989f6168b8ce9599941c74381af36b064d10ce51
IV/04	3	thm:iv04-03	Fundamental theorem for contour integrals	proved	yes	855b73272aeccb9bfb854693d7a69f37887c99b21428df0bc3c6e07bdede035f
IV/04	4	thm:iv04-04	Primitive criterion on connected domains	proved	yes	6f30d7f12033624940b1478ccbdc2f4f6a9d779c65eba86941ac9882adbd121b
IV/05	1	thm:iv05-01	Cauchy--Goursat theorem on triangles	proved	yes	852a3b1ad3e5389e101742b1b0119e58309099d1d2edb92f7129196f9d18266d
IV/05	2	thm:iv05-02	Primitive on simply connected domains	proved	yes	61333a4de4a49a59f4168eaff576f0cb33fbfba98aa8687502d5717e822ccc9e
IV/05	3	thm:iv05-03	Homotopy invariance	proved	yes	e3bbf8173931e87f4e0670e787bf2e20e61a3257bfda767b4a10b0f055f680e8
IV/06	1	thm:iv06-01	Cauchy integral formula	proved	yes	88add0ecf9b8d3dd367420b1fed2bce21ed631f2095f43bf078326a67dffe16c
IV/06	2	thm:iv06-02	Cauchy derivative formula	proved	yes	72cff43dda85bc5ba988abc30b70d84028e3fdf051055c8b8574d26419194b9d
IV/06	3	thm:iv06-03	Cauchy estimate	proved	yes	0187a5116b8536cb001176323762bacaac2d6aa7aff396bdb087c95dc45861b0
IV/06	4	thm:iv06-04	Liouville theorem	proved	yes	66d85c3f7076ef0dcf4c4617986603b8b360a0757bc0c4744219ead83a2ec664
IV/07	1	thm:iv07-01	Local zero factorization	proved	yes	435978d1d1bb531c981e19678ad7517a643a332b1a322fcc004dca670730ed7c
IV/07	2	thm:iv07-02	Isolated zeros	proved	yes	912e0a106bdd1d1b750fbbdf86ed4649fe71ef79c8da289fd534a4a35034bedb
IV/07	3	thm:iv07-03	Identity theorem	proved	yes	ca46f9131a3591726d1972d15592156b916ec3d26e71b84dcf602f19863c090a
